,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%,salary
912,2006-2007,Raymond Felton,PG,22.0,CHA,1093.0,545.0,10.0,230.0,118.0,51.0,216.0,2832.0,78.0,75.0,180.0,256.0,1024.0,312.0,103.0,393.0,204.0,13.5,2.3,14.012820512820513,6.987179487179487,0.1282051282051282,2.948717948717949,1.5128205128205128,3.423076923076923,36.30769230769231,0.3837890625,0.796875,0.3301282051282051,3.06084
913,2006-2007,Michael Finley,SF,33.0,SAS,740.0,108.0,16.0,46.0,32.0,34.0,189.0,1823.0,82.0,16.0,76.0,98.0,663.0,286.0,104.0,273.0,90.0,13.7,4.7,9.024390243902438,1.3170731707317074,0.1951219512195122,0.5609756097560976,0.3902439024390244,2.7195121951219514,22.23170731707317,0.4117647058823529,0.9183673469387755,0.36363636363636365,2.889
914,2006-2007,Monta Ellis,SG,21.0,GSW,1272.0,319.0,21.0,221.0,132.0,62.0,181.0,2638.0,77.0,53.0,210.0,358.0,1010.0,143.0,39.0,480.0,273.0,15.0,4.0,16.51948051948052,4.142857142857143,0.2727272727272727,2.8701298701298703,1.7142857142857142,3.155844155844156,34.25974025974026,0.4752475247524752,0.7625698324022346,0.2727272727272727,0.664209
915,2006-2007,Derek Fisher,SG,32.0,UTA,826.0,274.0,6.0,120.0,83.0,30.0,119.0,2287.0,82.0,61.0,234.0,307.0,675.0,156.0,48.0,258.0,262.0,11.4,3.9,10.073170731707316,3.341463414634146,0.07317073170731707,1.4634146341463414,1.0121951219512195,1.8170731707317074,27.890243902439025,0.38222222222222224,0.8534201954397395,0.3076923076923077,5.8836
916,2006-2007,Yakhouba Diawara,SG,24.0,DEN,284.0,55.0,7.0,37.0,30.0,27.0,83.0,1177.0,64.0,19.0,132.0,53.0,292.0,170.0,49.0,100.0,35.0,5.3,0.5,4.4375,0.859375,0.109375,0.578125,0.46875,1.71875,18.390625,0.3424657534246575,0.660377358490566,0.28823529411764703,0.412718
917,2006-2007,Luol Deng,SF,21.0,CHI,1540.0,204.0,48.0,153.0,97.0,148.0,431.0,3071.0,82.0,82.0,167.0,359.0,1218.0,7.0,1.0,630.0,279.0,18.7,11.3,18.78048780487805,2.4878048780487805,0.5853658536585366,1.8658536585365855,1.1829268292682926,7.060975609756097,37.451219512195124,0.5172413793103449,0.7771587743732591,0.14285714285714285,2.61444
918,2006-2007,Jason Collins,PF,28.0,NJN,169.0,46.0,38.0,73.0,40.0,90.0,226.0,1844.0,80.0,78.0,273.0,127.0,151.0,2.0,0.0,55.0,59.0,3.0,0.6,2.1125,0.575,0.475,0.9125,0.5,3.95,23.05,0.36423841059602646,0.4645669291338583,0.0,5.8
919,2006-2007,Mardy Collins,SF,22.0,NYK,235.0,83.0,3.0,57.0,32.0,28.0,76.0,777.0,52.0,9.0,75.0,82.0,228.0,47.0,13.0,87.0,48.0,9.2,0.0,4.519230769230769,1.5961538461538463,0.057692307692307696,1.0961538461538463,0.6153846153846154,2.0,14.942307692307692,0.3815789473684211,0.5853658536585366,0.2765957446808511,0.89988
920,2006-2007,Nick Collison,C,26.0,SEA,790.0,82.0,66.0,123.0,48.0,229.0,437.0,2378.0,82.0,56.0,289.0,199.0,636.0,2.0,0.0,318.0,154.0,14.2,4.6,9.634146341463415,1.0,0.8048780487804879,1.5,0.5853658536585366,8.121951219512194,29.0,0.5,0.7738693467336684,0.0,2.50107
921,2006-2007,Brian Cook,PF,26.0,LAL,450.0,65.0,27.0,51.0,25.0,61.0,154.0,1018.0,65.0,24.0,134.0,47.0,408.0,115.0,46.0,185.0,34.0,14.8,1.8,6.923076923076923,1.0,0.4153846153846154,0.7846153846153846,0.38461538461538464,3.3076923076923075,15.661538461538461,0.4534313725490196,0.723404255319149,0.4,1.817141
922,2006-2007,Jamal Crawford,SG,26.0,NYK,1039.0,259.0,8.0,162.0,57.0,44.0,145.0,2198.0,59.0,36.0,114.0,272.0,886.0,322.0,103.0,354.0,228.0,14.5,3.1,17.610169491525422,4.389830508474576,0.13559322033898305,2.7457627118644066,0.9661016949152542,3.2033898305084745,37.25423728813559,0.39954853273137697,0.8382352941176471,0.3198757763975155,7.2
923,2006-2007,Austin Croshere,PF,31.0,DAL,227.0,44.0,6.0,33.0,14.0,33.0,153.0,727.0,61.0,2.0,68.0,52.0,222.0,91.0,26.0,78.0,45.0,10.9,1.3,3.721311475409836,0.7213114754098361,0.09836065573770492,0.5409836065573771,0.22950819672131148,3.0491803278688523,11.918032786885245,0.35135135135135137,0.8653846153846154,0.2857142857142857,7.3
924,2006-2007,Eddy Curry,C,24.0,NYK,1576.0,68.0,40.0,295.0,34.0,195.0,376.0,2849.0,81.0,81.0,265.0,659.0,1016.0,1.0,1.0,585.0,405.0,17.0,4.7,19.45679012345679,0.8395061728395061,0.49382716049382713,3.6419753086419755,0.41975308641975306,7.049382716049383,35.17283950617284,0.5757874015748031,0.6145675265553869,1.0,8.171103
925,2006-2007,Boris Diaw,PF,24.0,PHO,709.0,352.0,38.0,154.0,28.0,91.0,226.0,2268.0,73.0,59.0,177.0,120.0,569.0,45.0,15.0,306.0,82.0,13.0,4.6,9.712328767123287,4.821917808219178,0.5205479452054794,2.1095890410958904,0.3835616438356164,4.342465753424658,31.068493150684933,0.5377855887521968,0.6833333333333333,0.3333333333333333,1.870501
926,2006-2007,Samuel Dalembert,C,25.0,PHI,879.0,64.0,159.0,161.0,47.0,239.0,494.0,2535.0,82.0,82.0,287.0,224.0,658.0,2.0,0.0,356.0,167.0,16.1,6.2,10.71951219512195,0.7804878048780488,1.9390243902439024,1.9634146341463414,0.573170731707317,8.939024390243903,30.914634146341463,0.541033434650456,0.7455357142857143,0.0,9.464307
927,2006-2007,Marquis Daniels,SG,26.0,IND,320.0,57.0,7.0,55.0,27.0,26.0,56.0,800.0,45.0,4.0,56.0,80.0,281.0,26.0,6.0,129.0,56.0,11.6,0.6,7.111111111111111,1.2666666666666666,0.15555555555555556,1.2222222222222223,0.6,1.8222222222222222,17.77777777777778,0.45907473309608543,0.7,0.23076923076923078,5.8836
928,2006-2007,Baron Davis,PG,27.0,GSW,1264.0,509.0,29.0,193.0,135.0,51.0,225.0,2221.0,63.0,62.0,181.0,369.0,1030.0,280.0,85.0,452.0,275.0,21.0,6.4,20.063492063492063,8.079365079365079,0.4603174603174603,3.0634920634920637,2.142857142857143,4.380952380952381,35.25396825396825,0.4388349514563107,0.7452574525745257,0.30357142857142855,15.07
929,2006-2007,Dale Davis,C,37.0,DET,83.0,12.0,34.0,15.0,10.0,59.0,78.0,464.0,46.0,6.0,59.0,26.0,74.0,0.0,0.0,33.0,17.0,13.2,1.3,1.8043478260869565,0.2608695652173913,0.7391304347826086,0.32608695652173914,0.21739130434782608,2.9782608695652173,10.08695652173913,0.44594594594594594,0.6538461538461539,,3.5
930,2006-2007,Ricky Davis,SF,27.0,MIN,1374.0,385.0,23.0,210.0,80.0,54.0,261.0,3021.0,81.0,81.0,189.0,285.0,1089.0,310.0,123.0,506.0,239.0,15.9,5.7,16.962962962962962,4.753086419753086,0.2839506172839506,2.5925925925925926,0.9876543209876543,3.888888888888889,37.2962962962963,0.46464646464646464,0.8385964912280702,0.3967741935483871,6.3644
931,2006-2007,Carlos Delfino,SG,24.0,DET,428.0,88.0,8.0,61.0,46.0,67.0,199.0,1372.0,82.0,1.0,97.0,89.0,376.0,138.0,46.0,156.0,70.0,12.8,2.9,5.219512195121951,1.0731707317073171,0.0975609756097561,0.7439024390243902,0.5609756097560976,3.2439024390243905,16.73170731707317,0.4148936170212766,0.7865168539325843,0.3333333333333333,1.03728
932,2006-2007,Erick Dampier,C,31.0,DAL,537.0,44.0,82.0,107.0,24.0,217.0,349.0,1915.0,76.0,73.0,239.0,191.0,334.0,0.0,0.0,209.0,119.0,14.9,6.4,7.065789473684211,0.5789473684210527,1.0789473684210527,1.4078947368421053,0.3157894736842105,7.447368421052632,25.19736842105263,0.625748502994012,0.6230366492146597,,9.628
933,2006-2007,Jarron Collins,C,28.0,UTA,204.0,60.0,8.0,37.0,13.0,71.0,100.0,913.0,82.0,9.0,147.0,83.0,170.0,0.0,0.0,75.0,54.0,8.0,1.3,2.4878048780487805,0.7317073170731707,0.0975609756097561,0.45121951219512196,0.15853658536585366,2.0853658536585367,11.134146341463415,0.4411764705882353,0.6506024096385542,,2.625698
934,2006-2007,T.J. Ford,PG,23.0,TOR,1047.0,595.0,8.0,231.0,101.0,53.0,183.0,2243.0,75.0,71.0,186.0,293.0,902.0,69.0,21.0,393.0,240.0,18.2,4.3,13.96,7.933333333333334,0.10666666666666667,3.08,1.3466666666666667,3.1466666666666665,29.906666666666666,0.4356984478935698,0.8191126279863481,0.30434782608695654,2.929467
935,2006-2007,Jeff Foster,C,30.0,IND,322.0,57.0,37.0,70.0,62.0,253.0,356.0,1740.0,75.0,43.0,202.0,122.0,260.0,1.0,0.0,122.0,78.0,13.0,4.5,4.293333333333333,0.76,0.49333333333333335,0.9333333333333333,0.8266666666666667,8.12,23.2,0.46923076923076923,0.639344262295082,0.0,5.5
936,2006-2007,Ben Gordon,SG,23.0,CHI,1753.0,296.0,17.0,249.0,64.0,35.0,223.0,2704.0,82.0,51.0,252.0,440.0,1338.0,375.0,155.0,609.0,380.0,18.2,8.6,21.378048780487806,3.6097560975609757,0.2073170731707317,3.0365853658536586,0.7804878048780488,3.1463414634146343,32.97560975609756,0.4551569506726457,0.8636363636363636,0.41333333333333333,3.86208
937,2006-2007,Joey Graham,SF,24.0,TOR,503.0,44.0,4.0,49.0,30.0,55.0,193.0,1319.0,79.0,21.0,161.0,131.0,388.0,31.0,9.0,192.0,110.0,12.9,3.0,6.367088607594937,0.5569620253164557,0.05063291139240506,0.620253164556962,0.379746835443038,3.1392405063291138,16.696202531645568,0.4948453608247423,0.8396946564885496,0.2903225806451613,1.49244
938,2006-2007,Danny Granger,SF,23.0,IND,1142.0,114.0,61.0,135.0,67.0,114.0,267.0,2785.0,82.0,57.0,245.0,294.0,868.0,288.0,110.0,398.0,236.0,13.9,6.5,13.926829268292684,1.3902439024390243,0.7439024390243902,1.646341463414634,0.8170731707317073,4.646341463414634,33.96341463414634,0.45852534562211983,0.8027210884353742,0.3819444444444444,1.4178
939,2006-2007,Gerald Green,SF,21.0,BOS,843.0,83.0,24.0,120.0,41.0,68.0,140.0,1780.0,81.0,26.0,198.0,159.0,739.0,258.0,95.0,310.0,128.0,12.0,1.6,10.407407407407407,1.0246913580246915,0.2962962962962963,1.4814814814814814,0.5061728395061729,2.567901234567901,21.97530864197531,0.41948579161028415,0.8050314465408805,0.3682170542635659,1.347
940,2006-2007,Willie Green,SG,25.0,PHI,839.0,112.0,4.0,106.0,56.0,42.0,116.0,1842.0,74.0,36.0,144.0,111.0,868.0,157.0,51.0,357.0,74.0,10.3,-0.7,11.337837837837839,1.5135135135135136,0.05405405405405406,1.4324324324324325,0.7567567567567568,2.135135135135135,24.89189189189189,0.4112903225806452,0.6666666666666666,0.3248407643312102,2.8
941,2006-2007,Drew Gooden,PF,25.0,CLE,885.0,88.0,28.0,115.0,70.0,263.0,418.0,2238.0,80.0,80.0,210.0,199.0,784.0,6.0,1.0,371.0,142.0,16.5,6.5,11.0625,1.1,0.35,1.4375,0.875,8.5125,27.975,0.4732142857142857,0.7135678391959799,0.16666666666666666,6.645402
942,2006-2007,Eddie Griffin,PF,24.0,MIN,18.0,4.0,7.0,6.0,0.0,7.0,18.0,92.0,13.0,0.0,8.0,5.0,27.0,1.0,0.0,7.0,4.0,5.2,-0.2,1.3846153846153846,0.3076923076923077,0.5384615384615384,0.46153846153846156,0.0,1.9230769230769231,7.076923076923077,0.25925925925925924,0.8,0.0,2.7
943,2006-2007,Mike Hall,SF,22.0,WAS,2.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,6.5,0.25,,,0.121388
944,2006-2007,Richard Hamilton,SG,28.0,DET,1485.0,285.0,15.0,159.0,59.0,75.0,207.0,2763.0,75.0,75.0,232.0,403.0,1170.0,129.0,44.0,547.0,347.0,18.1,8.1,19.8,3.8,0.2,2.12,0.7866666666666666,3.76,36.84,0.4675213675213675,0.8610421836228288,0.34108527131782945,9.1875
945,2006-2007,Matt Harpring,SF,30.0,UTA,894.0,99.0,11.0,118.0,52.0,117.0,236.0,1965.0,77.0,2.0,232.0,309.0,656.0,39.0,13.0,322.0,237.0,14.7,4.7,11.61038961038961,1.2857142857142858,0.14285714285714285,1.5324675324675325,0.6753246753246753,4.584415584415584,25.51948051948052,0.49085365853658536,0.7669902912621359,0.3333333333333333,6.5
946,2006-2007,Junior Harrington,PG,26.0,MEM,152.0,89.0,5.0,52.0,21.0,12.0,56.0,543.0,29.0,8.0,79.0,46.0,137.0,26.0,7.0,57.0,31.0,8.9,-0.2,5.241379310344827,3.0689655172413794,0.1724137931034483,1.793103448275862,0.7241379310344828,2.3448275862068964,18.724137931034484,0.41605839416058393,0.6739130434782609,0.2692307692307692,0.3022
947,2006-2007,Othella Harrington,PF,33.0,CHA,67.0,6.0,1.0,15.0,1.0,13.0,25.0,220.0,26.0,0.0,49.0,22.0,56.0,0.0,0.0,25.0,17.0,5.0,0.0,2.576923076923077,0.23076923076923078,0.038461538461538464,0.5769230769230769,0.038461538461538464,1.4615384615384615,8.461538461538462,0.44642857142857145,0.7727272727272727,,2.2
948,2006-2007,Devin Harris,PG,23.0,DAL,813.0,296.0,21.0,146.0,96.0,45.0,151.0,2081.0,80.0,61.0,242.0,261.0,593.0,50.0,14.0,292.0,215.0,16.0,6.5,10.1625,3.7,0.2625,1.825,1.2,2.45,26.0125,0.4924114671163575,0.8237547892720306,0.28,3.15312
949,2006-2007,Adrian Griffin,SF,32.0,CHI,137.0,59.0,4.0,38.0,32.0,40.0,69.0,585.0,54.0,1.0,78.0,19.0,129.0,6.0,0.0,61.0,15.0,10.7,1.3,2.537037037037037,1.0925925925925926,0.07407407407407407,0.7037037037037037,0.5925925925925926,2.0185185185185186,10.833333333333334,0.4728682170542636,0.7894736842105263,0.0,1.475
950,2006-2007,Danny Fortson,C,30.0,SEA,40.0,1.0,0.0,15.0,1.0,13.0,30.0,158.0,14.0,6.0,38.0,13.0,30.0,1.0,0.0,15.0,10.0,4.3,0.0,2.857142857142857,0.07142857142857142,0.0,1.0714285714285714,0.07142857142857142,3.0714285714285716,11.285714285714286,0.5,0.7692307692307693,0.0,6.59699
951,2006-2007,Ryan Gomes,PF,24.0,BOS,881.0,119.0,13.0,105.0,48.0,125.0,282.0,2275.0,73.0,60.0,169.0,233.0,723.0,42.0,16.0,338.0,189.0,13.7,4.2,12.068493150684931,1.63013698630137,0.1780821917808219,1.4383561643835616,0.6575342465753424,5.575342465753424,31.164383561643834,0.46749654218533887,0.8111587982832618,0.38095238095238093,0.664209
952,2006-2007,Gordan Giricek,SG,29.0,UTA,475.0,63.0,5.0,64.0,28.0,24.0,105.0,1188.0,61.0,6.0,122.0,87.0,381.0,122.0,52.0,176.0,71.0,11.3,1.9,7.786885245901639,1.0327868852459017,0.08196721311475409,1.0491803278688525,0.45901639344262296,2.1147540983606556,19.475409836065573,0.46194225721784776,0.8160919540229885,0.4262295081967213,4.0
953,2006-2007,Randy Foye,PG,23.0,MIN,832.0,232.0,21.0,152.0,53.0,49.0,169.0,1879.0,82.0,12.0,184.0,192.0,691.0,185.0,68.0,300.0,164.0,14.0,2.3,10.146341463414634,2.8292682926829267,0.25609756097560976,1.853658536585366,0.6463414634146342,2.658536585365854,22.914634146341463,0.4341534008683068,0.8541666666666666,0.3675675675675676,2.44824
954,2006-2007,Adonal Foyle,C,31.0,GSW,107.0,19.0,50.0,23.0,11.0,51.0,75.0,475.0,48.0,6.0,61.0,25.0,85.0,0.0,0.0,48.0,11.0,13.7,1.0,2.2291666666666665,0.3958333333333333,1.0416666666666667,0.4791666666666667,0.22916666666666666,2.625,9.895833333333334,0.5647058823529412,0.44,,8.125
955,2006-2007,Steve Francis,SG,29.0,NYK,497.0,170.0,12.0,100.0,41.0,33.0,124.0,1237.0,44.0,30.0,126.0,211.0,343.0,111.0,42.0,140.0,175.0,15.1,2.9,11.295454545454545,3.8636363636363638,0.2727272727272727,2.272727272727273,0.9318181818181818,3.5681818181818183,28.113636363636363,0.40816326530612246,0.8293838862559242,0.3783783783783784,15.07
956,2006-2007,Channing Frye,PF,23.0,NYK,684.0,67.0,42.0,100.0,36.0,91.0,304.0,1896.0,72.0,59.0,216.0,108.0,689.0,18.0,3.0,298.0,85.0,10.5,0.9,9.5,0.9305555555555556,0.5833333333333334,1.3888888888888888,0.5,5.486111111111111,26.333333333333332,0.432510885341074,0.7870370370370371,0.16666666666666666,2.325
957,2006-2007,Dan Gadzuric,C,28.0,MIL,258.0,29.0,32.0,49.0,22.0,94.0,152.0,840.0,54.0,8.0,141.0,90.0,228.0,1.0,0.0,108.0,42.0,11.9,0.8,4.777777777777778,0.5370370370370371,0.5925925925925926,0.9074074074074074,0.4074074074074074,4.555555555555555,15.555555555555555,0.47368421052631576,0.4666666666666667,0.0,5.252065
958,2006-2007,Jorge Garbajosa,PF,29.0,TOR,567.0,125.0,15.0,64.0,78.0,48.0,282.0,1909.0,67.0,60.0,90.0,78.0,529.0,193.0,66.0,222.0,57.0,12.1,3.0,8.462686567164178,1.8656716417910448,0.22388059701492538,0.9552238805970149,1.164179104477612,4.925373134328358,28.492537313432837,0.41965973534971646,0.7307692307692307,0.34196891191709844,3.75
959,2006-2007,Francisco Garcia,SF,25.0,SAC,474.0,87.0,43.0,70.0,45.0,53.0,152.0,1410.0,79.0,5.0,190.0,114.0,380.0,149.0,53.0,163.0,95.0,11.7,2.4,6.0,1.1012658227848102,0.5443037974683544,0.8860759493670886,0.569620253164557,2.5949367088607596,17.848101265822784,0.42894736842105263,0.8333333333333334,0.35570469798657717,1.0926
960,2006-2007,Pat Garrity,PF,30.0,ORL,71.0,14.0,0.0,14.0,7.0,12.0,30.0,277.0,33.0,0.0,37.0,18.0,70.0,32.0,11.0,22.0,16.0,6.4,0.2,2.1515151515151514,0.42424242424242425,0.0,0.42424242424242425,0.21212121212121213,1.2727272727272727,8.393939393939394,0.3142857142857143,0.8888888888888888,0.34375,3.525
961,2006-2007,Pau Gasol,C,26.0,MEM,1226.0,201.0,126.0,162.0,29.0,149.0,432.0,2133.0,59.0,59.0,137.0,400.0,858.0,11.0,3.0,462.0,299.0,24.1,6.9,20.779661016949152,3.406779661016949,2.135593220338983,2.7457627118644066,0.4915254237288136,9.847457627118644,36.152542372881356,0.5384615384615384,0.7475,0.2727272727272727,12.364
962,2006-2007,Rudy Gay,SF,20.0,MEM,846.0,100.0,74.0,140.0,71.0,93.0,255.0,2103.0,78.0,43.0,192.0,209.0,760.0,143.0,52.0,321.0,152.0,12.4,0.5,10.846153846153847,1.2820512820512822,0.9487179487179487,1.794871794871795,0.9102564102564102,4.461538461538462,26.96153846153846,0.42236842105263156,0.7272727272727273,0.36363636363636365,2.24292
963,2006-2007,Mickael Gelabale,SF,23.0,SEA,321.0,56.0,22.0,49.0,24.0,59.0,114.0,1239.0,70.0,14.0,108.0,82.0,264.0,47.0,11.0,122.0,66.0,9.8,1.3,4.585714285714285,0.8,0.3142857142857143,0.7,0.34285714285714286,2.4714285714285715,17.7,0.4621212121212121,0.8048780487804879,0.23404255319148937,0.802
964,2006-2007,Devean George,SF,29.0,DAL,381.0,33.0,23.0,51.0,46.0,57.0,156.0,1283.0,60.0,17.0,143.0,48.0,370.0,150.0,53.0,146.0,36.0,9.7,2.1,6.35,0.55,0.38333333333333336,0.85,0.7666666666666667,3.55,21.383333333333333,0.3945945945945946,0.75,0.35333333333333333,1.974259
965,2006-2007,Manu Ginobili,SG,29.0,SAS,1240.0,263.0,27.0,157.0,109.0,59.0,268.0,2060.0,75.0,36.0,155.0,372.0,854.0,323.0,128.0,396.0,320.0,24.1,10.6,16.533333333333335,3.506666666666667,0.36,2.0933333333333333,1.4533333333333334,4.36,27.466666666666665,0.4637002341920375,0.8602150537634409,0.39628482972136225,8.254374
966,2006-2007,Kevin Garnett,PF,30.0,MIN,1704.0,313.0,126.0,205.0,89.0,183.0,792.0,2995.0,76.0,76.0,184.0,498.0,1341.0,56.0,12.0,638.0,416.0,24.1,10.7,22.42105263157895,4.118421052631579,1.6578947368421053,2.6973684210526314,1.1710526315789473,12.828947368421053,39.4078947368421,0.47576435495898584,0.8353413654618473,0.21428571428571427,21.0
967,2006-2007,Speedy Claxton,PG,28.0,ATL,221.0,185.0,4.0,75.0,72.0,12.0,69.0,1054.0,42.0,31.0,131.0,60.0,278.0,28.0,6.0,91.0,33.0,7.3,-0.7,5.261904761904762,4.404761904761905,0.09523809523809523,1.7857142857142858,1.7142857142857142,1.9285714285714286,25.095238095238095,0.3273381294964029,0.55,0.21428571428571427,6.854546
968,2006-2007,Doug Christie,SG,36.0,LAC,13.0,8.0,1.0,5.0,3.0,3.0,8.0,82.0,7.0,0.0,11.0,3.0,17.0,6.0,1.0,5.0,2.0,4.1,-0.1,1.8571428571428572,1.1428571428571428,0.14285714285714285,0.7142857142857143,0.42857142857142855,1.5714285714285714,11.714285714285714,0.29411764705882354,0.6666666666666666,0.16666666666666666,8.125
969,2006-2007,Josh Childress,SG,23.0,ATL,715.0,127.0,36.0,80.0,58.0,123.0,217.0,2024.0,55.0,13.0,118.0,210.0,518.0,77.0,26.0,261.0,167.0,16.2,5.5,13.0,2.309090909090909,0.6545454545454545,1.4545454545454546,1.0545454545454545,6.181818181818182,36.8,0.5038610038610039,0.7952380952380952,0.33766233766233766,2.86392
970,2006-2007,Renaldo Balkman,SF,22.0,NYK,334.0,44.0,44.0,49.0,57.0,97.0,197.0,1064.0,68.0,1.0,146.0,90.0,275.0,27.0,5.0,139.0,51.0,16.1,2.8,4.911764705882353,0.6470588235294118,0.6470588235294118,0.7205882352941176,0.8382352941176471,4.323529411764706,15.647058823529411,0.5054545454545455,0.5666666666666667,0.18518518518518517,1.19124
971,2006-2007,Marcus Banks,PG,25.0,PHO,221.0,60.0,3.0,40.0,23.0,10.0,28.0,503.0,45.0,1.0,70.0,60.0,196.0,29.0,5.0,84.0,48.0,11.3,0.4,4.911111111111111,1.3333333333333333,0.06666666666666667,0.8888888888888888,0.5111111111111111,0.8444444444444444,11.177777777777777,0.42857142857142855,0.8,0.1724137931034483,3.6
972,2006-2007,Leandro Barbosa,SG,24.0,PHO,1444.0,317.0,15.0,146.0,96.0,22.0,192.0,2613.0,80.0,18.0,210.0,232.0,1111.0,438.0,190.0,529.0,196.0,18.4,8.2,18.05,3.9625,0.1875,1.825,1.2,2.675,32.6625,0.47614761476147616,0.8448275862068966,0.4337899543378995,1.679733
973,2006-2007,Andrea Bargnani,PF,21.0,TOR,751.0,50.0,53.0,107.0,32.0,52.0,203.0,1629.0,65.0,2.0,180.0,142.0,625.0,268.0,100.0,267.0,117.0,12.8,1.9,11.553846153846154,0.7692307692307693,0.8153846153846154,1.646153846153846,0.49230769230769234,3.923076923076923,25.06153846153846,0.4272,0.823943661971831,0.373134328358209,4.5012
974,2006-2007,Andre Barrett,PG,24.0,CHI,8.0,7.0,0.0,4.0,0.0,1.0,4.0,29.0,6.0,0.0,4.0,0.0,8.0,0.0,0.0,4.0,0.0,8.2,0.0,1.3333333333333333,1.1666666666666667,0.0,0.6666666666666666,0.0,0.8333333333333334,4.833333333333333,0.5,,,0.744551
975,2006-2007,Kelenna Azubuike,SG,23.0,GSW,291.0,28.0,10.0,39.0,22.0,26.0,68.0,669.0,41.0,9.0,49.0,78.0,220.0,79.0,34.0,98.0,61.0,13.4,1.2,7.097560975609756,0.6829268292682927,0.24390243902439024,0.9512195121951219,0.5365853658536586,2.292682926829268,16.317073170731707,0.44545454545454544,0.782051282051282,0.43037974683544306,0.25977
976,2006-2007,Earl Barron,C,25.0,MIA,65.0,5.0,4.0,11.0,6.0,19.0,22.0,203.0,28.0,0.0,21.0,18.0,83.0,1.0,0.0,24.0,17.0,6.6,-0.3,2.3214285714285716,0.17857142857142858,0.14285714285714285,0.39285714285714285,0.21428571428571427,1.4642857142857142,7.25,0.2891566265060241,0.9444444444444444,0.0,0.744551
977,2006-2007,Esteban Batista,PF,23.0,ATL,20.0,4.0,0.0,4.0,3.0,7.0,23.0,81.0,13.0,0.0,13.0,7.0,16.0,0.0,0.0,8.0,4.0,12.5,0.2,1.5384615384615385,0.3076923076923077,0.0,0.3076923076923077,0.23076923076923078,2.3076923076923075,6.230769230769231,0.5,0.5714285714285714,,0.644209
978,2006-2007,Tony Battie,PF,30.0,ORL,404.0,35.0,30.0,61.0,29.0,92.0,252.0,1575.0,66.0,66.0,185.0,77.0,360.0,1.0,0.0,176.0,52.0,9.8,2.7,6.121212121212121,0.5303030303030303,0.45454545454545453,0.9242424242424242,0.4393939393939394,5.212121212121212,23.863636363636363,0.4888888888888889,0.6753246753246753,0.0,5.746
979,2006-2007,Shane Battier,SF,28.0,HOU,829.0,175.0,60.0,72.0,79.0,67.0,271.0,2988.0,82.0,82.0,190.0,113.0,654.0,373.0,157.0,292.0,88.0,12.0,9.0,10.109756097560975,2.1341463414634148,0.7317073170731707,0.8780487804878049,0.9634146341463414,4.121951219512195,36.4390243902439,0.44648318042813456,0.7787610619469026,0.42091152815013405,5.3933
980,2006-2007,Raja Bell,SG,30.0,PHO,1143.0,196.0,22.0,83.0,50.0,48.0,203.0,2917.0,78.0,78.0,233.0,152.0,950.0,496.0,205.0,410.0,118.0,12.0,5.8,14.653846153846153,2.5128205128205128,0.28205128205128205,1.064102564102564,0.6410256410256411,3.217948717948718,37.3974358974359,0.43157894736842106,0.7763157894736842,0.41330645161290325,4.5
981,2006-2007,Brent Barry,SG,35.0,SAS,635.0,138.0,12.0,61.0,56.0,17.0,143.0,1631.0,75.0,28.0,88.0,117.0,425.0,287.0,128.0,202.0,103.0,16.6,6.8,8.466666666666667,1.84,0.16,0.8133333333333334,0.7466666666666667,2.1333333333333333,21.746666666666666,0.4752941176470588,0.8803418803418803,0.445993031358885,5.11788
982,2006-2007,Mike Bibby,PG,28.0,SAC,1403.0,388.0,6.0,197.0,88.0,39.0,224.0,2784.0,82.0,82.0,139.0,347.0,1166.0,481.0,173.0,471.0,288.0,16.0,4.4,17.109756097560975,4.7317073170731705,0.07317073170731707,2.402439024390244,1.0731707317073171,3.207317073170732,33.951219512195124,0.4039451114922813,0.829971181556196,0.3596673596673597,12.5
983,2006-2007,James Augustine,PF,22.0,ORL,2.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,16.6,0.0,1.0,1.0,0.0,0.0,0.0,1.5,3.5,0.3333333333333333,,,0.412718
984,2006-2007,Carlos Arroyo,PG,27.0,ORL,552.0,202.0,2.0,90.0,39.0,31.0,103.0,1304.0,72.0,5.0,131.0,166.0,478.0,51.0,14.0,203.0,132.0,14.4,2.5,7.666666666666667,2.8055555555555554,0.027777777777777776,1.25,0.5416666666666666,1.8611111111111112,18.11111111111111,0.4246861924686193,0.7951807228915663,0.27450980392156865,4.1
985,2006-2007,Shareef Abdur-Rahim,C,30.0,SAC,793.0,109.0,40.0,116.0,53.0,122.0,276.0,2015.0,80.0,45.0,243.0,234.0,654.0,20.0,3.0,310.0,170.0,13.1,2.8,9.9125,1.3625,0.5,1.45,0.6625,4.975,25.1875,0.4740061162079511,0.7264957264957265,0.15,5.4
