,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%,salary
127,2002-2003,Vince Carter,SG,26.0,TOR,884.0,143.0,41.0,74.0,48.0,59.0,129.0,1471.0,43.0,42.0,121.0,160.0,760.0,131.0,45.0,355.0,129.0,21.9,4.2,20.558139534883722,3.3255813953488373,0.9534883720930233,1.7209302325581395,1.1162790697674418,4.372093023255814,34.2093023255814,0.46710526315789475,0.80625,0.3435114503816794,10.625
128,2002-2003,Anthony Carter,PG,27.0,MIA,199.0,203.0,5.0,81.0,45.0,12.0,71.0,912.0,49.0,26.0,70.0,50.0,233.0,8.0,0.0,83.0,33.0,9.9,-0.2,4.061224489795919,4.142857142857143,0.10204081632653061,1.653061224489796,0.9183673469387755,1.6938775510204083,18.612244897959183,0.3562231759656652,0.66,0.0,3.656
129,2002-2003,Marcus Camby,C,28.0,DEN,221.0,47.0,40.0,27.0,20.0,75.0,133.0,616.0,29.0,9.0,69.0,50.0,227.0,5.0,2.0,93.0,33.0,17.5,1.5,7.620689655172414,1.6206896551724137,1.3793103448275863,0.9310344827586207,0.6896551724137931,7.172413793103448,21.24137931034483,0.40969162995594716,0.66,0.4,6.75
130,2002-2003,Erick Dampier,C,27.0,GSW,673.0,58.0,154.0,112.0,27.0,248.0,295.0,1978.0,82.0,82.0,242.0,222.0,522.0,2.0,0.0,259.0,155.0,15.8,4.1,8.207317073170731,0.7073170731707317,1.8780487804878048,1.3658536585365855,0.32926829268292684,6.621951219512195,24.121951219512194,0.49616858237547895,0.6981981981981982,0.0,6.858
131,2002-2003,LaPhonso Ellis,PF,32.0,MIA,277.0,15.0,15.0,31.0,15.0,44.0,113.0,784.0,55.0,3.0,88.0,66.0,262.0,107.0,27.0,100.0,50.0,11.0,1.1,5.036363636363636,0.2727272727272727,0.2727272727272727,0.5636363636363636,0.2727272727272727,2.8545454545454545,14.254545454545454,0.3816793893129771,0.7575757575757576,0.2523364485981308,3.3
132,2002-2003,Howard Eisley,PG,30.0,NYK,744.0,444.0,9.0,149.0,71.0,24.0,162.0,2243.0,82.0,76.0,222.0,105.0,628.0,337.0,131.0,262.0,89.0,14.1,4.5,9.073170731707316,5.414634146341464,0.10975609756097561,1.8170731707317074,0.8658536585365854,2.268292682926829,27.353658536585368,0.4171974522292994,0.8476190476190476,0.3887240356083086,5.312
133,2002-2003,Tim Duncan,PF,26.0,SAS,1884.0,316.0,237.0,248.0,55.0,259.0,784.0,3181.0,81.0,81.0,231.0,634.0,1392.0,22.0,6.0,714.0,450.0,26.9,16.5,23.25925925925926,3.9012345679012346,2.925925925925926,3.0617283950617282,0.6790123456790124,12.876543209876543,39.27160493827161,0.5129310344827587,0.7097791798107256,0.2727272727272727,12.072
134,2002-2003,Predrag Drobnjak,C,27.0,SEA,771.0,86.0,38.0,65.0,48.0,111.0,209.0,1984.0,82.0,69.0,180.0,115.0,789.0,85.0,30.0,325.0,91.0,12.5,2.4,9.402439024390244,1.048780487804878,0.4634146341463415,0.7926829268292683,0.5853658536585366,3.902439024390244,24.195121951219512,0.41191381495564006,0.7913043478260869,0.35294117647058826,0.526
135,2002-2003,Bryce Drew,PG,28.0,NOH,19.0,11.0,0.0,3.0,2.0,4.0,9.0,79.0,13.0,0.0,2.0,0.0,27.0,7.0,3.0,8.0,0.0,9.4,0.0,1.4615384615384615,0.8461538461538461,0.0,0.23076923076923078,0.15384615384615385,1.0,6.076923076923077,0.2962962962962963,,0.42857142857142855,1.3
136,2002-2003,Keyon Dooling,SG,22.0,LAC,350.0,89.0,6.0,60.0,24.0,9.0,63.0,969.0,55.0,1.0,93.0,57.0,329.0,139.0,50.0,128.0,44.0,9.6,0.3,6.363636363636363,1.6181818181818182,0.10909090909090909,1.0909090909090908,0.43636363636363634,1.309090909090909,17.618181818181817,0.3890577507598784,0.7719298245614035,0.3597122302158273,1.769
137,2002-2003,Michael Doleac,C,25.0,NYK,328.0,42.0,16.0,49.0,16.0,65.0,154.0,1041.0,75.0,0.0,150.0,46.0,343.0,0.0,0.0,146.0,36.0,8.9,0.3,4.373333333333333,0.56,0.21333333333333335,0.6533333333333333,0.21333333333333335,2.92,13.88,0.42565597667638483,0.782608695652174,,2.753
138,2002-2003,Vlade Divac,C,34.0,SAC,795.0,274.0,105.0,152.0,83.0,157.0,417.0,2384.0,80.0,80.0,239.0,251.0,655.0,25.0,6.0,305.0,179.0,15.6,7.0,9.9375,3.425,1.3125,1.9,1.0375,7.175,29.8,0.46564885496183206,0.7131474103585658,0.24,11.248
139,2002-2003,DeSagana Diop,PF,21.0,CLE,119.0,43.0,81.0,56.0,33.0,63.0,152.0,943.0,80.0,1.0,148.0,30.0,154.0,0.0,0.0,54.0,11.0,6.7,-0.2,1.4875,0.5375,1.0125,0.7,0.4125,2.6875,11.7875,0.35064935064935066,0.36666666666666664,,1.98
140,2002-2003,Michael Dickerson,SG,27.0,MEM,29.0,8.0,1.0,6.0,5.0,1.0,5.0,87.0,6.0,1.0,16.0,5.0,24.0,11.0,4.0,10.0,5.0,10.0,0.1,4.833333333333333,1.3333333333333333,0.16666666666666666,1.0,0.8333333333333334,1.0,14.5,0.4166666666666667,1.0,0.36363636363636365,2.699
141,2002-2003,Andrew DeClercq,C,29.0,ORL,365.0,52.0,36.0,84.0,39.0,142.0,197.0,1327.0,77.0,21.0,258.0,104.0,279.0,0.0,0.0,149.0,67.0,11.3,2.6,4.740259740259741,0.6753246753246753,0.4675324675324675,1.0909090909090908,0.5064935064935064,4.402597402597403,17.233766233766232,0.5340501792114696,0.6442307692307693,,3.263
142,2002-2003,Ricky Davis,SG,23.0,CLE,1626.0,436.0,36.0,277.0,125.0,97.0,293.0,3131.0,79.0,76.0,180.0,465.0,1470.0,204.0,74.0,602.0,348.0,16.1,3.0,20.582278481012658,5.518987341772152,0.45569620253164556,3.5063291139240507,1.5822784810126582,4.936708860759493,39.63291139240506,0.4095238095238095,0.7483870967741936,0.3627450980392157,2.156
143,2002-2003,Hubert Davis,SG,32.0,DET,79.0,29.0,0.0,11.0,5.0,6.0,30.0,328.0,43.0,1.0,23.0,6.0,79.0,36.0,12.0,31.0,5.0,8.8,0.5,1.8372093023255813,0.6744186046511628,0.0,0.2558139534883721,0.11627906976744186,0.8372093023255814,7.627906976744186,0.3924050632911392,0.8333333333333334,0.3333333333333333,2.631
144,2002-2003,Emanual Davis,SG,34.0,ATL,88.0,36.0,2.0,25.0,12.0,5.0,38.0,340.0,24.0,1.0,28.0,22.0,88.0,29.0,7.0,32.0,17.0,8.0,-0.1,3.6666666666666665,1.5,0.08333333333333333,1.0416666666666667,0.5,1.7916666666666667,14.166666666666666,0.36363636363636365,0.7727272727272727,0.2413793103448276,0.824
145,2002-2003,Dale Davis,C,33.0,POR,579.0,94.0,70.0,71.0,51.0,233.0,331.0,2282.0,78.0,78.0,189.0,166.0,438.0,0.0,0.0,237.0,105.0,14.5,6.9,7.423076923076923,1.205128205128205,0.8974358974358975,0.9102564102564102,0.6538461538461539,7.230769230769231,29.256410256410255,0.541095890410959,0.6325301204819277,,8.0
146,2002-2003,Baron Davis,PG,23.0,NOH,856.0,320.0,22.0,140.0,91.0,56.0,130.0,1889.0,50.0,47.0,148.0,131.0,798.0,283.0,99.0,332.0,93.0,16.9,4.5,17.12,6.4,0.44,2.8,1.82,3.72,37.78,0.41604010025062654,0.7099236641221374,0.3498233215547703,3.942
147,2002-2003,Antonio Davis,C,34.0,TOR,738.0,131.0,62.0,118.0,23.0,130.0,307.0,1894.0,53.0,52.0,150.0,280.0,641.0,0.0,0.0,261.0,216.0,14.5,2.2,13.924528301886792,2.4716981132075473,1.169811320754717,2.2264150943396226,0.4339622641509434,8.245283018867925,35.735849056603776,0.40717628705148207,0.7714285714285715,,12.0
