,team,salary,Player,position,season
0,Minnesota Timberwolves,25.2,Kevin Garnett, PF,2002-2003
1,Portland Trail Blazers,13.5,Damon Stoudamire, PG,2002-2003
2,Seattle SuperSonics,13.08,Gary Payton, PG,2002-2003
3,Seattle SuperSonics,12.375,Ray Allen, SG,2002-2003
4,New York Knicks,12.375,Latrell Sprewell, SG,2002-2003
5,Boston Celtics,12.375,Antoine Walker, PF,2002-2003
6,Phoenix Suns,12.375,Stephon Marbury, PG,2002-2003
7,San Antonio Spurs,12.072,Tim Duncan, C,2002-2003
8,Orlando Magic,12.072,Tracy McGrady, SG,2002-2003
9,Orlando Magic,12.072,Grant Hill, SF,2002-2003
10,Indiana Pacers,12.046,Reggie Miller, SG,2002-2003
11,Los Angeles Lakers,23.571,Shaquille O'Neal, C,2002-2003
12,Toronto Raptors,12.0,Antonio Davis, PF,2002-2003
13,Dallas Mavericks,11.953,Michael Finley, SG,2002-2003
14,Sacramento Kings,11.248,Vlade Divac, C,2002-2003
15,Miami Heat,11.2,Eddie Jones, SG,2002-2003
16,Miami Heat,11.121,Brian Grant, PF,2002-2003
17,New York Knicks,11.0,Allan Houston, SG,2002-2003
18,Phoenix Suns,10.89,Tom Gugliotta, PF,2002-2003
19,Milwaukee Bucks,10.75,Tim Thomas, PF,2002-2003
20,Toronto Raptors,10.625,Vince Carter, SF,2002-2003
21,San Antonio Spurs,10.5,David Robinson, C,2002-2003
22,Orlando Magic,21.5,Shawn Kemp, C,2002-2003
23,Dallas Mavericks,10.003,Nick Van Exel, PG,2002-2003
24,San Antonio Spurs,9.9,Steve Smith, SG,2002-2003
25,Atlanta Hawks,9.86,Glenn Robinson, SF,2002-2003
26,Philadelphia 76ers,9.83,Derrick Coleman, PF,2002-2003
27,Atlanta Hawks,9.375,Theo Ratliff, C,2002-2003
28,New Jersey Nets,9.26,Jason Kidd, PG,2002-2003
29,Houston Rockets,9.2,Glen Rice, SF,2002-2003
30,Seattle SuperSonics,9.185,Kenny Anderson, PG,2002-2003
31,Utah Jazz,9.0,John Stockton, G,2002-2003
32,New Jersey Nets,8.717,Kerry Kittles, SG,2002-2003
33,Denver Nuggets,20.625,Juwan Howard, PF,2002-2003
34,Detroit Pistons,8.421,Clifford Robinson, PF,2002-2003
35,Portland Trail Blazers,19.727,Scottie Pippen, SF,2002-2003
36,Utah Jazz,19.25,Karl Malone, PF,2002-2003
37,Portland Trail Blazers,16.2,Rasheed Wallace, PF,2002-2003
38,New Jersey Nets,16.105,Dikembe Mutombo, C,2002-2003
39,Sacramento Kings,14.343,Chris Webber, C,2002-2003
40,Milwaukee Bucks,8.05,Toni Kukoc, SF,2002-2003
41,Portland Trail Blazers,8.0,Dale Davis, PF,2002-2003
42,Seattle SuperSonics,7.975,Elden Campbell, C,2002-2003
43,Utah Jazz,7.799,Greg Ostertag, C,2002-2003
44,New Orleans Hornets,7.75,Jamal Mashburn, SF,2002-2003
45,Houston Rockets,7.15,Maurice Taylor, PF,2002-2003
46,Portland Trail Blazers,7.145,Derek Anderson, SG,2002-2003
47,Chicago Bulls,7.14,Donyell Marshall, PF,2002-2003
48,Atlanta Hawks,7.091,Alan Henderson, PF,2002-2003
49,New Orleans Hornets,7.044,P.J. Brown, PF,2002-2003
50,Memphis Grizzlies,7.0,Wesley Person, SF,2002-2003
51,Indiana Pacers,6.96,Austin Croshere, PF,2002-2003
52,Indiana Pacers,6.95,Jermaine O'Neal, C,2002-2003
53,Golden State Warriors,6.858,Erick Dampier, C,2002-2003
54,Denver Nuggets,6.75,Marcus Camby, C,2002-2003
55,Houston Rockets,6.696,Kelvin Cato, C,2002-2003
56,Indiana Pacers,6.618,Ron Mercer, SG,2002-2003
57,Philadelphia 76ers,6.6,Tyrone Hill, PF,2002-2003
58,Phoenix Suns,6.555,Bo Outlaw, PF,2002-2003
59,New York Knicks,6.1,Shandon Anderson, SF,2002-2003
60,LA Clippers,6.061,Michael Olowokandi, C,2002-2003
61,Memphis Grizzlies,6.05,Lorenzen Wright, PF,2002-2003
62,Washington Wizards,6.0,Jerry Stackhouse, SF,2002-2003
63,Golden State Warriors,6.0,Chris Mills, SF,2002-2003
64,Dallas Mavericks,5.75,Steve Nash, PG,2002-2003
65,New York Knicks,5.75,Charlie Ward, PG,2002-2003
66,Chicago Bulls,5.726,Eddie Robinson, SF,2002-2003
67,Sacramento Kings,5.625,Doug Christie, SG,2002-2003
68,Sacramento Kings,5.625,Peja Stojakovic, SF,2002-2003
69,Golden State Warriors,5.54,Bob Sura, PG,2002-2003
70,Sacramento Kings,5.448,Mike Bibby, PG,2002-2003
71,Toronto Raptors,5.35,Alvin Williams, PG,2002-2003
72,New York Knicks,5.312,Howard Eisley, PG,2002-2003
73,Los Angeles Lakers,5.3,Robert Horry, PF,2002-2003
74,Toronto Raptors,5.25,Jerome Williams, PF,2002-2003
75,Milwaukee Bucks,5.25,Jason Caffey, F,2002-2003
76,Seattle SuperSonics,5.238,Vitaly Potapenko, C,2002-2003
77,Atlanta Hawks,5.13,Nazr Mohammed, C,2002-2003
78,Memphis Grizzlies,5.062,Brevin Knight, PG,2002-2003
79,Seattle SuperSonics,5.04,Brent Barry, SG,2002-2003
80,Dallas Mavericks,4.675,Shawn Bradley, C,2002-2003
81,Orlando Magic,4.506,Darrell Armstrong, PG,2002-2003
82,Detroit Pistons,4.5,Corliss Williamson, PF,2002-2003
83,Philadelphia 76ers,4.5,Aaron McKie, SG,2002-2003
84,Milwaukee Bucks,4.5,Sam Cassell, PG,2002-2003
85,Golden State Warriors,4.469,Antawn Jamison, PF,2002-2003
86,Golden State Warriors,4.4,Adonal Foyle, C,2002-2003
87,Houston Rockets,4.383,Steve Francis, PG,2002-2003
88,Utah Jazz,4.22,Mark Jackson, PG,2002-2003
89,Los Angeles Lakers,4.17,Rick Fox, SF,2002-2003
90,Cleveland Cavaliers,4.16,Michael Stewart, PF,2002-2003
91,Philadelphia 76ers,4.125,Eric Snow, PG,2002-2003
92,New Jersey Nets,4.067,Kenyon Martin, PF,2002-2003
93,Milwaukee Bucks,4.03,Ervin Johnson, C,2002-2003
94,Boston Celtics,4.0,Tony Battie, C,2002-2003
95,New York Knicks,4.0,Travis Knight, C,2002-2003
96,Washington Wizards,3.974,Kwame Brown, C,2002-2003
97,New Orleans Hornets,3.942,Baron Davis, PG,2002-2003
98,Detroit Pistons,3.85,Zeljko Rebraca, C,2002-2003
99,Indiana Pacers,3.78,Tim Hardaway, G,2002-2003
100,Los Angeles Lakers,3.74,Tracy Murray, SF,2002-2003
101,Boston Celtics,5.004,Eric Williams, PF,2002-2003
102,Detroit Pistons,5.0,Ben Wallace, PF,2002-2003
103,Seattle SuperSonics,4.992,Calvin Booth, C,2002-2003
104,Milwaukee Bucks,4.992,Anthony Mason, F,2002-2003
105,Portland Trail Blazers,4.992,Ruben Patterson, PF,2002-2003
106,Minnesota Timberwolves,4.991,Joe Smith, PF,2002-2003
107,Philadelphia 76ers,4.991,Todd MacCulloch, C,2002-2003
108,New York Knicks,4.991,Clarence Weatherspoon, PF,2002-2003
109,Dallas Mavericks,4.991,Avery Johnson, PG,2002-2003
110,Washington Wizards,4.973,Christian Laettner, PF,2002-2003
111,Golden State Warriors,4.935,Danny Fortson, C,2002-2003
112,Dallas Mavericks,4.926,Raef LaFrentz, C,2002-2003
113,New York Knicks,4.904,Kurt Thomas, PF,2002-2003
114,Houston Rockets,4.903,Cuttino Mobley, SG,2002-2003
115,Washington Wizards,4.903,Jahidi White, C,2002-2003
116,Seattle SuperSonics,4.903,Rashard Lewis, PF,2002-2003
117,LA Clippers,4.895,Elton Brand, PF,2002-2003
118,Sacramento Kings,4.827,Scot Pollard, C,2002-2003
119,Indiana Pacers,4.8,Brad Miller, C,2002-2003
120,New Orleans Hornets,3.726,Robert Traylor, PF,2002-2003
121,Memphis Grizzlies,3.656,Stromile Swift, PF,2002-2003
122,Miami Heat,3.656,Anthony Carter, PG,2002-2003
123,New Orleans Hornets,3.6,David Wesley, SG,2002-2003
124,Detroit Pistons,3.6,Chucky Atkins, PG,2002-2003
125,Houston Rockets,3.6,Moochie Norris, PG,2002-2003
126,Minnesota Timberwolves,3.575,Marc Jackson, PF,2002-2003
127,LA Clippers,3.557,Lamar Odom, PF,2002-2003
128,Memphis Grizzlies,3.425,Jason Williams, PG,2002-2003
129,Portland Trail Blazers,3.375,Antonio Daniels, PG,2002-2003
130,Miami Heat,3.3,LaPhonso Ellis, F,2002-2003
131,Sacramento Kings,3.3,Lawrence Funderburke, PF,2002-2003
132,Cleveland Cavaliers,3.267,Darius Miles, SF,2002-2003
133,Orlando Magic,3.263,Andrew DeClercq, C,2002-2003
134,Indiana Pacers,3.226,Jonathan Bender, SF,2002-2003
135,Minnesota Timberwolves,3.22,Anthony Peeler, SG,2002-2003
136,Memphis Grizzlies,3.194,Pau Gasol, C,2002-2003
137,Detroit Pistons,3.175,Jon Barry, SG,2002-2003
138,Washington Wizards,3.159,Larry Hughes, SG,2002-2003
139,Dallas Mavericks,3.104,Evan Eschmeyer, C,2002-2003
140,Los Angeles Lakers,3.0,Derek Fisher, PG,2002-2003
141,Toronto Raptors,3.0,Lindsey Hunter, SG,2002-2003
142,Orlando Magic,2.962,Chris Whitney, PG,2002-2003
143,Chicago Bulls,2.946,Marcus Fizer, F,2002-2003
144,Minnesota Timberwolves,2.933,Wally Szczerbiak, SG,2002-2003
145,Dallas Mavericks,2.923,Dirk Nowitzki, PF,2002-2003
146,Boston Celtics,2.813,Mikki Moore, C,2002-2003
147,Boston Celtics,2.793,Paul Pierce, SF,2002-2003
148,Portland Trail Blazers,2.777,Bonzi Wells, SG,2002-2003
149,Atlanta Hawks,2.775,Matt Maloney, G,2002-2003
150,New York Knicks,2.753,Michael Doleac, C,2002-2003
151,Atlanta Hawks,2.75,Chris Crawford, SF,2002-2003
152,Sacramento Kings,2.726,Keon Clark, PF,2002-2003
153,Cleveland Cavaliers,2.7,Bimbo Coles, PG,2002-2003
154,Phoenix Suns,2.7,Randy Brown, G,2002-2003
155,New York Knicks,2.7,Othella Harrington, PF,2002-2003
156,Sacramento Kings,2.7,Bobby Jackson, PG,2002-2003
157,Memphis Grizzlies,2.699,Michael Dickerson, G,2002-2003
158,Detroit Pistons,2.681,Richard Hamilton, SG,2002-2003
159,Memphis Grizzlies,2.668,Mike Miller, SG,2002-2003
160,Utah Jazz,2.667,Matt Harpring, SF,2002-2003
161,Orlando Magic,2.662,Horace Grant, C,2002-2003
162,LA Clippers,2.64,Sean Rooks, C,2002-2003
163,New Jersey Nets,2.64,Lucious Harris, SG,2002-2003
164,Detroit Pistons,2.631,Hubert Davis, SG,2002-2003
165,San Antonio Spurs,2.625,Steve Kerr, G,2002-2003
166,Detroit Pistons,2.6,Michael Curry, SF,2002-2003
167,New Orleans Hornets,2.6,George Lynch, SF,2002-2003
168,LA Clippers,2.46,Andre Miller, PG,2002-2003
169,Minnesota Timberwolves,2.436,Rasho Nesterovic, C,2002-2003
170,New Orleans Hornets,2.4,Stacey Augmon, SF,2002-2003
171,Utah Jazz,2.393,John Amaechi, PF,2002-2003
172,Memphis Grizzlies,2.368,Shane Battier, SF,2002-2003
173,Phoenix Suns,2.265,Shawn Marion, SG,2002-2003
174,Orlando Magic,2.238,Pat Garrity, PF,2002-2003
175,Cleveland Cavaliers,2.222,Chris Mihm, C,2002-2003
176,Houston Rockets,2.162,Eddie Griffin, PF,2002-2003
177,Cleveland Cavaliers,2.156,Ricky Davis, SG,2002-2003
178,Atlanta Hawks,2.153,Jason Terry, G,2002-2003
179,Philadelphia 76ers,2.148,Brian Skinner, PF,2002-2003
180,Indiana Pacers,2.11,Al Harrington, PF,2002-2003
181,LA Clippers,2.069,Corey Maggette, SF,2002-2003
182,Chicago Bulls,2.026,Jamal Crawford, SG,2002-2003
183,Denver Nuggets,1.987,Shammond Williams, PG,2002-2003
184,Cleveland Cavaliers,1.98,DeSagana Diop, C,2002-2003
185,Indiana Pacers,1.904,Metta World Peace, SF,2002-2003
186,Washington Wizards,1.885,Tyronn Lue, PG,2002-2003
187,Milwaukee Bucks,1.862,Joel Przybilla, C,2002-2003
188,Denver Nuggets,1.821,Rodney White, SF,2002-2003
189,LA Clippers,1.769,Keyon Dooling, PG,2002-2003
190,Phoenix Suns,1.729,Joe Johnson, G,2002-2003
191,Houston Rockets,1.723,James Posey, SF,2002-2003
192,New Orleans Hornets,1.681,Jerome Moiso, C,2002-2003
193,Detroit Pistons,1.65,Danny Manning, F,2002-2003
194,Boston Celtics,1.643,Kedrick Brown, SG,2002-2003
195,Utah Jazz,1.636,Tony Massenburg, PF,2002-2003
196,Washington Wizards,1.605,Etan Thomas, C,2002-2003
197,Atlanta Hawks,1.584,Dion Glover, SG,2002-2003
198,Indiana Pacers,1.571,Jeff Foster, PF,2002-2003
199,Seattle SuperSonics,1.561,Vladimir Radmanovic, SF,2002-2003
200,Philadelphia 76ers,1.557,Kenny Thomas, PF,2002-2003
201,Los Angeles Lakers,1.542,Devean George, SF,2002-2003
202,Los Angeles Lakers,1.54,Samaki Walker, PF,2002-2003
203,New Orleans Hornets,1.524,Courtney Alexander, SG,2002-2003
204,New Jersey Nets,1.482,Richard Jefferson, F,2002-2003
205,Sacramento Kings,1.441,Mateen Cleaves, PG,2002-2003
206,Cleveland Cavaliers,1.419,Jumaine Jones, SF,2002-2003
207,Utah Jazz,1.41,Scott Padgett, PF,2002-2003
208,Golden State Warriors,1.409,Troy Murphy, PF,2002-2003
209,Los Angeles Lakers,1.4,Brian Shaw, G,2002-2003
210,Chicago Bulls,1.4,Corie Blount, PF,2002-2003
211,Philadelphia 76ers,1.4,Monty Williams, SF,2002-2003
212,Houston Rockets,1.376,Jason Collier, C,2002-2003
213,Sacramento Kings,1.3,Hedo Turkoglu, SF,2002-2003
214,New Orleans Hornets,1.3,Bryce Drew, PG,2002-2003
215,New Orleans Hornets,1.271,Kirk Haston, F,2002-2003
216,Seattle SuperSonics,1.235,Desmond Mason, SF,2002-2003
217,Toronto Raptors,1.208,Michael Bradley, PF,2002-2003
218,LA Clippers,1.174,Quentin Richardson, SF,2002-2003
219,New Jersey Nets,1.147,Jason Collins, C,2002-2003
220,New Orleans Hornets,1.126,Jamaal Magloire, C,2002-2003
221,Detroit Pistons,1.1,Don Reid, F,2002-2003
222,San Antonio Spurs,1.1,Danny Ferry, F,2002-2003
223,Philadelphia 76ers,1.1,Mark Bryant, F,2002-2003
224,Portland Trail Blazers,1.096,Zach Randolph, PF,2002-2003
225,San Antonio Spurs,1.081,Speedy Claxton, PG,2002-2003
226,Toronto Raptors,1.033,Morris Peterson, SG,2002-2003
227,Washington Wizards,1.03,Michael Jordan, G,2002-2003
228,Seattle SuperSonics,1.009,Joseph Forte, G,2002-2003
229,San Antonio Spurs,1.0,Kevin Willis, C,2002-2003
230,Denver Nuggets,0.992,Donnell Harvey, PF,2002-2003
231,Orlando Magic,0.969,Jeryl Sasser, G,2002-2003
232,Utah Jazz,0.956,DeShawn Stevenson, SG,2002-2003
233,New Jersey Nets,0.93,Brandon Armstrong, SG,2002-2003
234,Chicago Bulls,0.914,Dalibor Bagaric, C,2002-2003
235,Utah Jazz,0.893,Andrei Kirilenko, SF,2002-2003
236,Phoenix Suns,0.877,Jake Tsakalidis, C,2002-2003
237,Toronto Raptors,0.852,Mamadou N'diaye, C,2002-2003
238,San Antonio Spurs,0.824,Bruce Bowen, SF,2002-2003
239,LA Clippers,0.824,Cherokee Parks, PF,2002-2003
240,Atlanta Hawks,0.824,Emanual Davis, G,2002-2003
241,Los Angeles Lakers,0.817,Mark Madsen, PF,2002-2003
242,Indiana Pacers,0.805,Jamaal Tinsley, PG,2002-2003
243,Indiana Pacers,0.805,Primoz Brezec, C,2002-2003
244,San Antonio Spurs,0.8,Tony Parker, PG,2002-2003
245,Cleveland Cavaliers,0.749,Milt Palacio, PG,2002-2003
246,Sacramento Kings,0.714,Gerald Wallace, SF,2002-2003
247,Orlando Magic,0.7,Jacque Vaughn, PG,2002-2003
248,Golden State Warriors,0.7,Earl Boykins, PG,2002-2003
249,Miami Heat,0.637,Vladimir Stepania, C,2002-2003
250,Denver Nuggets,0.637,Mark Blount, C,2002-2003
251,Atlanta Hawks,0.612,Amal McCaskill, C,2002-2003
252,Portland Trail Blazers,0.612,Charles Smith, SG,2002-2003
253,Phoenix Suns,0.587,Jake Voskuhl, C,2002-2003
254,San Antonio Spurs,0.587,Stephen Jackson, SF,2002-2003
255,Denver Nuggets,0.587,Ryan Bowen, SF,2002-2003
256,Orlando Magic,0.587,Olumide Oyedeji, C,2002-2003
257,Seattle SuperSonics,0.526,Predrag Drobnjak, C,2002-2003
258,Chicago Bulls,0.512,Trenton Hassell, SF,2002-2003
259,Toronto Raptors,0.512,Damone Brown, PF,2002-2003
260,Golden State Warriors,0.512,Gilbert Arenas, PG,2002-2003
261,Denver Nuggets,0.512,Jeff Trepagnier, SG,2002-2003
262,New Jersey Nets,0.512,Brian Scalabrine, PF,2002-2003
263,Minnesota Timberwolves,28.0,Kevin Garnett, PF,2003-2004
264,Dallas Mavericks,13.5,Antoine Walker, PF,2003-2004
265,Phoenix Suns,13.5,Stephon Marbury, PG,2003-2004
266,Dallas Mavericks,13.281,Michael Finley, SG,2003-2004
267,New York Knicks,13.28,Keith Van Horn, PF,2003-2004
268,San Antonio Spurs,13.279,Tim Duncan, C,2003-2004
269,Orlando Magic,13.279,Tracy McGrady, SG,2003-2004
270,Toronto Raptors,13.279,Jalen Rose, SG,2003-2004
271,Miami Heat,12.32,Eddie Jones, SG,2003-2004
272,Miami Heat,12.234,Brian Grant, PF,2003-2004
273,Sacramento Kings,12.051,Vlade Divac, C,2003-2004
274,Los Angeles Lakers,26.571,Shaquille O'Neal, C,2003-2004
275,Toronto Raptors,12.0,Antonio Davis, PF,2003-2004
276,Toronto Raptors,11.953,Vince Carter, SF,2003-2004
277,New York Knicks,11.825,Tim Thomas, PF,2003-2004
278,Utah Jazz,11.668,Tom Gugliotta, PF,2003-2004
279,New Jersey Nets,10.95,Jason Kidd, PG,2003-2004
280,Golden State Warriors,10.912,Nick Van Exel, PG,2003-2004
281,Philadelphia 76ers,10.73,Glenn Robinson, SF,2003-2004
282,Portland Trail Blazers,10.156,Theo Ratliff, C,2003-2004
283,LA Clippers,9.6,Glen Rice, SF,2003-2004
284,New Jersey Nets,9.267,Kerry Kittles, SG,2003-2004
285,Portland Trail Blazers,18.0,Rasheed Wallace, PF,2003-2004
286,Utah Jazz,8.666,Greg Ostertag, C,2003-2004
287,New Orleans Hornets,8.525,Jamal Mashburn, SF,2003-2004
288,Milwaukee Bucks,8.05,Toni Kukoc, SF,2003-2004
289,Houston Rockets,7.8,Maurice Taylor, PF,2003-2004
290,Portland Trail Blazers,7.794,Derek Anderson, SG,2003-2004
291,Memphis Grizzlies,7.7,Wesley Person, SF,2003-2004
292,Atlanta Hawks,7.682,Alan Henderson, PF,2003-2004
293,Indiana Pacers,7.61,Austin Croshere, PF,2003-2004
294,Golden State Warriors,7.482,Erick Dampier, C,2003-2004
295,Houston Rockets,7.344,Kelvin Cato, C,2003-2004
296,New York Knicks,17.895,Dikembe Mutombo, C,2003-2004
297,Denver Nuggets,7.25,Marcus Camby, C,2003-2004
298,New York Knicks,15.937,Allan Houston, SG,2003-2004
299,Sacramento Kings,15.937,Chris Webber, C,2003-2004
300,Portland Trail Blazers,14.625,Damon Stoudamire, PG,2003-2004
301,Seattle SuperSonics,13.5,Ray Allen, SG,2003-2004
302,Minnesota Timberwolves,13.5,Latrell Sprewell, SG,2003-2004
303,San Antonio Spurs,7.169,Ron Mercer, SG,2003-2004
304,New York Knicks,6.7,Shandon Anderson, SF,2003-2004
305,Memphis Grizzlies,6.6,Lorenzen Wright, PF,2003-2004
306,Washington Wizards,6.5,Jerry Stackhouse, SF,2003-2004
307,LA Clippers,6.364,Elton Brand, PF,2003-2004
308,Sacramento Kings,6.25,Doug Christie, SG,2003-2004
309,Sacramento Kings,6.25,Peja Stojakovic, SF,2003-2004
310,Chicago Bulls,6.246,Eddie Robinson, SF,2003-2004
311,Detroit Pistons,6.166,Bob Sura, PG,2003-2004
312,San Antonio Spurs,6.03,Charlie Ward, PG,2003-2004
313,Memphis Grizzlies,5.955,Bo Outlaw, PF,2003-2004
314,Phoenix Suns,5.843,Howard Eisley, PG,2003-2004
315,Dallas Mavericks,5.75,Steve Nash, PG,2003-2004
316,Houston Rockets,5.72,Steve Francis, PG,2003-2004
317,Seattle SuperSonics,5.715,Vitaly Potapenko, C,2003-2004
318,New York Knicks,5.7,Nazr Mohammed, C,2003-2004
319,Cleveland Cavaliers,5.56,Eric Williams, PF,2003-2004
320,Washington Wizards,5.526,Christian Laettner, PF,2003-2004
321,Toronto Raptors,5.5,Alvin Williams, PG,2003-2004
322,Detroit Pistons,5.5,Ben Wallace, PF,2003-2004
323,Portland Trail Blazers,5.447,Ruben Patterson, PF,2003-2004
324,Seattle SuperSonics,5.446,Calvin Booth, C,2003-2004
325,Milwaukee Bucks,5.445,Joe Smith, PF,2003-2004
326,New York Knicks,5.445,Clarence Weatherspoon, PF,2003-2004
327,Golden State Warriors,5.445,Avery Johnson, PG,2003-2004
328,Dallas Mavericks,5.428,Danny Fortson, C,2003-2004
329,Toronto Raptors,5.4,Jerome Williams, PF,2003-2004
330,Seattle SuperSonics,5.4,Brent Barry, SG,2003-2004
331,Washington Wizards,5.394,Jahidi White, C,2003-2004
332,New York Knicks,5.394,Kurt Thomas, PF,2003-2004
333,Houston Rockets,5.393,Cuttino Mobley, SG,2003-2004
334,Indiana Pacers,5.31,Scot Pollard, C,2003-2004
335,San Antonio Spurs,5.3,Robert Horry, PF,2003-2004
336,Dallas Mavericks,5.194,Shawn Bradley, C,2003-2004
337,New Orleans Hornets,5.173,Baron Davis, PG,2003-2004
338,New Jersey Nets,5.128,Kenyon Martin, PF,2003-2004
339,Washington Wizards,5.062,Brevin Knight, PG,2003-2004
340,Detroit Pistons,5.0,Corliss Williamson, PF,2003-2004
341,Philadelphia 76ers,5.0,Aaron McKie, SG,2003-2004
342,Miami Heat,4.692,Lamar Odom, PF,2003-2004
343,Sacramento Kings,3.6,Lawrence Funderburke, PF,2003-2004
344,New York Knicks,3.6,Moochie Norris, PG,2003-2004
345,Detroit Pistons,3.596,Richard Hamilton, SG,2003-2004
346,Memphis Grizzlies,3.417,Pau Gasol, C,2003-2004
347,Memphis Grizzlies,3.38,Mike Miller, SG,2003-2004
348,Denver Nuggets,3.317,Andre Miller, PG,2003-2004
349,Detroit Pistons,3.3,Lindsey Hunter, SG,2003-2004
350,Washington Wizards,3.259,Chris Whitney, PG,2003-2004
351,New York Knicks,3.087,DerMarr Johnson, SF,2003-2004
352,Phoenix Suns,3.069,Shawn Marion, SG,2003-2004
353,Los Angeles Lakers,3.0,Derek Fisher, PG,2003-2004
354,Atlanta Hawks,3.0,Chris Crawford, SF,2003-2004
355,Atlanta Hawks,2.933,Jason Terry, G,2003-2004
356,Miami Heat,2.925,Bimbo Coles, PG,2003-2004
357,New Jersey Nets,2.925,Aaron Williams, C,2003-2004
358,New York Knicks,2.925,Othella Harrington, PF,2003-2004
359,Dallas Mavericks,2.925,Tony Delk, PG,2003-2004
360,Sacramento Kings,2.925,Bobby Jackson, PG,2003-2004
361,Los Angeles Lakers,2.903,Horace Grant, C,2003-2004
362,New Jersey Nets,2.894,Hubert Davis, SG,2003-2004
363,LA Clippers,2.862,Corey Maggette, SF,2003-2004
364,Memphis Grizzlies,4.614,Stromile Swift, PF,2003-2004
365,Houston Rockets,4.58,Mark Jackson, PG,2003-2004
366,Los Angeles Lakers,4.549,Rick Fox, SF,2003-2004
367,Toronto Raptors,4.5,Lamond Murray, SF,2003-2004
368,Philadelphia 76ers,4.5,Eric Snow, PG,2003-2004
369,Cleveland Cavaliers,4.48,Michael Stewart, PF,2003-2004
370,Cleveland Cavaliers,4.4,Tony Battie, C,2003-2004
371,Golden State Warriors,4.4,Adonal Foyle, C,2003-2004
372,Indiana Pacers,4.278,Jonathan Bender, SF,2003-2004
373,Washington Wizards,4.252,Kwame Brown, C,2003-2004
374,Detroit Pistons,4.2,Zeljko Rebraca, C,2003-2004
375,Portland Trail Blazers,4.13,Darius Miles, SF,2003-2004
376,San Antonio Spurs,4.063,Anthony Carter, PG,2003-2004
377,New Orleans Hornets,3.96,David Wesley, SG,2003-2004
378,Minnesota Timberwolves,3.912,Wally Szczerbiak, SG,2003-2004
379,Detroit Pistons,3.9,Chucky Atkins, PG,2003-2004
380,Philadelphia 76ers,3.9,Marc Jackson, PF,2003-2004
381,Chicago Bulls,3.726,Marcus Fizer, F,2003-2004
382,Orlando Magic,3.625,Andrew DeClercq, C,2003-2004
383,Cleveland Cavaliers,2.823,Chris Mihm, C,2003-2004
384,Toronto Raptors,2.8,Michael Curry, SF,2003-2004
385,New Orleans Hornets,2.8,George Lynch, SF,2003-2004
386,Indiana Pacers,2.676,Metta World Peace, SF,2003-2004
387,New York Knicks,2.61,John Amaechi, PF,2003-2004
388,Chicago Bulls,2.577,Jamal Crawford, SG,2003-2004
389,Memphis Grizzlies,2.533,Shane Battier, SF,2003-2004
390,Memphis Grizzlies,2.445,James Posey, SF,2003-2004
391,New Orleans Hornets,2.4,Stacey Augmon, SF,2003-2004
392,Milwaukee Bucks,2.373,Joel Przybilla, C,2003-2004
393,Minnesota Timberwolves,2.35,Quincy Lewis, SG,2003-2004
394,Toronto Raptors,2.27,Dion Glover, SG,2003-2004
395,Indiana Pacers,2.264,Jeff Foster, PF,2003-2004
396,LA Clippers,2.256,Keyon Dooling, PG,2003-2004
397,Los Angeles Lakers,2.244,Devean George, SF,2003-2004
398,Toronto Raptors,2.23,Jerome Moiso, C,2003-2004
399,Philadelphia 76ers,2.225,Kenny Thomas, PF,2003-2004
400,Washington Wizards,2.211,Etan Thomas, C,2003-2004
401,Cleveland Cavaliers,2.134,Mateen Cleaves, PG,2003-2004
402,Cleveland Cavaliers,2.118,DeSagana Diop, C,2003-2004
403,Atlanta Hawks,2.109,Jason Collier, C,2003-2004
404,Boston Celtics,2.104,Jumaine Jones, SF,2003-2004
405,Houston Rockets,2.102,Scott Padgett, PF,2003-2004
406,San Antonio Spurs,1.995,Hedo Turkoglu, SF,2003-2004
407,Denver Nuggets,1.948,Rodney White, SF,2003-2004
408,Milwaukee Bucks,1.898,Desmond Mason, SF,2003-2004
409,Phoenix Suns,1.85,Joe Johnson, G,2003-2004
410,LA Clippers,1.805,Quentin Richardson, SF,2003-2004
411,Cleveland Cavaliers,1.757,Kedrick Brown, SG,2003-2004
412,New Orleans Hornets,1.735,Jamaal Magloire, C,2003-2004
413,Seattle SuperSonics,1.67,Vladimir Radmanovic, SF,2003-2004
414,Golden State Warriors,1.667,Speedy Claxton, PG,2003-2004
415,Toronto Raptors,1.646,Morris Peterson, SG,2003-2004
416,Phoenix Suns,1.631,Donnell Harvey, PF,2003-2004
417,Utah Jazz,1.624,DeShawn Stevenson, SG,2003-2004
418,New Jersey Nets,1.586,Richard Jefferson, F,2003-2004
419,Memphis Grizzlies,1.58,Jake Tsakalidis, C,2003-2004
420,Dallas Mavericks,1.537,Mamadou N'diaye, C,2003-2004
421,Golden State Warriors,1.507,Troy Murphy, PF,2003-2004
422,Minnesota Timberwolves,1.474,Mark Madsen, PF,2003-2004
423,New Orleans Hornets,1.3,Bryce Drew, PG,2003-2004
424,Toronto Raptors,1.292,Michael Bradley, PF,2003-2004
425,New Jersey Nets,1.227,Jason Collins, C,2003-2004
426,Portland Trail Blazers,1.172,Zach Randolph, PF,2003-2004
427,New Jersey Nets,0.995,Brandon Armstrong, SG,2003-2004
428,Utah Jazz,0.956,Andrei Kirilenko, SF,2003-2004
