Player,income,adj_income,season
Aaron Brooks,2250000,2876722,2016
Aaron Gordon,4171680,5333673,2016
Aaron Gray,1356146,1733891,2016
Aaron Harrison,525093,671354,2016
Adreian Payne,1938840,2478890,2016
Al Horford,12000000,15342518,2016
Al Jefferson,13500000,17260333,2016
Al-Farouq Aminu,8042895,10283188,2016
Alan Anderson,4000000,5114172,2016
Alan Williams,114284,146117,2016
Alec Burks,9213484,11779837,2016
Alex Len,3807120,4867567,2016
Alex Stepheson,92662,118472,2016
Alexis Ajinca,4539607,5804083,2016
Allen Crabbe,947276,1211133,2016
Alonzo Gee,1320000,1687677,2016
Amare Stoudemire,1499187,1916775,2016
Amir Johnson,12000000,15342518,2016
Anderson Varejao,10158574,12988175,2016
Andre Drummond,3272090,4183508,2016
Andre Iguodala,11710456,14972324,2016
Andre Miller,1490369,1905500,2016
Andre Roberson,1210800,1548060,2016
Andrea Bargnani,1362897,1742522,2016
Andrew Bogut,12000000,15342518,2016
Andrew Goudelock,200600,256475,2016
Andrew Nicholson,2380593,3043691,2016
Andrew Wiggins,5758680,7362721,2016
Anthony Bennett,4597276,5877815,2016
Anthony Brown,525093,671354,2016
Anthony Davis,7070730,9040233,2016
Anthony Morrow,3344000,4275448,2016
Anthony Tolliver,3000000,3835629,2016
Archie Goodwin,1160160,1483314,2016
Aron Baynes,6500000,8310531,2016
Arron Afflalo,8000000,10228345,2016
Austin Rivers,3110796,3977287,2016
Avery Bradley,7730337,9883570,2016
Axel Toupane,61775,78982,2016
Ben McLemore,3156600,4035849,2016
Beno Udrih,2080465,2659964,2016
Bismack Biyombo,2814000,3597820,2016
Blake Griffin,18862876,24117002,2016
Boban Marjanovic,1200000,1534251,2016
Bobby Portis,1344120,1718515,2016
Bojan Bogdanovic,3425510,4379662,2016
Boris Diaw,7500000,9589074,2016
Bradley Beal,5694673,7280885,2016
Brandan Wright,5464000,6985960,2016
Branden Dawson,525093,671354,2016
Brandon Bass,3000000,3835629,2016
Brandon Jennings,8344497,10668800,2016
Brandon Knight,13500000,17260333,2016
Brandon Rush,1270964,1624982,2016
Brian Roberts,2854940,3650164,2016
Briante Weber,61774,78980,2016
Brook Lopez,19689000,25173237,2016
Bruno Caboclo,1524000,1948499,2016
Bryce Cotton,99418,127110,2016
Bryce Dejean-Jones,61775,78982,2016
CJ McCollum,2525160,3228526,2016
CJ Miles,4394225,5618206,2016
