Player,income,adj_income,season
AJ Price,885120,1176836,2013
Aaron Brooks,5750000,7645075,2013
Al Harrington,6687400,8891422,2013
Al Horford,12000000,15954941,2013
Al Jefferson,15000000,19943676,2013
Al-Farouq Aminu,2947800,3919331,2013
Alan Anderson,885120,1176836,2013
Alec Burks,2171640,2887365,2013
Aleksandar Pavlovic,1232713,1638988,2013
Alexey Shved,3017943,4012591,2013
Alonzo Gee,3500000,4653524,2013
Amare Stoudemire,19948799,26523492,2013
Amir Johnson,6000000,7977470,2013
Anderson Varejao,8400000,11168458,2013
Andray Blatche,7972891,10600583,2013
Andre Drummond,2356320,3132912,2013
Andre Iguodala,14718250,19569067,2013
Andre Miller,5000000,6647892,2013
Andrea Bargnani,10000000,13295784,2013
Andrei Kirilenko,9779349,13002411,2013
Andrew Bogut,13150000,17483956,2013
Andrew Bynum,16473002,21902148,2013
Andrew Goudelock,44835,59611,2013
Andrew Nicholson,1418160,1885554,2013
Andris Biedrins,9000000,11966205,2013
Antawn Jamison,1352181,1797830,2013
Anthony Davis,5144280,6839723,2013
Anthony Morrow,4000000,5318313,2013
Anthony Randolph,1674641,2226566,2013
Anthony Tolliver,915852,1217697,2013
Arnett Moultrie,1042320,1385846,2013
Aron Baynes,239588,318551,2013
Arron Afflalo,7562500,10054936,2013
Austin Daye,2958444,3933483,2013
Austin Rivers,2238360,2976075,2013
Avery Bradley,1630800,2168276,2013
BJ Mullens,2253061,2995621,2013
Baron Davis,14850000,19744239,2013
Ben Gordon,12400000,16486772,2013
Ben Hansbrough,473604,629693,2013
Beno Udrih,7810000,10384007,2013
Bernard James,473604,629693,2013
Bismack Biyombo,3007920,3999265,2013
Blake Griffin,7226891,9608718,2013
Boris Diaw,4500000,5983102,2013
Brad Miller,848000,1127482,2013
Bradley Beal,4133280,5495519,2013
Brandan Wright,992680,1319845,2013
Brandon Bass,6500000,8642259,2013
Brandon Jennings,3179493,4227385,2013
Brandon Knight,2755560,3663733,2013
Brandon Roy,21459805,28532493,2013
Brandon Rush,4000000,5318313,2013
Brendan Haywood,8349000,11100649,2013
Brian Roberts,473604,629693,2013
Brook Lopez,13668000,18172678,2013
CJ Miles,2225000,2958312,2013
CJ Watson,992680,1319845,2013
Carl Landry,4000000,5318313,2013
Carlos Boozer,15000000,19943676,2013
Carlos Delfino,3000000,3988735,2013
Carmelo Anthony,19450000,25860300,2013
Caron Butler,8000000,10636627,2013
Cartier Martin,915852,1217697,2013
Chandler Parsons,888250,1180998,2013
Channing Frye,6000000,7977470,2013
Charles Jenkins,762195,1013398,2013
Charlie Villanueva,8060000,10716402,2013
Chase Budinger,942293,1252852,2013
Chauncey Billups,3000000,3988735,2013
Chris Andersen,5225952,6948312,2013
Chris Bosh,17545000,23327453,2013
Chris Copeland,473604,629693,2013
Chris Douglas-Roberts,72892,96915,2013
Chris Duhon,3680000,4892848,2013
Chris Johnson,508586,676204,2013
