Player,income,adj_income,season
AJ Price,762195,1066926,2011
Aaron Brooks,2016692,2822980,2011
Aaron Gray,1028840,1440177,2011
Acie Law,859087,1202555,2011
Al Harrington,5765000,8069889,2011
Al Horford,5444857,7621750,2011
Al Jefferson,13000000,18197495,2011
Al Thornton,2814196,3939332,2011
Al-Farouq Aminu,2563320,3588154,2011
Aleksandar Pavlovic,202295,283173,2011
Alexis Ajinca,1467840,2054693,2011
Alonzo Gee,681492,953956,2011
Amare Stoudemire,16486611,23078078,2011
Amir Johnson,5000000,6999036,2011
Anderson Varejao,7281818,10193142,2011
Andray Blatche,5900000,8258863,2011
Andre Iguodala,12345250,17280971,2011
Andre Miller,7269264,10175568,2011
Andrea Bargnani,8500000,11898362,2011
Andrei Kirilenko,17823000,24948765,2011
Andres Nocioni,6850000,9588680,2011
Andrew Bogut,11000000,15397880,2011
Andrew Bynum,13700000,19177360,2011
Andris Biedrins,9000000,12598265,2011
Andy Rautins,600000,839884,2011
Antawn Jamison,13358905,18699892,2011
Anthony Carter,1352181,1892792,2011
Anthony Morrow,4000000,5599229,2011
Anthony Parker,2855700,3997429,2011
Anthony Randolph,1965720,2751629,2011
Anthony Tolliver,2200000,3079576,2011
Antoine Wright,992680,1389560,2011
Antonio McDyess,4860000,6803063,2011
Armon Johnson,473604,662954,2011
Arron Afflalo,1959577,2743030,2011
Austin Daye,1803720,2524860,2011
Avery Bradley,1418160,1985150,2011
BJ Mullens,1204200,1685647,2011
Baron Davis,13000000,18197495,2011
Ben Gordon,10800000,15117918,2011
Ben Uzoh,473604,662954,2011
Ben Wallace,2080000,2911599,2011
Beno Udrih,6478600,9068791,2011
Blake Griffin,5357280,7499159,2011
Bobby Simmons,71951,100717,2011
Boris Diaw,9000000,12598265,2011
Brad Miller,4400000,6159152,2011
Brandan Wright,3398072,4756646,2011
Brandon Bass,4000000,5599229,2011
Brandon Jennings,2331120,3263118,2011
Brandon Roy,13520500,18926094,2011
Brandon Rush,2069049,2896269,2011
Brendan Haywood,6900000,9658670,2011
Brian Cardinal,1352181,1892792,2011
Brian Cook,1146337,1604650,2011
Brian Scalabrine,1229255,1720720,2011
Brian Skinner,270436,378558,2011
Brook Lopez,2413320,3378182,2011
CJ Miles,3700000,5179287,2011
CJ Watson,3100000,4339402,2011
Carl Landry,3000000,4199421,2011
Carlos Arroyo,1223166,1712196,2011
Carlos Boozer,14400000,20157225,2011
Carlos Delfino,3500000,4899325,2011
Carmelo Anthony,17149243,24005635,2011
Caron Butler,10561960,14784708,2011
Cartier Martin,854389,1195979,2011
Channing Frye,5200000,7278998,2011
Charlie Bell,4447792,6226051,2011
Charlie Villanueva,7020000,9826647,2011
Chase Budinger,780871,1093068,2011
Chauncey Billups,13150000,18407466,2011
Chris Andersen,4533300,6345746,2011
Chris Bosh,14500000,20297205,2011
Chris Douglas-Roberts,854389,1195979,2011
Chris Duhon,3500000,4899325,2011
