Player,income,adj_income,season
A.C. Green,2250000,3981991,2001
AJ Guyton,316969,560963,2001
Aaron McKie,1818000,3217448,2001
Aaron Williams,2250000,3981991,2001
Adam Keefe,3390000,5999533,2001
Ademola Okulaja,316969,560963,2001
Adonal Foyle,3580000,6335790,2001
Adrian Griffin,498500,882232,2001
Al Harrington,797880,1412067,2001
Alan Henderson,5910000,10459363,2001
Aleksandar Radojevic,1425120,2522140,2001
Allan Houston,9000000,15927964,2001
Allen Iverson,10130000,17927808,2001
Alonzo Mourning,16880000,29873781,2001
Alvin Williams,2100000,3716524,2001
Andrae Patterson,498500,882232,2001
Andre Miller,1808400,3200458,2001
Andrew DeClercq,1920000,3397965,2001
Anfernee Hardaway,10130000,17927808,2001
Ansu Sesay,508000,899045,2001
Antawn Jamison,2678400,4740162,2001
Anthony Carter,1200000,2123728,2001
Anthony Johnson,1200000,2123728,2001
Anthony Mason,5550000,9822244,2001
Anthony Miller,40000,70790,2001
Anthony Peeler,2740000,4849180,2001
Antoine Walker,10130000,17927808,2001
Antonio Daniels,2820000,4990762,2001
Antonio Davis,5500000,9733755,2001
Antonio Harvey,611000,1081331,2001
Antonio McDyess,10800000,19113556,2001
Arvydas Sabonis,11250000,19909955,2001
Austin Croshere,5300000,9379801,2001
Avery Johnson,8000000,14158190,2001
Baron Davis,2916000,5160660,2001
Ben Wallace,4000000,7079095,2001
Bill Curley,1034500,1830830,2001
Billy Owens,2100000,3716524,2001
Bimbo Coles,2250000,3981991,2001
Bo Outlaw,4500000,7963982,2001
Bob Sura,4390000,7769306,2001
Bobby Jackson,2250000,3981991,2001
Bobby Phills,4640000,8211750,2001
Bonzi Wells,1528440,2704993,2001
Brad Miller,4000000,7079095,2001
Brent Barry,4320000,7645422,2001
Brent Price,2880000,5096948,2001
Brevin Knight,4250000,7521538,2001
Brian Cardinal,316969,560963,2001
Brian Grant,8900000,15750986,2001
Brian Shaw,2250000,3981991,2001
Brian Skinner,901800,1595981,2001
Bruce Bowen,733000,1297244,2001
Bruno Sundov,997000,1764464,2001
Bryant Reeves,10110000,17892412,2001
Bryant Stith,5920000,10477060,2001
Bryce Drew,1182600,2092934,2001
Bryon Russell,4570000,8087866,2001
Cal Bowdler,1102800,1951706,2001
Calbert Cheaney,2200000,3893502,2001
Calvin Booth,423500,749499,2001
Carlos Rogers,2200000,3893502,2001
Cedric Ceballos,3937500,6968484,2001
Cedric Henderson,2700000,4778389,2001
Charles Oakley,5760000,10193896,2001
Charlie Ward,5040000,8919659,2001
Chauncey Billups,2250000,3981991,2001
Cherokee Parks,2100000,3716524,2001
Chris Carr,1200000,2123728,2001
Chris Carrawell,316969,560963,2001
Chris Childs,4680000,8282541,2001
Chris Crawford,2200000,3893502,2001
Chris Dudley,6200000,10972597,2001
Chris Gatling,5550000,9822244,2001
Chris Herren,316969,560963,2001
Chris Mihm,1923600,3404336,2001
Chris Mills,4800000,8494914,2001
Chris Mullin,4650000,8229447,2001
Chris Porter,316969,560963,2001
Chris Webber,12000000,21237285,2001
Chris Whitney,2370000,4194363,2001
Christian Laettner,6625000,11724751,2001
Chuck Person,1200000,2123728,2001
Chucky Atkins,3000000,5309321,2001
