Player,income,adj_income,season
AJ Price,854389,1154879,2012
Aaron Gray,2500000,3379256,2012
Al Harrington,6226200,8415970,2012
Al Horford,12000000,16220430,2012
Al Jefferson,14000000,18923835,2012
Al-Farouq Aminu,2755560,3724697,2012
Alec Burks,2020200,2730709,2012
Aleksandar Pavlovic,1223166,1653356,2012
Alonzo Gee,854389,1154879,2012
Amare Stoudemire,18217705,24624918,2012
Amir Johnson,5500000,7434363,2012
Anderson Varejao,7700000,10408109,2012
Andray Blatche,6442083,8707779,2012
Andre Emmett,61433,83039,2012
Andre Iguodala,13531750,18290900,2012
Andre Miller,7807728,10553725,2012
Andrea Bargnani,9250000,12503248,2012
Andres Nocioni,6650000,8988821,2012
Andrew Bogut,12000000,16220430,2012
Andrew Bynum,14900000,20140367,2012
Andrew Goudelock,473604,640171,2012
Andris Biedrins,9000000,12165322,2012
Andy Rautins,788872,1066320,2012
Antawn Jamison,15076715,20379233,2012
Anthony Carter,1352181,1827746,2012
Anthony Morrow,4000000,5406810,2012
Anthony Parker,2250000,3041330,2012
Anthony Randolph,2911231,3935118,2012
Anthony Tolliver,2050000,2770990,2012
Antonio McDyess,2640000,3568494,2012
Armon Johnson,762195,1030260,2012
Arron Afflalo,7562500,10222250,2012
Austin Daye,1929600,2608245,2012
Avery Bradley,1524480,2060643,2012
BJ Mullens,1288200,1741263,2012
Baron Davis,15252181,20616411,2012
Ben Gordon,11600000,15679749,2012
Ben Uzoh,61433,83039,2012
Ben Wallace,2246400,3036464,2012
Beno Udrih,6925400,9361080,2012
Bismack Biyombo,2798040,3782117,2012
Blake Griffin,5731080,7746715,2012
Bobby Simmons,594836,804041,2012
Boris Diaw,9000000,12165322,2012
Brad Miller,4752000,6423290,2012
Brandan Wright,915852,1237959,2012
Brandon Bass,4250000,5744735,2012
Brandon Jennings,2493720,3370767,2012
Brandon Knight,2563320,3464846,2012
Brandon Roy,16032144,21670689,2012
Brandon Rush,2956658,3996522,2012
Brendan Haywood,7624500,10306055,2012
Brian Cardinal,1352181,1827746,2012
Brian Cook,1223166,1653356,2012
Brian Scalabrine,1352181,1827746,2012
Brian Skinner,65446,88463,2012
Brook Lopez,3076983,4159165,2012
CJ Miles,3700000,5001299,2012
CJ Watson,3400000,4595788,2012
Carl Landry,8500000,11489471,2012
Carldell Johnson,168035,227133,2012
Carlos Boozer,13500000,18247984,2012
Carlos Delfino,3500000,4730958,2012
Carmelo Anthony,18518574,25031603,2012
Caron Butler,8000000,10813620,2012
Chandler Parsons,850000,1148947,2012
Channing Frye,5600000,7569534,2012
Charles Jenkins,473604,640171,2012
Charlie Bell,4099920,5541872,2012
Charlie Villanueva,7540000,10191837,2012
Chase Budinger,854389,1154879,2012
Chauncey Billups,14200000,19194175,2012
Chris Andersen,4234000,5723108,2012
Chris Bosh,16022500,21657653,2012
Chris Duhon,3500000,4730958,2012
Chris Johnson,762195,1030260,2012
Chris Kaman,14030000,18964386,2012
Chris Paul,16359805,22113589,2012
Chris Singleton,1485000,2007278,2012
Chris Wilcox,3000000,4055107,2012
Chris Wright,473604,640171,2012
Christian Eyenga,1097520,1483520,2012
Chuck Hayes,5250000,7096438,2012
Cole Aldrich,2286000,3089991,2012
Corey Brewer,3059000,4134858,2012
Corey Maggette,10262069,13871264,2012
Cory Higgins,473604,640171,2012
Cory Joseph,1028400,1390090,2012
Courtney Fortson,42009,56783,2012
Courtney Lee,2225093,3007663,2012
Craig Brackins,1404960,1899087,2012
Craig Smith,992680,1341808,2012
DJ Augustin,3236470,4374744,2012
DJ White,2001167,2704982,2012
DaJuan Summers,303137,409751,2012
Daequan Cook,3341558,4516792,2012
Dahntay Jones,2700000,3649596,2012
Damien Wilkins,1146337,1549506,2012
Damion James,1243080,1680274,2012
Daniel Gibson,4403834,5952673,2012
Daniel Orton,1105560,1494388,2012
Danilo Gallinari,4190182,5663879,2012
Danny Granger,12015904,16241927,2012
Danny Green,854389,1154879,2012
Dante Cunningham,2000000,2703405,2012
Darington Hobson,245884,332362,2012
Darius Morris,473604,640171,2012
Darko Milicic,4776500,6456407,2012
Darrell Arthur,2027119,2740061,2012
Darren Collison,1455960,1968024,2012
David Lee,11610000,15693266,2012
David West,10000000,13517025,2012
DeAndre Jordan,10079404,13624355,2012
DeAndre Liggins,473604,640171,2012
DeJuan Blair,986000,1332778,2012
DeMar DeRozan,2625000,3548219,2012
DeMarcus Cousins,3627720,4903598,2012
DeMarre Carroll,833713,1126931,2012
DeSagana Diop,6925400,9361080,2012
DeShawn Stevenson,2500000,3379256,2012
Delonte West,1146337,1549506,2012
Dennis Horner,91642,123872,2012
Derek Fisher,3400000,4595788,2012
Deron Williams,16359805,22113589,2012
Derrick Brown,854389,1154879,2012
Derrick Caracter,270427,365536,2012
Derrick Favors,4443360,6006100,2012
Derrick Rose,6993708,9453412,2012
Derrick Williams,4602720,6221508,2012
Devin Ebanks,762195,1030260,2012
Devin Harris,9319000,12596515,2012
Dexter Pittman,762195,1030260,2012
Dirk Nowitzki,19092873,25807884,2012
Dominic McGuire,915852,1237959,2012
Dominique Jones,1193280,1612959,2012
Donald Sloan,198629,268487,2012
Donte Greene,2015896,2724891,2012
Dorell Wright,3823000,5167558,2012
Drew Gooden,6226200,8415970,2012
Dwight Howard,18091770,24454691,2012
Dwyane Wade,15691000,21209564,2012
E'Twaun Moore,473604,640171,2012
Earl Barron,185588,250859,2012
Earl Clark,1160000,1567974,2012
Earl Watson,2000000,2703405,2012
Ed Davis,2063040,2788616,2012
Eddie House,1352181,1827746,2012
Eddy Curry,1229255,1661587,2012
Eduardo Najera,2750000,3717181,2012
Ekpe Udoh,3294960,4453805,2012
Elliot Williams,1348800,1823176,2012
Elton Brand,17059727,23059676,2012
Emeka Okafor,12541812,16952799,2012
Enes Kanter,4133280,5586965,2012
Eric Bledsoe,1596360,2157803,2012
Eric Gordon,3831184,5178621,2012
Eric Maynor,1516680,2050100,2012
Erick Dampier,850522,1149652,2012
Ersan Ilyasova,2541000,3434676,2012
Evan Turner,4947840,6688007,2012
Francisco Elson,305792,413339,2012
Francisco Garcia,5800000,7839874,2012
Garret Siler,51097,69067,2012
Gary Forbes,1500000,2027553,2012
Gary Neal,762195,1030260,2012
George Hill,2086360,2820138,2012
Gerald Green,516999,698827,2012
Gerald Henderson,2250600,3042141,2012
Gerald Wallace,9500000,12841174,2012
Gilbert Arenas,19269307,26046371,2012
Glen Davis,6300000,8515725,2012
Goran Dragic,2108000,2849388,2012
Gordon Hayward,2532960,3423808,2012
Grant Hill,6500000,8786066,2012
Greg Monroe,3007920,4065813,2012
Greg Oden,1500000,2027553,2012
Greg Smith,301733,407853,2012
Greg Stiemsma,762195,1030260,2012
Greivis Vasquez,1113600,1505255,2012
Gustavo Ayon,1567500,2118793,2012
Hakim Warrick,4000000,5406810,2012
Hamady N'Diaye,270427,365536,2012
Hamed Haddadi,1300000,1757213,2012
Hasheem Thabeet,5127720,6931152,2012
Hassan Whiteside,762195,1030260,2012
Henry Walker,885120,1196418,2012
Hidayet Turkoglu,11015850,14890152,2012
Ian Mahinmi,915852,1237959,2012
Ike Diogu,64028,86546,2012
Iman Shumpert,1563120,2112873,2012
Isaiah Thomas,473604,640171,2012
Ishmael Smith,639254,864080,2012
Ivan Johnson,473604,640171,2012
JJ Hickson,2354537,3182633,2012
JJ Redick,6750000,9123992,2012
JR Smith,2382353,3220232,2012
JaJuan Johnson,1042320,1408906,2012
JaVale McGee,2462400,3328432,2012
Jamaal Magloire,1352181,1827746,2012
Jamaal Tinsley,1229255,1661587,2012
Jamal Crawford,5000000,6758512,2012
Jameer Nelson,7800000,10543279,2012
