Player,income,adj_income,season
Aaron Gordon,16409091,18427070,2022
Aaron Henry,223338,250803,2022
Aaron Holiday,3980551,4470076,2022
Aaron Nesmith,3631200,4077762,2022
Aaron Wiggins,1305761,1466342,2022
Abdel Nader,2000000,2245958,2022
Ade Murkey,53176,59715,2022
Admiral Schofield,723741,812745,2022
Ahmad Caver,53176,59715,2022
Al Horford,27000000,30320442,2022
Al-Farouq Aminu,10335621,11606688,2022
Alec Burks,9536000,10708731,2022
Aleem Ford,53176,59715,2022
Aleksej Pokusevski,3113160,3496014,2022
Alex Caruso,8600000,9657622,2022
Alex Len,3732000,4190958,2022
Alfonzo McKinnie,1090007,1224055,2022
Alize Johnson,1003740,1127178,2022
Alperen Sengun,3214680,3610019,2022
Amir Coffey,573576,644114,2022
Andre Drummond,2401537,2696876,2022
Andre Iguodala,2641691,2966564,2022
Andrew Nicholson,2844429,3194235,2022
Andrew Wiggins,31579390,35463003,2022
Anfernee Simons,3938818,4423211,2022
Anthony Barber,53176,59715,2022
Anthony Davis,35361360,39710077,2022
Anthony Edwards,10245480,11505462,2022
Anthony Gill,1517981,1704661,2022
Anthony Lamb,136095,152831,2022
Anthony Tolliver,151821,170491,2022
Aric Holman,53176,59715,2022
Armoni Brooks,1739065,1952933,2022
Arnoldas Kulboka,462629,519522,2022
Austin Reaves,925258,1039045,2022
Austin Rivers,2401537,2696876,2022
Avery Bradley,2641691,2966564,2022
Ayo Dosunmu,925258,1039045,2022
BJ Boston,925258,1039045,2022
BJ Johnson,95930,107727,2022
Bam Adebayo,28103500,31559650,2022
Ben McLemore,2389641,2683517,2022
Ben Simmons,33003936,37062738,2022
Bismack Biyombo,1518213,1704921,2022
Blake Griffin,32405817,36391063,2022
Boban Marjanovic,3500000,3930427,2022
Bobby Portis,4347600,4882265,2022
Bogdan Bogdanovic,18000000,20213628,2022
Bojan Bogdanovic,18700000,20999714,2022
Bol Bol,2161152,2426929,2022
Bones Hyland,2096880,2354752,2022
Brad Wanamaker,814918,915135,2022
Bradley Beal,33724200,37871580,2022
Brandon Clarke,2726880,3062229,2022
Brandon Goodwin,343988,386291,2022
Brandon Ingram,29467800,33091731,2022
Brandon Knight,274672,308450,2022
Brandon Williams,180798,203032,2022
Braxton Key,127622,143316,2022
Brodric Thomas,462629,519522,2022
Brook Lopez,13302325,14938236,2022
Bruce Brown,4736102,5318544,2022
Bruno Fernando,1782621,2001846,2022
Bryn Forbes,4500000,5053407,2022
Buddy Hield,23073234,25910765,2022
CJ Elleby,1517981,1704661,2022
CJ McCollum,30864198,34659857,2022
CJ Miles,151821,170491,2022
Cade Cunningham,10050120,11286077,2022
Caleb Martin,844011,947806,2022
Cam Reddish,4670160,5244493,2022
Cam Thomas,2036280,2286700,2022
Cameron Johnson,4437000,4982659,2022
Cameron McGriff,53176,59715,2022
Cameron Oliver,85578,96102,2022
Cameron Payne,6500000,7299365,2022
Caris LeVert,17500000,19652138,2022
Carlik Jones,106352,119430,2022
Carmelo Anthony,2641691,2966564,2022
Carsen Edwards,1859365,2088027,2022
Cassius Stanley,256734,288306,2022
Cassius Winston,462629,519522,2022
Cedi Osman,8133334,9133566,2022
Chandler Hutchison,4224186,4743673,2022
Charles Bassey,925258,1039045,2022
Charlie Brown,431151,484173,2022
Chaundee Brown,151552,170189,2022
Cheick Diallo,102831,115477,2022
