Player,income,adj_income,season
AJ Price,457588,647282,2010
Aaron Brooks,1118520,1582204,2010
Aaron Gray,1000497,1415255,2010
Acie Law,2216160,3134873,2010
Adam Morrison,5257229,7436624,2010
Adonal Foyle,1306455,1848048,2010
Al Harrington,10026875,14183537,2010
Al Horford,4307640,6093381,2010
Al Jefferson,12000000,16974625,2010
Al Thornton,1900200,2687932,2010
Alando Tucker,1071720,1516003,2010
Aleksandar Pavlovic,2750000,3890018,2010
Alexis Ajinca,1372080,1940878,2010
Allen Iverson,1191180,1684985,2010
Amare Stoudemire,16378325,23167995,2010
Amir Johnson,3666666,5186690,2010
Anderson Varejao,6300000,8911678,2010
Andray Blatche,3000000,4243656,2010
Andre Iguodala,12200000,17257536,2010
Andre Miller,6730800,9521067,2010
Andrea Bargnani,6527491,9233476,2010
Andrei Kirilenko,16452000,23272212,2010
Andres Nocioni,7500000,10609141,2010
Andrew Bogut,10000000,14145521,2010
Andrew Bynum,12526998,17720092,2010
Andris Biedrins,9000000,12730969,2010
Antawn Jamison,11641095,16466936,2010
Anthony Carter,1306455,1848048,2010
Anthony Johnson,2160000,3055432,2010
Anthony Morrow,736420,1041704,2010
Anthony Parker,2644230,3740401,2010
Anthony Randolph,1837560,2599324,2010
Anthony Tolliver,411529,582128,2010
Antoine Wright,2110550,2985483,2010
Antonio Anderson,139968,197992,2010
Antonio Daniels,5863580,8294339,2010
Antonio McDyess,7500000,10609140,2010
Arron Afflalo,1086240,1536543,2010
Austin Daye,1677840,2373392,2010
BJ Mullens,1120200,1584581,2010
Baron Davis,12150000,17186808,2010
Ben Gordon,10000000,14145521,2010
Ben Wallace,1306445,1848034,2010
Beno Udrih,6031800,8532295,2010
Blake Griffin,4983480,7049392,2010
Bobby Brown,736420,1041704,2010
Bobby Simmons,10560000,14937670,2010
Boris Diaw,9000000,12730969,2010
Brad Miller,12250000,17328264,2010
Brandan Wright,2671440,3778891,2010
Brandon Bass,4000000,5658208,2010
