Player,income,adj_income,season
AJ Hammons,650000,822846,2017
Aaron Brooks,2700000,3417978,2017
Aaron Gordon,4351320,5508413,2017
Aaron Harrison,365289,462425,2017
Adreian Payne,2022240,2559989,2017
Al Horford,26540100,33597587,2017
Al Jefferson,10230179,12950566,2017
Al-Farouq Aminu,7680965,9723471,2017
Alan Anderson,1315448,1665249,2017
Alan Williams,874636,1107217,2017
Alec Burks,9904495,12538277,2017
Alex Abrines,5994764,7588879,2017
Alex Caruso,50000,63295,2017
Alex Len,4823621,6106308,2017
Alex Poythress,73743,93352,2017
Alexis Ajinca,4863206,6156419,2017
Allen Crabbe,18500000,23419481,2017
Alonzo Gee,2255408,2855161,2017
Amir Johnson,12000000,15191014,2017
Anderson Varejao,10851659,13737308,2017
Andre Drummond,22116750,27997989,2017
Andre Iguodala,11131368,14091397,2017
Andre Roberson,2183072,2763589,2017
Andrew Bogut,11410378,14444600,2017
Andrew Harrison,945000,1196292,2017
Andrew Nicholson,6088993,7708165,2017
Andrew Wiggins,6006600,7603862,2017
Anthony Barber,50000,63295,2017
Anthony Bennett,1015696,1285787,2017
Anthony Brown,1023838,1296094,2017
Anthony Davis,22116750,27997989,2017
Anthony Morrow,3488000,4415521,2017
Anthony Tolliver,8000000,10127343,2017
Archie Goodwin,2350999,2976170,2017
Arinze Onuaku,426775,540262,2017
Aron Baynes,6500000,8228466,2017
Arron Afflalo,12500000,15823973,2017
Austin Rivers,11000000,13925096,2017
Avery Bradley,8269663,10468714,2017
Axel Toupane,977534,1237477,2017
Beau Beech,45000,56966,2017
Ben Bentil,281968,356947,2017
Ben McLemore,4008882,5074915,2017
Ben Simmons,5903160,7472915,2017
Beno Udrih,980431,1241145,2017
Bismack Biyombo,17000000,21520604,2017
Blake Griffin,20093064,25436169,2017
Boban Marjanovic,5628000,7124585,2017
Bobby Brown,940070,1190051,2017
Bobby Portis,1404600,1778108,2017
Bojan Bogdanovic,3573020,4523149,2017
Boris Diaw,7000000,8861425,2017
Bradley Beal,22116750,27997989,2017
Brady Heslip,56500,71524,2017
Brandan Wright,5709880,7228239,2017
Brandon Bass,1551659,1964272,2017
Brandon Ingram,5281680,6686173,2017
Brandon Jennings,5587318,7073085,2017
Brandon Knight,12606250,15958477,2017
Brandon Paul,155000,196217,2017
Brandon Rush,3500000,4430712,2017
Brian Roberts,1050961,1330430,2017
Briante Weber,623447,789231,2017
Brice Johnson,1273920,1612678,2017
Brook Lopez,21165675,26794006,2017
Bruno Caboclo,1589640,2012353,2017
Bryn Forbes,543471,687989,2017
Buddy Hield,3517200,4452486,2017
CJ McCollum,3219579,4075722,2017
CJ Miles,4583450,5802271,2017
CJ Watson,5000000,6329589,2017
CJ Wilcox,1209600,1531254,2017
Cameron Payne,2112480,2674226,2017
Caris LeVert,1562280,1977718,2017
Carl Landry,6750000,8544945,2017
Carmelo Anthony,24559380,31090158,2017
Caron Butler,1551659,1964272,2017
Chandler Parsons,22116750,27997989,2017
Channing Frye,7806971,9882984,2017
Chasson Randle,541170,685076,2017
Cheick Diallo,543471,687989,2017
Chinanu Onuaku,543471,687989,2017
Chris Andersen,1551659,1964272,2017
Chris Bosh,23741060,30054232,2017
Chris McCullough,1191480,1508315,2017
Chris Paul,22868827,28950057,2017
Christian Wood,874636,1107217,2017
Clint Capela,1296240,1640933,2017
Cody Zeller,5318313,6732547,2017
Cole Aldrich,7643979,9676649,2017
Corey Brewer,7612172,9636384,2017
Cory Joseph,7315000,9260189,2017
Courtney Lee,11242000,14231449,2017
Cristiano Felicio,874636,1107217,2017
D'Angelo Russell,5332800,6750886,2017
DJ Augustin,7250000,9177904,2017
DJ Kennedy,50000,63295,2017
Dahntay Jones,24022,30409,2017
Damian Jones,1171560,1483098,2017
Damian Lillard,24328425,30797788,2017
Damion Lee,50000,63295,2017
Damjan Rudez,980431,1241145,2017
Daniel Ochefu,543471,687989,2017
Danilo Gallinari,15050000,19052064,2017
Danny Green,10000000,12659178,2017
Dante Cunningham,3000000,3797753,2017
Dante Exum,3940320,4988121,2017
Danuel House,543471,687989,2017
Dario Saric,2318280,2934752,2017
Darrell Arthur,8070175,10216178,2017
Darren Collison,5229454,6620059,2017
Darrun Hilliard,874636,1107217,2017
David Lee,1551659,1964272,2017
David Nwaba,73528,93080,2017
David West,1551659,1964272,2017
Davis Bertans,543471,687989,2017
DeAndre Bembry,1499760,1898573,2017
DeAndre Jordan,21165675,26794006,2017
DeAndre Liggins,1015695,1285785,2017
DeMar DeRozan,26540100,33597587,2017
DeMarcus Cousins,15756438,19946356,2017
DeMarre Carroll,14200000,17976034,2017
Dejounte Murray,1180080,1493884,2017
Delon Wright,1577280,1996706,2017
Demetrius Jackson,1450000,1835580,2017
Dennis Schroeder,2708582,3428842,2017
Denzel Valentine,2092200,2648553,2017
Deron Williams,14885520,18843845,2017
Derrick Favors,11050000,13988392,2017
Derrick Jones,543471,687989,2017
Derrick Rose,21323252,26993486,2017
Derrick Williams,5020145,6355090,2017
Devin Booker,2223600,2814895,2017
Devin Harris,4227996,5352295,2017
Dewayne Dedmon,2898000,3668630,2017
Deyonta Davis,1369229,1733331,2017
Diamond Stone,543471,687989,2017
Dion Waiters,2898000,3668630,2017
Dionte Christmas,50000,63295,2017
Dirk Nowitzki,25000000,31647947,2017
Domantas Sabonis,2440200,3089092,2017
Donatas Motiejunas,607491,769033,2017
Dorian Finney-Smith,543471,687989,2017
Doug McDermott,2483040,3143324,2017
Dragan Bender,4276320,5413470,2017
Draymond Green,15330435,19407072,2017
Dwight Howard,23500000,29749070,2017
Dwight Powell,8375000,10602062,2017
Dwyane Wade,23200000,29369295,2017
E'Twaun Moore,8801363,11141802,2017
EJ Singler,50000,63295,2017
Ed Davis,6666667,8439453,2017
Egidijus Mockevicius,100000,126591,2017
Elfrid Payton,2613600,3308603,2017
Elgin Cook,50000,63295,2017
Elliot Williams,250000,316479,2017
Elton Brand,980000,1240599,2017
Emmanuel Mudiay,3241800,4103852,2017
Enes Kanter,17145838,21705223,2017
Eric Bledsoe,14000000,17722850,2017
Eric Gordon,12385665,15679235,2017
