Player,income,adj_income,season
Aaron McKie,5000000,8304545,2004
Aaron Williams,2925000,4858159,2004
Adonal Foyle,4400000,7308000,2004
Adrian Griffin,751179,1247640,2004
Al Harrington,5692500,9454725,2004
Alan Henderson,7682188,12759415,2004
Aleksandar Pavlovic,1107960,1840220,2004
Alex Garcia,366931,609439,2004
Allan Houston,15937500,26470738,2004
Allen Iverson,13500000,22422272,2004
Alonzo Mourning,4917000,8166690,2004
Alton Ford,586082,973428,2004
Alvin Williams,5500000,9135000,2004
Amal McCaskill,688679,1143833,2004
Amare Stoudemire,1899720,3155262,2004
Andre Miller,8000000,13287272,2004
Andrei Kirilenko,955800,1587496,2004
Andrew DeClercq,2500000,4152272,2004
Anfernee Hardaway,13500000,22422272,2004
Ansu Sesay,688679,1143833,2004
Antawn Jamison,11326219,18811820,2004
Anthony Carter,751179,1247640,2004
Anthony Johnson,813679,1351446,2004
Anthony Mason,4348094,7221788,2004
Anthony Peeler,1070000,1777172,2004
Antoine Walker,13500000,22422272,2004
Antonio Daniels,2200000,3654000,2004
Antonio Davis,12925000,21467250,2004
Antonio McDyess,13500000,22422272,2004
Austin Croshere,7610000,12639518,2004
Avery Johnson,5445600,9044646,2004
Baron Davis,10960000,18203563,2004
Ben Davis,176369,292932,2004
Ben Handlogten,366931,609439,2004
Ben Wallace,5500000,9135000,2004
Bimbo Coles,2120000,3521126,2004
Bo Outlaw,6585000,10937086,2004
Bob Sura,6266666,10408362,2004
Bobby Jackson,2925000,4858159,2004
Bobby Simmons,638679,1060787,2004
Bonzi Wells,7000000,11626363,2004
Boris Diaw,1021080,1695921,2004
Bostjan Nachbar,1396440,2319359,2004
Brad Miller,7000000,11626363,2004
Brandon Armstrong,995650,1653684,2004
Brandon Hunter,366931,609439,2004
Brendan Haywood,1125360,1869120,2004
Brent Barry,5400000,8968909,2004
Brevin Knight,5000000,8304545,2004
Brian Cardinal,663679,1102310,2004
Brian Cook,903360,1500398,2004
Brian Grant,12130648,20147903,2004
Brian Scalabrine,800000,1328727,2004
Brian Skinner,1500000,2491363,2004
Britton Johnsen,44748,74322,2004
Bruce Bowen,3650000,6062318,2004
Bruno Sundov,751159,1247606,2004
Bryce Drew,1300000,2159181,2004
Bryon Russell,1070000,1777172,2004
Calbert Cheaney,1070000,1777172,2004
Calvin Booth,5446800,9046639,2004
Carlos Arroyo,800000,1328727,2004
Carlos Boozer,563679,936219,2004
Carmelo Anthony,3229200,5363407,2004
Caron Butler,1804680,2997409,2004
Casey Jacobsen,1011600,1680175,2004
Cezary Trybanski,1600000,2657454,2004
Charlie Ward,6030000,10015281,2004
Chauncey Billups,5000600,8305542,2004
Cherokee Parks,228946,380258,2004
Chris Andersen,638679,1060787,2004
Chris Bosh,2911320,4835437,2004
Chris Childs,1166667,1937727,2004
Chris Crawford,3000000,4982727,2004
Chris Jefferies,840360,1395761,2004
Chris Kaman,2394600,3977212,2004
Chris Mihm,2809494,4666314,2004
Chris Mills,6600000,10962000,2004
Chris Webber,15937500,26470738,2004
Chris Whitney,1070000,1777172,2004
Chris Wilcox,2066760,3432700,2004
Christian Laettner,5625000,9342613,2004
Chucky Atkins,3900000,6477545,2004
Clarence Weatherspoon,5445600,9044646,2004
Clifford Robinson,4700000,7806272,2004
Corey Maggette,7000000,11626363,2004
Corie Blount,1680000,2790327,2004
Corliss Williamson,5000000,8304545,2004
Cory Alexander,2302778,3824704,2004
Courtney Alexander,2168193,3601171,2004
Curtis Borchardt,1187240,1971897,2004
Cuttino Mobley,5394125,8959151,2004
Dahntay Jones,1063680,1766675,2004
Dajuan Wagner,2471280,4104571,2004
Dale Davis,9061875,15050950,2004
Dalibor Bagaric,1599076,2655919,2004
Damon Jones,751179,1247640,2004
Damon Stoudamire,12375000,20553750,2004
Damone Brown,202508,336347,2004
Dan Dickau,835200,1387191,2004
Dan Gadzuric,563679,936219,2004
Dan Langhi,603786,1002833,2004
Daniel Santiago,1200000,1993090,2004
Danny Fortson,5428602,9016414,2004
Darius Miles,4130701,6860718,2004
Darius Songaila,366931,609439,2004
Darko Milicic,3595800,5972296,2004
Darrell Armstrong,2475000,4110750,2004
Darvin Ham,813679,1351446,2004
David Wesley,3960000,6577200,2004
David West,1160160,1926920,2004
DeSagana Diop,2118840,3519200,2004
DeShawn Stevenson,1616087,2684173,2004
Derek Anderson,7794000,12945125,2004
Derek Fisher,3000000,4982727,2004
Derrick Coleman,4000000,6643636,2004
Derrick Dial,32375,53771,2004
Desmond Mason,1898312,3152923,2004
Devean George,4546000,7550492,2004
Devin Brown,563679,936219,2004
Dikembe Mutombo,17714291,29421826,2004
Dion Glover,1000000,1660909,2004
Dirk Nowitzki,11326219,18811820,2004
Donnell Harvey,663679,1102310,2004
Donyell Marshall,4605196,7648811,2004
Doug Christie,6900000,11460272,2004
Doug Overton,695844,1155733,2004
Drew Gooden,3004560,4990301,2004
Dwyane Wade,2636400,4378820,2004
Earl Boykins,2500000,4152272,2004
Earl Watson,1336500,2219805,2004
Eddie Griffin,2312760,3841284,2004
Eddie House,750000,1245681,2004
Eddie Jones,12333750,20485237,2004
Eddie Robinson,6204000,10304280,2004
Eddy Curry,3080160,5115865,2004
Eduardo Najera,3428572,5694546,2004
Efthimios Rentzias,971160,1613008,2004
Elden Campbell,4000000,6643636,2004
Elton Brand,10960000,18203563,2004
Eric Montross,2960000,4916290,2004
Eric Piatkowski,2500000,4152272,2004
Eric Snow,4500000,7474090,2004
Eric Williams,5540000,9201436,2004
Erick Dampier,7842000,13024849,2004
Erick Strickland,1500000,2491363,2004
Ervin Johnson,4418156,7338155,2004
Etan Thomas,2200942,3655564,2004
Evan Eschmeyer,3017266,5011404,2004
Francisco Elson,366931,609439,2004
Frank Williams,894960,1486447,2004
Fred Hoiberg,938679,1559060,2004
Fred Jones,1506000,2501329,2004
Gary Payton,4917000,8166690,2004
Gary Trent,938679,1559060,2004
George Lynch,2800000,4650545,2004
Gerald Wallace,917520,1523917,2004
Gilbert Arenas,8536000,14177520,2004
Glen Rice,7885000,13096267,2004
Glenn Robinson,10730000,17821554,2004
Gordan Giricek,1540000,2557800,2004
Grant Hill,13279750,22056457,2004
Greg Buckner,2640000,4384800,2004
Greg Ostertag,8666666,14394544,2004
Hakeem Olajuwon,6326923,10508443,2004
Hidayet Turkoglu,1995611,3314528,2004
Horace Grant,1070000,1777172,2004
Howard Eisley,5843750,9705937,2004
Hubert Davis,2956250,4910062,2004
Iakovos Tsakalidis,1580702,2625402,2004
Ira Newble,2458500,4083345,2004
JR Bremer,563679,936219,2004
Jabari Smith Sr,638679,1060787,2004
Jacque Vaughn,813679,1351446,2004
Jahidi White,5676091,9427471,2004
Jake Voskuhl,1500000,2491363,2004
Jalen Rose,13279750,22056457,2004
Jamaal Magloire,1726771,2868009,2004
Jamaal Tinsley,861600,1431039,2004
Jamal Crawford,2577937,4281718,2004
Jamal Mashburn,8525000,14159250,2004
Jamal Sampson,563679,936219,2004
James Jones,366931,609439,2004
James Posey,4917000,8166690,2004
Jamison Brewer,638679,1060787,2004
Jannero Pargo,563679,936219,2004
Jared Jeffries,1714440,2847528,2004
Jarron Collins,1250000,2076136,2004
Jarvis Hayes,1748760,2904531,2004
Jason Caffey,5687500,9446420,2004
Jason Collins,1227480,2038732,2004
Jason Hart,638679,1060787,2004
Jason Kapono,366931,609439,2004
