Player,income,adj_income,season
Aaron McKie,8500000,13333811,2006
Aaron Miles,155614,244109,2006
Aaron Williams,3375000,5294307,2006
Adonal Foyle,7312500,11471000,2006
Adrian Griffin,768718,1205875,2006
Al Harrington,6957500,10914117,2006
Al Jefferson,1512840,2373167,2006
Alan Anderson,398762,625531,2006
Alan Henderson,1138500,1785946,2006
Aleksandar Pavlovic,1274160,1998754,2006
Alex Acker,398762,625531,2006
Alex Scales,24315,38142,2006
Allan Houston,19125000,30001077,2006
Allen Iverson,16453125,25809750,2006
Alonzo Mourning,5138500,8060681,2006
Alvin Williams,6300000,9882707,2006
Amare Stoudemire,2589023,4061358,2006
Amir Johnson,398762,625531,2006
Anderson Varejao,866800,1359735,2006
Andray Blatche,398762,625531,2006
Andre Emmett,641748,1006699,2006
Andre Iguodala,2058000,3228351,2006
Andre Miller,8100000,12706338,2006
Andre Owens,398762,625531,2006
Andrei Kirilenko,10983000,17228854,2006
Andres Nocioni,2775000,4353097,2006
Andrew Bogut,4340520,6808903,2006
Andrew Bynum,1888680,2962741,2006
Andris Biedrins,1857360,2913610,2006
Anfernee Hardaway,15750000,24706769,2006
Antawn Jamison,13843156,21715534,2006
Anthony Carter,900498,1412596,2006
Anthony Goldwire,74652,117105,2006
Anthony Johnson,2420000,3796214,2006
Anthony Roberson,398762,625531,2006
Antoine Walker,6880000,10792544,2006
Antoine Wright,1461360,2292411,2006
Antonio Burks,641748,1006699,2006
Antonio Daniels,5000000,7843419,2006
Antonio Davis,13925000,21843921,2006
Antonio McDyess,5393300,8460382,2006
Arvydas Macijauskas,2500000,3921709,2006
Austin Croshere,7900000,12392602,2006
Awvee Storey,641748,1006699,2006
Baron Davis,13700000,21490968,2006
Ben Gordon,3610200,5663262,2006
Ben Handlogten,35091,55046,2006
Ben Wallace,7500000,11765128,2006
Beno Udrih,904800,1419345,2006
Bernard Robinson,641748,1006699,2006
Bo Outlaw,1138500,1785946,2006
Bob Sura,3520000,5521766,2006
Bobby Jackson,3375000,5294307,2006
Bobby Simmons,8000000,12549470,2006
Boniface N'Dong,398762,625531,2006
Bonzi Wells,8000000,12549470,2006
Boris Diaw,1174200,1841948,2006
Bostjan Nachbar,2500000,3921709,2006
Bracey Wright,398762,625531,2006
Brad Miller,8750000,13725983,2006
Brandon Bass,398762,625531,2006
Brendan Haywood,4000000,6274735,2006
Brent Barry,4691390,7359307,2006
Brevin Knight,4600000,7215945,2006
Brian Cardinal,5393300,8460382,2006
Brian Cook,1038960,1629799,2006
Brian Grant,16006220,25108697,2006
Brian Scalabrine,2586207,4056941,2006
Brian Skinner,4950000,7764984,2006
Bruce Bowen,3375000,5294307,2006
Bryon Russell,1138500,1785946,2006
CJ Miles,398762,625531,2006
Calbert Cheaney,1760000,2760883,2006
Calvin Booth,7255098,11380954,2006
Carlos Arroyo,4000000,6274735,2006
Carlos Boozer,11593816,18187031,2006
Carlos Delfino,969696,1521146,2006
Carmelo Anthony,3713640,5825526,2006
Caron Butler,2461617,3861498,2006
Channing Frye,2162880,3392874,2006
Charles Smith,771123,1209648,2006
Charlie Bell,641748,1006699,2006
Charlie Villanueva,2360880,3703474,2006
Charlie Ward,1870000,2933438,2006
Chauncey Billups,5909800,9270607,2006
Chris Andersen,3500000,5490393,2006
Chris Bosh,3348000,5251953,2006
Chris Duhon,2800000,4392314,2006
Chris Kaman,2753760,4319778,2006
Chris Mihm,3792817,5949730,2006
Chris Paul,3144240,4932318,2006
Chris Taft,423762,664748,2006
Chris Webber,19125000,30001077,2006
Chris Wilcox,2812239,4411513,2006
Chucky Atkins,4500000,7059077,2006
