Player,income,adj_income,season
AJ Hammons,350087,414336,2021
Aaron Gordon,18136364,21464826,2021
Aaron Holiday,2345640,2776121,2021
Aaron Nesmith,3458400,4093100,2021
Abdel Nader,1752950,2074658,2021
Adam Mokoka,449115,531538,2021
Admiral Schofield,1517981,1796567,2021
Al Horford,27500000,32546916,2021
Al-Farouq Aminu,9720900,11504920,2021
Alec Burks,6000000,7101145,2021
Aleksej Pokusevski,2964840,3508960,2021
Alen Smailagic,1517981,1796567,2021
Alex Caruso,2750000,3254691,2021
Alex Len,3970648,4699357,2021
Alfonzo McKinnie,1762796,2086311,2021
Alize Johnson,621587,735663,2021
Amida Brimah,123056,145639,2021
Amir Coffey,578842,685073,2021
Anderson Varejao,2141713,2534769,2021
Andre Drummond,28751774,34028421,2021
Andre Iguodala,15000000,17752863,2021
Andre Roberson,411639,487184,2021
Andrew Nicholson,2844429,3366450,2021
Andrew White,25000,29588,2021
Andrew Wiggins,29542010,34963685,2021
Anfernee Simons,2252040,2665343,2021
Anthony Davis,32742000,38750950,2021
Anthony Edwards,9757440,11548166,2021
Anthony Gill,898310,1063171,2021
Anthony Lamb,215330,254848,2021
Anthony Tolliver,614838,727675,2021
Anzejs Pasecniks,374297,442989,2021
Armoni Brooks,135362,160204,2021
Aron Baynes,7000000,8284669,2021
Ashton Hagans,166111,196596,2021
Austin Rivers,3929049,4650123,2021
Avery Bradley,5635000,6669159,2021
Axel Toupane,196872,233002,2021
Bam Adebayo,5115492,6054308,2021
Ben McLemore,2893630,3424681,2021
Ben Simmons,30559200,36167554,2021
Bismack Biyombo,3500000,4142334,2021
Blake Griffin,33900241,40121756,2021
Boban Marjanovic,3500000,4142334,2021
Bobby Portis,3623000,4287908,2021
Bogdan Bogdanovic,18000000,21303436,2021
Bojan Bogdanovic,17850000,21125907,2021
Bol Bol,2058240,2435976,2021
Brad Wanamaker,2250000,2662929,2021
Bradley Beal,28751774,34028421,2021
Brandon Clarke,2602920,3080618,2021
Brandon Goodwin,1701593,2013876,2021
Brandon Ingram,27285000,32292459,2021
Brian Bowen,375321,444201,2021
Brodric Thomas,412202,487850,2021
Brook Lopez,12697675,15028006,2021
Bruce Brown,1663861,1969219,2021
Bruno Caboclo,2028594,2400890,2021
Bruno Fernando,1517981,1796567,2021
Bryn Forbes,2337145,2766067,2021
Buddy Hield,24931817,29507409,2021
CJ Elleby,898310,1063171,2021
CJ McCollum,29354152,34741350,2021
Caleb Homesley,20000,23670,2021
Caleb Martin,1517981,1796567,2021
Cam Reddish,4458000,5276151,2021
Cam Reynolds,33299,39410,2021
Cameron Johnson,4235160,5012414,2021
Cameron Oliver,43070,50974,2021
Cameron Payne,1977011,2339840,2021
Caris LeVert,16203704,19177476,2021
Carmelo Anthony,2564753,3035447,2021
Carsen Edwards,1517981,1796567,2021
Cassius Stanley,470690,557073,2021
Cassius Winston,449115,531538,2021
Cedi Osman,8840580,10463040,2021
Chandler Hutchison,2443440,2891870,2021
Charlie Brown,217844,257823,2021
Chasson Randle,279927,331300,2021
Chimezie Metu,910895,1078066,2021
Chris Boucher,6500000,7692907,2021
Chris Chiozza,449115,531538,2021
Chris Clemons,1517981,1796567,2021
Chris Paul,41358814,48949159,2021
Chris Silva,1517981,1796567,2021
Christian Wood,13015874,15404602,2021
Chuma Okeke,3121080,3693873,2021
Clint Capela,18000000,21303436,2021
Coby White,5572680,6595401,2021
Cody Martin,1517981,1796567,2021
Cody Zeller,15415730,18244890,2021
Cole Aldrich,685340,811116,2021
Cole Anthony,3285120,3888019,2021
Collin Sexton,4991880,5908011,2021
Cory Joseph,12600000,14912405,2021
Cristiano Felicio,7529020,8910777,2021
D'Angelo Russell,28649250,33907081,2021
DJ Augustin,6666667,7890162,2021
DJ Wilson,4548280,5382999,2021
DaQuan Jeffries,1445697,1711017,2021
Dakari Johnson,459414,543727,2021
Dakota Mathias,86132,101939,2021
Damian Jones,1487284,1760235,2021
Damian Lillard,31626953,37431265,2021
Damion Lee,1762796,2086311,2021
