Player,income,adj_income,season
Aaron McKie,4500000,7631964,2003
Aaron Williams,2700000,4579178,2003
Adam Harrington,140636,238517,2003
Adonal Foyle,4400000,7462365,2003
Adrian Griffin,637435,1081084,2003
Al Harrington,5060000,8581720,2003
Alan Henderson,7091250,12026704,2003
Allan Houston,14343750,24326888,2003
Allen Iverson,12375000,20987903,2003
Alonzo Mourning,20629800,34987980,2003
Alton Ford,512435,869085,2003
Alvin Williams,5350000,9073558,2003
Amal McCaskill,843212,1430080,2003
Amare Stoudemire,1767120,2997021,2003
Andre Miller,2460709,4173343,2003
Andrei Kirilenko,893400,1515199,2003
Andrew DeClercq,3262500,5533174,2003
Anfernee Hardaway,12375000,20987903,2003
Ansu Sesay,612435,1038684,2003
Antawn Jamison,10067750,17074825,2003
Anthony Carter,3656250,6200971,2003
Anthony Goldwire,139925,237311,2003
Anthony Johnson,699935,1187084,2003
Anthony Mason,4370819,7412875,2003
Anthony Peeler,3350812,5682951,2003
Antoine Walker,12375000,20987903,2003
Antonio Daniels,3375000,5723973,2003
Antonio Davis,12000000,20351906,2003
Antonio Harvey,60361,102371,2003
Antonio McDyess,12600000,21369501,2003
Art Long,229243,388793,2003
Arvydas Sabonis,6850000,11617546,2003
Austin Croshere,6960000,11804105,2003
Avery Johnson,4991800,8466053,2003
Baron Davis,3942922,6687165,2003
Ben Wallace,5200000,8819159,2003
Bimbo Coles,2400000,4070381,2003
Bo Outlaw,6585000,11168108,2003
Bob Sura,5639999,9565394,2003
Bobby Jackson,2700000,4579178,2003
Bobby Simmons,849892,1441409,2003
Bonzi Wells,6300000,10684750,2003
Bostjan Nachbar,1224000,2075894,2003
Brad Miller,4800000,8140762,2003
Brandon Armstrong,930720,1578493,2003
Brendan Haywood,1051920,1784048,2003
Brent Barry,5040000,8547800,2003
Brent Price,4048000,6865376,2003
Brevin Knight,5000000,8479961,2003
Brian Cardinal,587435,996285,2003
Brian Grant,11027862,18703168,2003
Brian Scalabrine,512435,869085,2003
Brian Shaw,1030000,1746871,2003
Brian Skinner,637435,1081084,2003
Bruce Bowen,3550000,6020772,2003
Bruno Sundov,637435,1081084,2003
Bryant Reeves,12999998,22047895,2003
Bryant Stith,2000000,3391984,2003
Bryce Drew,1300000,2204789,2003
Bryon Russell,1400000,2374389,2003
Calbert Cheaney,1000000,1695992,2003
Calvin Booth,4992900,8467919,2003
Carlos Arroyo,546000,926011,2003
