Player,income,adj_income,season
Aaron Brooks,972720,1424443,2008
Aaron Gray,427163,625534,2008
Aaron McKie,7750000,11349036,2008
Aaron Williams,1890000,2767700,2008
Acie Law,1927080,2822000,2008
Adam Haluska,427163,625534,2008
Adam Morrison,3887880,5693380,2008
Adonal Foyle,10157090,14873960,2008
Adrian Griffin,1593000,2332776,2008
Al Harrington,8425625,12338417,2008
Al Horford,3745800,5485319,2008
Al Jefferson,2480885,3632988,2008
Al Thornton,1652280,2419585,2008
Alando Tucker,931920,1364696,2008
Aleksandar Pavlovic,4250000,6223665,2008
Alexander Johnson,687456,1006705,2008
Allen Iverson,19012500,27841752,2008
Alonzo Mourning,2762500,4045382,2008
Alvin Williams,4516484,6613902,2008
Amare Stoudemire,13762775,20154097,2008
Amir Johnson,3666666,5369436,2008
Anderson Varejao,5356000,7843283,2008
Andray Blatche,2470000,3617048,2008
Andre Brown,711517,1041939,2008
Andre Iguodala,2804889,4107456,2008
Andre Miller,9366666,13716470,2008
Andre Owens,687456,1006705,2008
Andrea Bargnani,4838880,7086017,2008
Andrei Kirilenko,13735000,20113423,2008
Andres Nocioni,8500000,12447331,2008
Andrew Bogut,4991520,7309541,2008
Andrew Bynum,2172000,3180659,2008
Andris Biedrins,2636696,3861156,2008
Anfernee Hardaway,320142,468813,2008
Antawn Jamison,16360094,23957590,2008
Anthony Carter,1103225,1615553,2008
Anthony Johnson,2860000,4188161,2008
Anthony Parker,4350000,6370105,2008
Antoine Walker,8329640,12197858,2008
Antoine Wright,1680600,2461057,2008
Antonio Daniels,5800000,8493473,2008
Antonio McDyess,6373900,9333888,2008
Arron Afflalo,944520,1383147,2008
Arvydas Macijauskas,500000,732195,2008
Austin Croshere,1219590,1785957,2008
Awvee Storey,711517,1041939,2008
Baron Davis,16440000,24074604,2008
Ben Gordon,4881669,7148676,2008
Ben Wallace,15500000,22698075,2008
Beno Udrih,2535445,3712884,2008
Bernard Robinson,1080000,1581543,2008
Billy Thomas,775426,1135527,2008
Bo Outlaw,160071,234406,2008
Bob Sura,3840000,5623265,2008
Bobby Jackson,5670000,8303102,2008
Bobby Jones,773388,1132543,2008
Bobby Simmons,9280000,13589557,2008
Bonzi Wells,2284200,3344964,2008
Boris Diaw,9000000,13179527,2008
Bostjan Nachbar,2500000,3660979,2008
Brad Miller,10500000,15376115,2008
Brandan Wright,2323080,3401899,2008
Brandon Bass,770610,1128475,2008
Brandon Roy,2883120,4222017,2008
Brandon Wallace,130819,191570,2008
Brendan Haywood,5000000,7321959,2008
Brent Barry,5544370,8119131,2008
Brevin Knight,1600000,2343027,2008
Brian Cardinal,5850000,8566693,2008
Brian Cook,3500000,5125371,2008
Brian Scalabrine,3000000,4393175,2008
Brian Skinner,1108718,1623597,2008
Bruce Bowen,4125000,6040616,2008
CJ Miles,770610,1128475,2008
CJ Watson,125479,183750,2008
Calvin Booth,1103225,1615553,2008
Carl Landry,427163,625534,2008
Carlos Arroyo,4100000,6004007,2008
Carlos Boozer,11260483,16489761,2008
Carlos Delfino,1868141,2735690,2008
Carmelo Anthony,13041250,19097502,2008
Caron Butler,8218990,12035823,2008
Casey Jacobsen,826269,1209981,2008
Cedric Simmons,1629120,2385670,2008
Channing Frye,2487240,3642294,2008
Charlie Bell,3100000,4539615,2008
Charlie Villanueva,2715000,3975824,2008
Chauncey Billups,10000000,14643919,2008
Cheikh Samb,427163,625534,2008
Chris Bosh,12455000,18239002,2008
Chris Duhon,3248000,4756345,2008
Chris Kaman,8600000,12593771,2008
Chris Mihm,2500000,3660979,2008
Chris Paul,3615960,5295182,2008
Chris Quinn,687456,1006705,2008
Chris Richard,427163,625534,2008
Chris Webber,19602173,28705264,2008
Chris Wilcox,6500000,9518547,2008
Chuck Hayes,1750000,2562685,2008
Chucky Atkins,3000000,4393175,2008
Clifford Robinson,500000,732195,2008
Coby Karl,427163,625534,2008
Corey Brewer,2535720,3713288,2008
Corey Maggette,7000000,10250743,2008
Courtney Sims,112130,164202,2008
Craig Smith,687456,1006705,2008
Cuttino Mobley,8350000,12227673,2008
D.J. Strawberry,427163,625534,2008
Daequan Cook,1184400,1734425,2008
Dahntay Jones,753767,1103810,2008
Damien Wilkins,2900000,4246736,2008
Damon Jones,4172432,6110076,2008
Damon Stoudamire,4906438,7184948,2008
Dan Dickau,3916706,5735592,2008
Dan Gadzuric,5751130,8421908,2008
Daniel Gibson,687456,1006705,2008
Danny Granger,1516800,2221189,2008
Darius Miles,8250000,12081233,2008
Darius Songaila,3942000,5772633,2008
Darius Washington,154847,226756,2008
Darko Milicic,6500000,9518547,2008
Darrell Armstrong,1219590,1785957,2008
Darrick Martin,1219590,1785957,2008
Darryl Watkins,109461,160293,2008
David Harrison,1734316,2539718,2008
David Lee,990600,1450626,2008
David Noel,687456,1006705,2008
David Wesley,250000,366097,2008
David West,10650000,15595774,2008
DeSagana Diop,2146000,3142585,2008
DeShawn Stevenson,1033930,1514078,2008
Delonte West,1889760,2767349,2008
Demetris Nichols,427163,625534,2008
DerMarr Johnson,42203,61801,2008
Derek Anderson,1219590,1785957,2008
Derek Fisher,10723900,15703993,2008
Deron Williams,4010640,5873149,2008
Desmond Mason,5000000,7321959,2008
Devean George,2369111,3469307,2008
Devin Brown,1200000,1757270,2008
Devin Harris,3995003,5850250,2008
Didier Ilunga-Mbenga,2483569,3636917,2008
Dikembe Mutombo,1219590,1785957,2008
Dirk Nowitzki,16360094,23957590,2008
Dominic McGuire,427163,625534,2008
Donyell Marshall,6016965,8811195,2008
Dorell Wright,2040746,2988452,2008
Drew Gooden,6453416,9450330,2008
Dwayne Jones,770610,1128475,2008
Dwight Howard,6061274,8876081,2008
Dwyane Wade,13041250,19097502,2008
Earl Barron,973328,1425333,2008
