Player,income,adj_income,season
AJ Price,947907,1238586,2014
Aaron Brooks,1027424,1342487,2014
Aaron Gray,2612500,3413634,2014
Al Harrington,8548107,11169419,2014
Al Horford,12000000,15679851,2014
Al Jefferson,13500000,17639832,2014
Al-Farouq Aminu,3700000,4834620,2014
Alan Anderson,947907,1238586,2014
Alec Burks,2323200,3035619,2014
Alex Len,3492720,4563777,2014
Alexey Shved,3066667,4007073,2014
Alexis Ajinca,635880,830875,2014
Allen Crabbe,825000,1077989,2014
Alonzo Gee,3250000,4246626,2014
Amare Stoudemire,21679893,28328124,2014
Amir Johnson,6500000,8493252,2014
Anderson Varejao,9100000,11890553,2014
Andray Blatche,9170525,11982704,2014
Andre Drummond,2462400,3217505,2014
Andre Iguodala,12868632,16814853,2014
Andre Miller,5000000,6533271,2014
Andre Roberson,1110840,1451483,2014
Andrea Bargnani,11000000,14373197,2014
Andrei Kirilenko,3183000,4159080,2014
Andrew Bogut,14200000,18554490,2014
Andrew Bynum,7000000,9146579,2014
Andrew Nicholson,1482000,1936461,2014
Andris Biedrins,9000000,11759888,2014
Antawn Jamison,1399507,1828671,2014
Anthony Bennett,5324280,6956993,2014
Anthony Davis,5375760,7024259,2014
Anthony Morrow,1027424,1342487,2014
Anthony Randolph,1750000,2286644,2014
Archie Goodwin,1064400,1390802,2014
Arinze Onuaku,106776,139519,2014
Arnett Moultrie,1089240,1423260,2014
Aron Baynes,788872,1030782,2014
Arron Afflalo,7562500,9881572,2014
Austin Daye,947907,1238586,2014
Austin Rivers,2339040,3056316,2014
Avery Bradley,2511432,3281573,2014
BJ Mullens,947907,1238586,2014
Ben Gordon,13200000,17247836,2014
Ben McLemore,2895960,3784018,2014
Beno Udrih,1272279,1662428,2014
Bernard James,788872,1030782,2014
Bismack Biyombo,3217680,4204395,2014
Blake Griffin,16402500,21432396,2014
Boris Diaw,4702500,6144541,2014
Bradley Beal,4319280,5643805,2014
Brandan Wright,5000000,6533271,2014
Brandon Bass,6750000,8819916,2014
Brandon Davies,490180,640495,2014
Brandon Jennings,7655503,10003095,2014
Brandon Knight,2947800,3851755,2014
Brandon Roy,17779458,23231604,2014
Brandon Rush,4000000,5226617,2014
Brendan Haywood,7073500,9242619,2014
Brian Roberts,788872,1030782,2014
Brook Lopez,14694000,19199977,2014
CJ McCollum,2316720,3027152,2014
CJ Miles,2225000,2907305,2014
CJ Watson,2016000,2634215,2014
Carl Landry,6750000,8819916,2014
Carlos Boozer,15300000,19991810,2014
Carlos Delfino,3250000,4246626,2014
Carmelo Anthony,21490000,28080000,2014
Caron Butler,8386992,10958898,2014
Carrick Felix,490180,640495,2014
Cartier Martin,1003248,1310898,2014
Casper Ware,69201,90421,2014
Chandler Parsons,926500,1210615,2014
Channing Frye,6400000,8362587,2014
Charlie Villanueva,8580000,11211093,2014
Chase Budinger,5000000,6533271,2014
Chauncey Billups,2500000,3266635,2014
Chris Andersen,6217507,8124131,2014
Chris Babb,138403,180844,2014
Chris Bosh,19067500,24914630,2014
Chris Copeland,3000000,3919962,2014
Chris Douglas-Roberts,535288,699436,2014
Chris Duhon,1500000,1959981,2014
Chris Johnson,916099,1197024,2014
Chris Kaman,3183000,4159080,2014
Chris Paul,18668431,24393185,2014
Chris Singleton,1707720,2231399,2014
Chris Smith,184538,241127,2014
Chris Wright,139212,181901,2014
Christapher Johnson,320000,418129,2014
Chuck Hayes,5722500,7477329,2014
Cody Zeller,3857040,5039817,2014
Cole Aldrich,884293,1155465,2014
Corey Brewer,4500000,5879944,2014
Cory Joseph,1182600,1545249,2014
Courtney Lee,5225000,6827268,2014
DJ Augustin,592279,773903,2014
DJ Stephens,28834,37676,2014
Damian Lillard,3202920,4185109,2014
Damion James,107776,140825,2014
Daniel Orton,369322,482576,2014
Danilo Gallinari,10146925,13258522,2014
Danny Granger,14379240,18788695,2014
Danny Green,3762500,4916286,2014
Dante Cunningham,2180000,2848506,2014
Darius Johnson-Odom,46404,60633,2014
Darius Miller,788872,1030782,2014
Darius Morris,944923,1234686,2014
Darrell Arthur,3231683,4222692,2014
Darren Collison,1900000,2482643,2014
David Lee,13878000,18133748,2014
David West,12000000,15679851,2014
DeAndre Jordan,10986550,14355622,2014
DeAndre Liggins,88429,115546,2014
DeJuan Blair,941000,1229561,2014
DeMar DeRozan,9500000,12413215,2014
DeMarcus Cousins,4916973,6424783,2014
DeMarre Carroll,2500000,3266635,2014
Dennis Schroeder,1617840,2113957,2014
Derek Fisher,1399507,1828671,2014
Deron Williams,18466130,24128847,2014
Derrick Favors,6008106,7850517,2014
Derrick Rose,17632688,23039827,2014
Derrick Williams,5293080,6916225,2014
Devin Harris,1272279,1662428,2014
Dewayne Dedmon,256623,335316,2014
Dexter Pittman,107776,140824,2014
Diante Garrett,719266,939831,2014
Dion Waiters,3894240,5088425,2014
Dionte Christmas,490180,640495,2014
Dirk Nowitzki,22721381,29688989,2014
Donald Sloan,884293,1155465,2014
Donatas Motiejunas,1422720,1859003,2014
Dorell Wright,3000000,3919962,2014
Doron Lamb,788872,1030782,2014
Draymond Green,875500,1143975,2014
Drew Gooden,7091619,9266293,2014
Dwight Buycks,700000,914657,2014
Dwight Howard,20513178,26803631,2014
Dwyane Wade,18536000,24220143,2014
E'Twaun Moore,884293,1155465,2014
Earl Clark,4361518,5698995,2014
Earl Watson,1399507,1828671,2014
Ed Davis,3153860,4121004,2014
Ekpe Udoh,4469547,5840152,2014
Elias Harris,100000,130665,2014
Elliot Williams,797545,1042115,2014
Elton Brand,4000000,5226617,2014
