Player,income,adj_income,season
AJ Guyton,465850,798511,2002
Aaron McKie,4000000,6856382,2002
Aaron Williams,2475000,4242386,2002
Adonal Foyle,4400000,7542020,2002
Adrian Griffin,565850,969920,2002
Al Harrington,1436982,2463124,2002
Alan Henderson,6500312,11142155,2002
Aleksandar Radojevic,1524600,2613310,2002
Allan Houston,12750000,21854717,2002
Allen Iverson,11250000,19283574,2002
Alonzo Mourning,18754800,32147518,2002
Alton Ford,332817,570480,2002
Alvin Jones,332817,570480,2002
Alvin Williams,5350000,9170410,2002
Amal McCaskill,465850,798511,2002
Andre Miller,1934520,3315952,2002
Andrei Kirilenko,831120,1424619,2002
Andrew DeClercq,2900000,4970876,2002
Anfernee Hardaway,11250000,19283574,2002
Antawn Jamison,3388176,5807657,2002
Anthony Carter,3250000,5570810,2002
Anthony Mason,4538000,7778565,2002
Anthony Peeler,2978500,5105433,2002
Antoine Walker,11250000,19283574,2002
Antonio Daniels,3000000,5142286,2002
Antonio Davis,11000000,18855050,2002
Antonio Harvey,715850,1227035,2002
Antonio McDyess,11700000,20054917,2002
Antonis Fotsis,332817,570480,2002
Art Long,465850,798511,2002
Austin Croshere,6310000,10815942,2002
Avery Johnson,4538000,7778565,2002
Baron Davis,3119400,5346949,2002
Ben Wallace,4700000,8056248,2002
Bimbo Coles,2200000,3771010,2002
Bo Outlaw,6000000,10284573,2002
Bob Sura,5213333,8936150,2002
Bobby Jackson,2475000,4242386,2002
Bobby Phills,5220000,8947578,2002
Bobby Simmons,332817,570480,2002
Bonzi Wells,2028239,3476595,2002
Brad Miller,4400000,7542020,2002
Brandon Armstrong,865800,1484063,2002
Brendan Haywood,978600,1677413,2002
Brent Barry,4680000,8021966,2002
Brent Price,3680000,6307871,2002
Brevin Knight,4500000,7713429,2002
Brian Cardinal,465850,798511,2002
Brian Grant,9925076,17012528,2002
Brian Scalabrine,332817,570480,2002
Brian Shaw,963415,1651385,2002
Brian Skinner,1483461,2542793,2002
Bruce Bowen,715850,1227035,2002
Bruno Sundov,565850,969920,2002
Bryant Reeves,11555554,19807323,2002
Bryant Stith,2000000,3428191,2002
Bryce Drew,1300000,2228324,2002
Bryon Russell,5142857,8815348,2002
Cal Bowdler,1179720,2022152,2002
Calbert Cheaney,2400000,4113829,2002
Calvin Booth,4539000,7780279,2002
Carlos Arroyo,332817,570480,2002
Carlos Rogers,778350,1334166,2002
Cedric Henderson,3000000,5142286,2002
Charles Oakley,6545000,11218755,2002
Charles Smith,540850,927068,2002
Charlie Bell,89292,153055,2002
Charlie Ward,5110000,8759028,2002
Chauncey Billups,2475000,4242386,2002
Cherokee Parks,715850,1227035,2002
Chris Andersen,288171,493952,2002
Chris Childs,5200000,8913296,2002
Chris Crawford,2500000,4285238,2002
Chris Dudley,7200000,12341487,2002
Chris Gatling,2504227,4292484,2002
Chris Mihm,2067960,3544680,2002
Chris Mills,5400000,9256115,2002
Chris Porter,465850,798511,2002
Chris Webber,12750000,21854717,2002
Chris Whitney,2700000,4628057,2002
Christian Laettner,4500000,7713429,2002
Chucky Atkins,3300000,5656515,2002
Clarence Weatherspoon,4638000,7949974,2002
Clifford Robinson,7656250,13123543,2002
Corey Maggette,1448400,2482695,2002
Corie Blount,1609235,2758382,2002
Corliss Williamson,4000000,6856382,2002
Cory Alexander,1995741,3420890,2002
Courtney Alexander,1418400,2431273,2002
Cuttino Mobley,4413375,7564946,2002
Dale Davis,7010000,12015809,2002
Dalibor Bagaric,854640,1464934,2002
Damon Jones,565850,969920,2002
Damon Stoudamire,12375000,21211931,2002
Damone Brown,332817,570480,2002
Dan Langhi,465850,798511,2002
Dan Majerle,1000000,1714095,2002
Dana Barros,1600000,2742552,2002
Daniel Santiago,465850,798511,2002
Danny Ferry,1000000,1714095,2002
Danny Fortson,4649534,7969745,2002
Danny Manning,1500000,2571143,2002
Darius Miles,3054840,5236287,2002
Darrell Armstrong,4005000,6864952,2002
Darrick Martin,778350,1334166,2002
Darvin Ham,1760000,3016808,2002
David Robinson,9500000,16283907,2002
David Wesley,3240000,5553669,2002
DeSagana Diop,1842480,3158186,2002
DeShawn Stevenson,890280,1526024,2002
Dean Garrett,3240000,5553669,2002
Dean Oliver,332817,570480,2002
Dell Curry,2100000,3599600,2002
DerMarr Johnson,2265240,3882837,2002
Derek Anderson,6495000,11133050,2002
Derek Fisher,3000000,5142286,2002
Derek Strong,3861000,6618122,2002
Derrick Coleman,8710000,14929771,2002
Derrick Dial,540850,927068,2002
Derrick McKey,6000000,10284573,2002
Desmond Mason,1155240,1980191,2002
Devean George,834250,1429984,2002
Dickey Simpkins,26190,44892,2002
Dikembe Mutombo,14315790,24538631,2002
Dion Glover,1027440,1761130,2002
Dirk Nowitzki,2157595,3698323,2002
Don MacLean,965850,1655559,2002
Don Reid,1000000,1714095,2002
Donnell Harvey,927360,1589583,2002
Donyell Marshall,6510000,11158761,2002
Doug Christie,5200000,8913296,2002
Earl Boykins,650000,1114162,2002
Earl Watson,332817,570480,2002
Eddie Griffin,2011080,3447183,2002
Eddie House,465850,798511,2002
Eddie Jones,10091250,17297366,2002
Eddie Robinson,5170000,8861873,2002
Eddy Curry,2678400,4591033,2002
Eduardo Najera,465850,798511,2002
Elden Campbell,7975000,13669911,2002
Eldridge Recasner,1300000,2228324,2002
Elton Brand,3882360,6654735,2002
Emanual Davis,715850,1227035,2002
Eric Montross,2480000,4250956,2002
Eric Piatkowski,3000000,5142286,2002
Eric Snow,3750000,6427858,2002
Eric Williams,4448000,7624296,2002
Erick Barkley,638000,1093592,2002
Erick Dampier,6235000,10687385,2002
Erick Strickland,637415,1092590,2002
Ernest Brown,332817,570480,2002
Ervin Johnson,3670929,6292322,2002
Etan Thomas,1493040,2559213,2002
Evan Eschmeyer,3038000,5207422,2002
Felipe Lopez,565850,969920,2002
Felton Spencer,1000000,1714095,2002
Fred Hoiberg,1600000,2742552,2002
Gary Payton,12926493,22157243,2002
Gary Trent,715850,1227035,2002
George Lynch,2400000,4113829,2002
George McCloud,2400000,4113829,2002
Gerald Wallace,797880,1367642,2002
Gilbert Arenas,332817,570480,2002
Glen Rice,8800000,15084040,2002
Glenn Robinson,8990000,15409718,2002
Grant Hill,10865250,18624076,2002
Grant Long,2400000,4113829,2002
Greg Anthony,3000000,5142286,2002
Greg Buckner,1200000,2056914,2002
Greg Foster,1764247,3024087,2002
Greg Ostertag,6933328,11884386,2002
Hakeem Olajuwon,5061539,8675961,2002
Hanno Mottola,465850,798511,2002
Harold Jamison,600000,1028457,2002
Hidayet Turkoglu,1216080,2084477,2002
Horace Grant,2419580,4147391,2002
Howard Eisley,4781250,8195519,2002
Hubert Davis,2418750,4145968,2002
Iakovos Tsakalidis,820400,1406243,2002
Isaac Austin,5695715,9762999,2002
Isaiah Rider,112797,193344,2002
Jabari Smith Sr,465850,798511,2002
Jacque Vaughn,590850,1012773,2002
Jahidi White,4413375,7564946,2002
Jake Voskuhl,465850,798511,2002
Jalen Rose,10865250,18624076,2002
Jamaal Magloire,1048080,1796509,2002
Jamaal Tinsley,749160,1284131,2002
Jamal Crawford,1894560,3247456,2002
Jamal Mashburn,6975000,11955816,2002
James Posey,1120680,1920952,2002
Jamie Feick,2400000,4113829,2002
Jamison Brewer,332817,570480,2002
Jaren Jackson Jr,3020834,5177997,2002
Jarron Collins,332817,570480,2002
Jason Caffey,4812500,8249084,2002
Jason Collier,1280040,2194110,2002
Jason Collins,1067400,1829625,2002
Jason Hart,465850,798511,2002
Jason Kidd,8447500,14479821,2002
Jason Richardson,2425440,4157435,2002
Jason Terry,1689360,2895724,2002
Jason Williams,2554072,4377923,2002
