Player,income,adj_income,season
AJ Green,508891,524000,2023
AJ Griffin,3536160,3641154,2023
AJ Lawson,371432,382460,2023
Aaron Gordon,20690909,21305258,2023
Aaron Holiday,1968175,2026613,2023
Aaron Nesmith,3804360,3917318,2023
Aaron Wiggins,1563518,1609941,2023
Admiral Schofield,877940,904007,2023
Al Horford,26500000,27286832,2023
Alec Burks,10012800,10310097,2023
Aleksej Pokusevski,3261480,3358319,2023
Alex Caruso,9030000,9298116,2023
Alex Len,3918600,4034950,2023
Alize Johnson,192293,198002,2023
Alondes Williams,254446,262000,2023
Alperen Sengun,3375360,3475580,2023
Amir Coffey,3395062,3495867,2023
Andre Drummond,3200000,3295013,2023
Andre Iguodala,2905851,2992130,2023
Andrew Nembhard,2244111,2310742,2023
Andrew Nicholson,2844429,2928885,2023
Andrew Wiggins,33616770,34614911,2023
Anfernee Simons,22321429,22984191,2023
Anthony Davis,37980720,39108435,2023
Anthony Edwards,10733400,11052093,2023
Anthony Gill,1836090,1890606,2023
Anthony Lamb,694878,715510,2023
Armoni Brooks,50000,51484,2023
Austin Reaves,1563518,1609941,2023
Austin Rivers,2905851,2992130,2023
Ayo Dosunmu,1563518,1609941,2023
BJ Boston,1563518,1609941,2023
Bam Adebayo,30351780,31252978,2023
Ben Simmons,35448672,36501206,2023
Bennedict Mathurin,6586800,6782373,2023
Bismack Biyombo,2905851,2992130,2023
Blake Griffin,2905851,2992130,2023
Blake Wesley,2385480,2456309,2023
Boban Marjanovic,4101478,4223258,2023
Bobby Portis,10843350,11165308,2023
Bogdan Bogdanovic,18000000,18534451,2023
Bojan Bogdanovic,19550000,20130474,2023
Bol Bol,2200000,2265321,2023
Bones Hyland,2201520,2266887,2023
Bradley Beal,43279250,44564287,2023
Brandon Clarke,4343919,4472897,2023
Brandon Ingram,31650600,32590362,2023
Braxton Key,201802,207793,2023
Brook Lopez,13906976,14319898,2023
Bruce Brown,6479000,6671373,2023
Bruno Fernando,2717391,2798075,2023
Bryce McGowens,1461055,1504436,2023
Bryn Forbes,2298385,2366628,2023
Buddy Boeheim,508891,524000,2023
Buddy Hield,21177750,21806555,2023
CJ McCollum,33333333,34323058,2023
Cade Cunningham,10552800,10866131,2023
Caleb Houstan,2000000,2059383,2023
Caleb Martin,6479000,6671373,2023
Cam Reddish,5954454,6131252,2023
Cam Thomas,2138160,2201645,2023
Cameron Johnson,5887899,6062721,2023
Cameron Payne,6000000,6178150,2023
Caris LeVert,18796296,19354391,2023
Carlik Jones,612162,630338,2023
Cedi Osman,7426088,7646581,2023
Charles Bassey,2674742,2754159,2023
Chet Holmgren,9891240,10184928,2023
Chima Moneke,500000,514845,2023
Chimezie Metu,1910860,1967596,2023
Chris Boucher,12690000,13066788,2023
Chris Duarte,3936960,4053855,2023
Chris Paul,28400000,29243246,2023
Chris Silva,211045,217311,2023
Christian Braun,2808600,2891992,2023
Christian Koloko,1500000,1544537,2023
Christian Wood,14317459,14742569,2023
Chuma Okeke,3433320,3535261,2023
Clint Capela,18206896,18747491,2023
Coby White,7413955,7634088,2023
Cody Martin,7000000,7207842,2023
Cody Zeller,743922,766010,2023
Cole Anthony,3613680,3720976,2023
Cole Swider,508891,524000,2023
Collin Gillespie,508891,524000,2023
Collin Sexton,16700000,17195852,2023
Corey Kispert,3552840,3658330,2023
Cory Joseph,5155500,5308575,2023
D'Angelo Russell,31377750,32309411,2023
DJ Augustin,633938,652760,2023
DJ Steward,50000,51484,2023
DJ Wilson,250000,257422,2023
DaQuan Jeffries,799403,823138,2023
Daishen Nix,1563518,1609941,2023
Dalano Banton,1563518,1609941,2023
Dalen Terry,3191400,3286158,2023
Damian Jones,2298385,2366628,2023
Damian Lillard,42492492,43754169,2023
Damion Lee,2133278,2196618,2023
Daniel Gafford,1930681,1988006,2023
Daniel Theis,8694369,8952520,2023
Danilo Gallinari,19479000,20057366,2023
Danny Green,11710528,12058233,2023
Danuel House,4105000,4226884,2023
Dario Saric,9240000,9514352,2023
Darius Bazley,4264628,4391252,2023
Darius Days,508891,524000,2023
Darius Garland,8920794,9185668,2023
David Duke,531283,547057,2023
David Nwaba,5022000,5171112,2023
David Roddy,2588640,2665501,2023
Davion Mitchell,4833600,4977118,2023
Davis Bertans,16000000,16475068,2023
Davon Reed,1902133,1958610,2023
Day'Ron Sharpe,2109480,2172114,2023
De'Aaron Fox,30351780,31252978,2023
De'Andre Hunter,9835881,10127925,2023
De'Anthony Melton,8250000,8494957,2023
DeAndre Jordan,10733758,11052461,2023
DeMar DeRozan,27300000,28110585,2023
Dean Wade,1930681,1988006,2023
Deandre Ayton,30913750,31831634,2023
Dejounte Murray,17071120,17577991,2023
Delon Wright,7804878,8036618,2023
Demetrius Jackson,92857,95614,2023
Deni Avdija,4916160,5062129,2023
Dennis Schroeder,2641682,2720118,2023
Dennis Smith,2133278,2196618,2023
Deonte Burton,105522,108655,2023
Dereon Seabron,511816,527012,2023
Derrick Favors,10350803,10658136,2023
Derrick Jones,3200000,3295013,2023
Derrick Rose,14520730,14951876,2023
Derrick White,17142857,17651858,2023
Desmond Bane,2130240,2193490,2023
Devin Booker,33833400,34837973,2023
Devin Vassell,4437000,4568742,2023
Devon Dotson,169630,174666,2023
Devonte Graham,11550000,11892940,2023
