Player,income,adj_income,season
Aaron McKie,5500000,8846070,2005
Aaron Williams,3790257,6096159,2005
Adonal Foyle,6500000,10454446,2005
Adrian Griffin,870046,1399361,2005
Al Harrington,6325000,10172980,2005
Al Jefferson,1407240,2263371,2005
Alan Henderson,8273125,13306298,2005
Aleksandar Pavlovic,1191000,1915576,2005
Aleksandar Radojevic,720046,1158104,2005
Alex Garcia,620046,997267,2005
Allan Houston,17531250,28196848,2005
Allen Iverson,14625000,23522504,2005
Alonzo Mourning,5408700,8699225,2005
Alvin Williams,5850000,9409001,2005
Amal McCaskill,932546,1499884,2005
Amare Stoudemire,2032200,3268542,2005
Anderson Varejao,788000,1267400,2005
Andre Barrett,385277,619670,2005
Andre Emmett,385277,619670,2005
Andre Iguodala,1914480,3079204,2005
Andre Miller,7366667,11848373,2005
Andrei Kirilenko,1671694,2688713,2005
Andres Nocioni,2525000,4061150,2005
Andrew DeClercq,2500000,4020940,2005
Andris Biedrins,1727760,2778888,2005
Anfernee Hardaway,14625000,23522504,2005
Ansu Sesay,745046,1198314,2005
Antawn Jamison,12584688,20240914,2005
Anthony Carter,807546,1298837,2005
Anthony Goldwire,116713,187718,2005
Anthony Johnson,2200000,3538428,2005
Anthony Mason,4710435,7576152,2005
Anthony Miller,34118,54874,2005
Anthony Peeler,1600000,2573402,2005
Antoine Walker,14625000,23522504,2005
Antonio Burks,385277,619670,2005
Antonio Daniels,2200000,3538428,2005
Antonio Davis,12925000,20788264,2005
Antonio McDyess,4903000,7885869,2005
Arthur Johnson,385277,619670,2005
Arvydas Sabonis,3000000,4825129,2005
Austin Croshere,8260000,13285188,2005
Avery Johnson,1100000,1769214,2005
Awvee Storey,84573,136025,2005
Baron Davis,12330000,19831280,2005
Ben Gordon,3358320,5401442,2005
Ben Wallace,7000000,11258634,2005
Beno Udrih,841680,1353738,2005
Bernard Robinson,385277,619670,2005
Bo Outlaw,7632904,12276582,2005
Bob Sura,3200000,5146804,2005
Bobby Jackson,3150000,5066385,2005
Bobby Simmons,825000,1326910,2005
Bonzi Wells,7700000,12384498,2005
Boris Diaw,1097640,1765418,2005
Bostjan Nachbar,1493880,2402721,2005
Brad Miller,7875000,12665964,2005
Brandon Hunter,620046,997267,2005
Brendan Haywood,1735305,2791023,2005
Brent Barry,4264900,6859564,2005
Brevin Knight,932546,1499884,2005
Brian Cardinal,4903000,7885869,2005
Brian Cook,971160,1561990,2005
Brian Grant,13233434,21284342,2005
Brian Scalabrine,900000,1447538,2005
Brian Skinner,4500000,7237693,2005
Britton Johnsen,45369,72970,2005
Bruce Bowen,3000000,4825129,2005
Bruno Sundov,870046,1399361,2005
Bryon Russell,1100000,1769214,2005
Calbert Cheaney,1600000,2573402,2005
Calvin Booth,5900700,9490546,2005
Carlos Arroyo,4000000,6433505,2005
Carlos Boozer,10967500,17639867,2005
Carlos Delfino,901920,1450626,2005
Carmelo Anthony,3471360,5583253,2005
Caron Butler,1930680,3105260,2005
Casey Jacobsen,1082160,1740520,2005
Cezary Trybanski,1700000,2734239,2005
Charlie Ward,1700000,2734239,2005
Chauncey Billups,5455200,8774014,2005
Chris Andersen,1600000,2573402,2005
Chris Bosh,3129720,5033767,2005
Chris Crawford,3250000,5227223,2005
Chris Duhon,385277,619670,2005
Chris Jefferies,899040,1445994,2005
Chris Kaman,2574240,4140346,2005
Chris Mihm,3371393,5422468,2005
Chris Webber,17531250,28196848,2005
Chris Wilcox,2210880,3555927,2005
Christian Laettner,6600000,10615284,2005
Chucky Atkins,4200000,6755180,2005
Clarence Weatherspoon,5899400,9488455,2005
Clifford Robinson,5287500,8504290,2005
Corey Maggette,7000000,11258634,2005
Corliss Williamson,5500000,8846070,2005
Corsley Edwards,319498,513873,2005
Courtney Alexander,79029,127108,2005
Curtis Borchardt,1280880,2060137,2005
Cuttino Mobley,5884500,9464490,2005
Dahntay Jones,1143360,1838953,2005
