Player,income,adj_income,season
Aaron Gordon,21590909,26142334,2019
Aaron Holiday,1914480,2318057,2019
Abdel Nader,1378242,1668779,2019
Al Horford,28928710,35026964,2019
Al Jefferson,4000000,4843211,2019
Al-Farouq Aminu,6957105,8423682,2019
Alan Williams,77250,93534,2019
Alec Burks,11536515,13968445,2019
Alex Abrines,3667645,4440795,2019
Alex Caruso,77250,93534,2019
Alex Len,4350000,5266992,2019
Alex Poythress,77250,93534,2019
Alexis Ajinca,5285394,6399570,2019
Alfonzo McKinnie,1349383,1633836,2019
Alize Johnson,838464,1015214,2019
Allen Crabbe,19332500,23407846,2019
Allonzo Trier,3382000,4094935,2019
Amile Jefferson,77250,93534,2019
Amir Johnson,2393887,2898525,2019
Andre Drummond,25434262,30795876,2019
Andre Iguodala,16000000,19372845,2019
Andre Ingram,76236,92306,2019
Andre Roberson,10000000,12108028,2019
Andrew Bogut,486892,589530,2019
Andrew Harrison,354500,429228,2019
Andrew Nicholson,2844429,3444042,2019
Andrew Wiggins,25467250,30835818,2019
Anfernee Simons,1837800,2225213,2019
Angel Delgado,77250,93534,2019
Ante Zizic,1952760,2364407,2019
Anthony Davis,25434263,30795878,2019
Anthony Tolliver,5750000,6962116,2019
Antonio Blakeney,1349383,1633836,2019
Archie Goodwin,77250,93534,2019
Aron Baynes,5193600,6288425,2019
Austin Rivers,13155324,15928503,2019
Avery Bradley,12000000,14529634,2019
BJ Johnson,142111,172067,2019
Bam Adebayo,2955840,3578939,2019
Ben McLemore,5460000,6610983,2019
Ben Moore,222099,268917,2019
Ben Simmons,6434520,7790935,2019
Billy Garrett,67370,81571,2019
Billy Preston,77250,93534,2019
Bismack Biyombo,17000000,20583648,2019
Blake Griffin,31873932,38593047,2019
Boban Marjanovic,9490740,11491415,2019
Bobby Portis,2494346,3020161,2019
Bogdan Bogdanovic,9000000,10897225,2019
Bojan Bogdanovic,10500000,12713429,2019
Bonzie Colson,77250,93534,2019
Brad Wanamaker,838464,1015214,2019
Bradley Beal,25434262,30795876,2019
Brandon Goodwin,56845,68828,2019
Brandon Ingram,5757120,6970737,2019
Brandon Knight,14631250,17715559,2019
Brandon Sampson,77250,93534,2019
Brook Lopez,3382000,4094935,2019
Bruce Brown,838464,1015214,2019
Bruno Caboclo,705361,854053,2019
Bryn Forbes,3125000,3783758,2019
Buddy Hield,3833760,4641927,2019
CJ McCollum,25759766,31189998,2019
CJ Miles,8333333,10090023,2019
CJ Williams,77250,93534,2019
Caleb Swanigan,1740000,2106796,2019
Cam Reynolds,108953,131920,2019
Cameron Payne,3440356,4165592,2019
