Player,income,adj_income,season
AJ Hammons,1312611,1634951,2018
Aaron Brooks,2116955,2636819,2018
Aaron Gordon,5504419,6856148,2018
Aaron Harrison,174570,217439,2018
Aaron Jackson,46079,57394,2018
Abdel Nader,1167333,1453996,2018
Adreian Payne,77250,96220,2018
Al Horford,27734405,34545188,2018
Al Jefferson,9769821,12169011,2018
Al-Farouq Aminu,7319035,9116382,2018
Alan Williams,6000000,7473429,2018
Alec Burks,10845506,13508854,2018
Alec Peters,77250,96220,2018
Alex Abrines,5725000,7130897,2018
Alex Caruso,77250,96220,2018
Alex Len,4187599,5215954,2018
Alex Poythress,778668,969886,2018
Alexis Ajinca,4961798,6180274,2018
Alfonzo McKinnie,815615,1015906,2018
Allen Crabbe,18500000,23043075,2018
Amile Jefferson,77250,96220,2018
Amir Johnson,11000000,13701287,2018
Andre Drummond,23775506,29614095,2018
Andre Iguodala,14814815,18452913,2018
Andre Ingram,46079,57394,2018
Andre Roberson,9259260,11533071,2018
Andrew Bogut,1078810,1343735,2018
Andrew Harrison,1312611,1634951,2018
Andrew Nicholson,2844429,3542940,2018
Andrew White,77250,96220,2018
Andrew Wiggins,7574322,9434360,2018
Ante Zizic,1645200,2049214,2018
Anthony Brown,77250,96220,2018
Anthony Davis,23775506,29614095,2018
Anthony Tolliver,5290000,6589073,2018
Antonio Blakeney,77250,96220,2018
Antonius Cleveland,384116,478443,2018
Aron Baynes,4300000,5355958,2018
Arron Afflalo,5328652,6637217,2018
Austin Rivers,11825000,14728884,2018
Avery Bradley,8808989,10972226,2018
Bam Adebayo,2490360,3101921,2018
Ben McLemore,5200000,6476972,2018
Ben Moore,77250,96220,2018
Ben Simmons,6168840,7683732,2018
Bismack Biyombo,17000000,21174717,2018
Blake Griffin,29512900,36760431,2018
Boban Marjanovic,5881260,7325530,2018
Bobby Brown,1231500,1533921,2018
Bobby Portis,1516320,1888685,2018
Bogdan Bogdanovic,9470614,11796328,2018
Bojan Bogdanovic,10500000,13078502,2018
Bradley Beal,23775506,29614095,2018
Brandan Wright,5955760,7418324,2018
Brandon Ingram,5519400,6874808,2018
Brandon Jennings,380830,474351,2018
Brandon Knight,13618750,16963128,2018
Brandon Paul,815615,1015906,2018
Brandon Rush,119601,148971,2018
Briante Weber,160378,199761,2018
Brice Johnson,1331160,1658055,2018
Bronson Koenig,50000,62278,2018
Brook Lopez,22642350,28202668,2018
Bruno Caboclo,2451224,3053175,2018
Bryn Forbes,1312611,1634951,2018
Buddy Hield,3675480,4578073,2018
CJ Fair,82943,103311,2018
CJ McCollum,23962573,29847101,2018
CJ Miles,7936509,9885490,2018
CJ Watson,333333,415190,2018
CJ Wilcox,77250,96220,2018
CJ Williams,77250,96220,2018
Caleb Swanigan,1465920,1825908,2018
Cameron Oliver,300000,373671,2018
Cameron Payne,2203440,2744542,2018
Caris LeVert,1632480,2033370,2018
Carmelo Anthony,26243760,32688483,2018
Carrick Felix,140901,175502,2018
Cedi Osman,2642857,3291867,2018
Chandler Parsons,23112004,28787656,2018
Channing Frye,7420912,9243277,2018
Charles Cooke,77250,96220,2018
Chasson Randle,1312611,1634951,2018
Cheick Diallo,1312611,1634951,2018
Chinanu Onuaku,1312611,1634951,2018
Chris Bosh,25289390,31499746,2018
Chris Boucher,77250,96220,2018
Chris McCullough,1471382,1832711,2018
