Player,income,adj_income,season
Aaron Gordon,19863636,23660900,2020
Aaron Holiday,2239200,2667260,2020
Abdel Nader,1618520,1927927,2020
Adam Mokoka,79568,94778,2020
Admiral Schofield,1000000,1191166,2020
Al Horford,28000000,33352666,2020
Al-Farouq Aminu,9258000,11027820,2020
Alec Burks,2320044,2763559,2020
Alen Smailagic,898310,1070036,2020
Alex Caruso,2750000,3275708,2020
Alex Len,4160000,4955253,2020
Alfonzo McKinnie,2391985,2849252,2020
Alize Johnson,1416852,1687706,2020
Amir Coffey,79568,94778,2020
Andre Drummond,27093018,32272299,2020
Andre Iguodala,17185185,20470419,2020
Andre Roberson,10740740,12794011,2020
Andrew Wiggins,27504630,32762598,2020
Anfernee Simons,2149560,2560484,2020
Ante Zizic,2281800,2718004,2020
Anthony Davis,27093019,32272300,2020
Anthony Tolliver,434704,517804,2020
Antonius Cleveland,79568,94778,2020
Anzejs Pasecniks,482144,574313,2020
Aron Baynes,5453280,6495765,2020
Austin Rivers,2174310,2589965,2020
Avery Bradley,4767000,5678291,2020
BJ Johnson,79568,94778,2020
Bam Adebayo,3454080,4114384,2020
Ben McLemore,2028594,2416393,2020
Ben Simmons,8113929,9665041,2020
Bismack Biyombo,17000000,20249833,2020
Blake Griffin,34449964,41035648,2020
Boban Marjanovic,3500000,4169083,2020
Bobby Portis,15000000,17867499,2020
Bogdan Bogdanovic,8529386,10159920,2020
Bojan Bogdanovic,17000000,20249833,2020
Bol Bol,79568,94778,2020
Brad Wanamaker,1445697,1722066,2020
Bradley Beal,27093018,32272299,2020
Brandon Clarke,2478840,2952711,2020
Brandon Goodwin,522738,622668,2020
Brandon Ingram,7265485,8654403,2020
Brandon Knight,15643750,18634313,2020
Brian Bowen,79568,94778,2020
Brook Lopez,12093024,14404806,2020
Bruce Brown,1416852,1687706,2020
Bruno Caboclo,1845301,2198061,2020
Bruno Fernando,1400000,1667633,2020
Bryn Forbes,2875000,3424604,2020
Buddy Hield,4861207,5790507,2020
CJ McCollum,27556959,32824930,2020
Caleb Martin,898310,1070036,2020
Caleb Swanigan,2033160,2421832,2020
Cam Reddish,4245720,5057360,2020
Cam Reynolds,79568,94778,2020
Cameron Johnson,4033440,4804499,2020
Cameron Payne,196288,233811,2020
Caris LeVert,2625717,3127666,2020
Carmelo Anthony,2159029,2571763,2020
Carsen Edwards,1228026,1462783,2020
Cedi Osman,2907143,3462891,2020
Chandler Hutchison,2332320,2778181,2020
Chandler Parsons,25102512,29901275,2020
Charlie Brown,79568,94778,2020
Chasson Randle,91557,109059,2020
Cheick Diallo,1678854,1999794,2020
Chimezie Metu,1416852,1687706,2020
Chris Boucher,1588231,1891847,2020
Chris Chiozza,79568,94778,2020
Chris Clemons,563346,671038,2020
Chris Paul,38506482,45867637,2020
Chris Silva,466918,556177,2020
Christian Wood,1645357,1959894,2020
Clint Capela,16896552,20126609,2020
Coby White,5307120,6321664,2020
Cody Martin,1173310,1397607,2020
Cody Zeller,14471910,17238456,2020
Collin Sexton,4764960,5675861,2020
Corey Brewer,183115,218120,2020
Cory Joseph,12000000,14293999,2020
Courtney Lee,12759670,15198893,2020
Cristiano Felicio,8156500,9715750,2020
D'Angelo Russell,27285000,32500982,2020
DJ Augustin,7250000,8635958,2020
DJ Wilson,2961120,3527187,2020
DaQuan Jeffries,898310,1070036,2020
Damian Jones,2305057,2745707,2020
Damian Lillard,29802321,35499530,2020
Damion Lee,842327,1003351,2020
Damyean Dotson,1618520,1927927,2020
Daniel Gafford,898310,1070036,2020
Daniel Theis,5000000,5955833,2020
Danilo Gallinari,22615559,26938899,2020
Danny Green,14634147,17431707,2020
Dante Exum,9600000,11435199,2020
Danuel House,3540000,4216729,2020
Dario Saric,3481985,4147624,2020
Darius Bazley,2284800,2721577,2020
Darius Garland,6400920,7624562,2020
Darius Miller,7250000,8635958,2020
David Nwaba,903111,1075755,2020
Davis Bertans,7000000,8338166,2020
De'Aaron Fox,6392760,7614842,2020
De'Andre Hunter,7068360,8419594,2020
De'Anthony Melton,1416852,1687706,2020
DeAndre Bembry,2603981,3101775,2020
DeAndre Jordan,9881598,11770630,2020
DeMar DeRozan,27739975,33042933,2020
DeMarcus Cousins,3500000,4169083,2020
DeMarre Carroll,7339258,8742279,2020
Dean Wade,375000,446687,2020
Deandre Ayton,9562920,11391031,2020
Dejounte Murray,2321735,2765573,2020
Delon Wright,9473684,11284736,2020
Dennis Schroeder,15500000,18463083,2020
Dennis Smith,4463640,5316939,2020
Denzel Valentine,3377568,4023246,2020
Deonte Burton,1416852,1687706,2020
Derrick Favors,17650000,21024091,2020
Derrick Jones,1645357,1959894,2020
Derrick Rose,7317074,8715854,2020
Derrick Walton,81678,97292,2020
Derrick White,1948080,2320487,2020
Devin Booker,27285000,32500982,2020
Devontae Cacok,79568,94778,2020
Devonte Graham,1416852,1687706,2020
Dewan Hernandez,898310,1070036,2020
Dewayne Dedmon,13333334,15882222,2020
Dillon Brooks,1618520,1927927,2020
Dion Waiters,375385,447146,2020
Domantas Sabonis,3529554,4204287,2020
Donovan Mitchell,3635760,4330796,2020
Donta Hall,101504,120908,2020
Donte DiVincenzo,2905800,3461292,2020
Dorian Finney-Smith,4000000,4764666,2020
Doug McDermott,7333333,8735221,2020
Dragan Bender,189700,225964,2020
Draymond Green,18539130,22083193,2020
Drew Eubanks,79568,94778,2020
Duncan Robinson,1416852,1687706,2020
Dwayne Bacon,1618520,1927927,2020
Dwight Howard,2564753,3055048,2020
Dwight Powell,10259375,12220625,2020
Dylan Windler,2035800,2424977,2020
Dzanan Musa,1911600,2277034,2020
E'Twaun Moore,8664928,10321373,2020
Ed Davis,4767000,5678291,2020
