Player,income,adj_income,season
Aaron McKie,8070874,12136501,2007
Aaron Williams,1750000,2631546,2007
Adam Morrison,3616680,5438549,2007
Adonal Foyle,8125000,12217893,2007
Adrian Griffin,1475000,2218017,2007
Al Harrington,7625000,11466023,2007
Al Jefferson,1618320,2433533,2007
Alan Anderson,102131,153578,2007
Alan Henderson,1178348,1771929,2007
Aleksandar Pavlovic,1962206,2950649,2007
Alex Acker,839209,1261952,2007
Alexander Johnson,412718,620620,2007
Allan Ray,412718,620620,2007
Allen Iverson,17184375,25840845,2007
Alonzo Mourning,6725433,10113306,2007
Alvin Williams,4587508,6898422,2007
Amare Stoudemire,12455000,18729091,2007
Amir Johnson,664209,998798,2007
Anderson Varejao,945600,1421937,2007
Andray Blatche,664209,998798,2007
Andre Barrett,744551,1119611,2007
Andre Brown,241591,363290,2007
Andre Iguodala,2201640,3310695,2007
Andre Miller,8733333,13132668,2007
Andre Owens,676800,1017731,2007
Andrea Bargnani,4501200,6768637,2007
Andreas Glyniadakis,161061,242193,2007
Andrei Kirilenko,12364000,18592250,2007
Andres Nocioni,3950000,5939775,2007
Andrew Bogut,4665960,7016394,2007
Andrew Bynum,2030280,3053014,2007
Andris Biedrins,1986960,2987872,2007
Antawn Jamison,15101625,22708929,2007
Anthony Johnson,2640000,3969875,2007
Anthony Parker,4150000,6240524,2007
Anthony Roberson,267111,401665,2007
Antoine Walker,7606820,11438685,2007
Antoine Wright,1570920,2362256,2007
Antonio Daniels,5400000,8120200,2007
Antonio McDyess,5883600,8847409,2007
Arvydas Macijauskas,500000,751870,2007
Austin Croshere,7300000,10977307,2007
Baron Davis,15070000,22661373,2007
Ben Gordon,3862080,5807567,2007
Ben Wallace,16000000,24059852,2007
Beno Udrih,967920,1455500,2007
Bernard Robinson,1000000,1503740,2007
Bo Outlaw,1178348,1771929,2007
Bob Sura,3840000,5774364,2007
Bobby Jackson,5259000,7908172,2007
Bobby Jones,412718,620620,2007
Bobby Simmons,8640000,12992320,2007
Boniface N'Dong,839209,1261952,2007
Bonzi Wells,2115000,3180411,2007
Boris Diaw,1870501,2812748,2007
Bostjan Nachbar,2500000,3759351,2007
Bracey Wright,664209,998798,2007
Brad Miller,9625000,14473504,2007
Brandon Bass,664209,998798,2007
Brandon Roy,2681880,4032852,2007
Brendan Haywood,4500000,6766833,2007
Brent Barry,5117880,7695964,2007
Brevin Knight,4400000,6616459,2007
Brian Cardinal,5400000,8120200,2007
Brian Chase,412718,620620,2007
Brian Cook,1817141,2732508,2007
Brian Grant,16786950,25243220,2007
Brian Scalabrine,2793103,4200102,2007
Brian Skinner,5400000,8120200,2007
Bruce Bowen,3750000,5639027,2007
CJ Miles,664209,998798,2007
Calvin Booth,7628858,11471824,2007
Carlos Arroyo,4100000,6165337,2007
Carlos Boozer,11260483,16932847,2007
Carlos Delfino,1037280,1559800,2007
Carmelo Anthony,4694041,7058620,2007
Caron Butler,7438000,11184823,2007
Casey Jacobsen,31250,46991,2007
Cedric Bozeman,412718,620620,2007
Cedric Simmons,1515480,2278889,2007
Channing Frye,2325000,3496197,2007
Charlie Bell,744551,1119611,2007
Charlie Villanueva,2537880,3816313,2007
Chauncey Billups,6364400,9570407,2007
Chris Bosh,4235220,6368672,2007
Chris Duhon,3024000,4547312,2007
Chris Kaman,3491768,5250713,2007
Chris McCray,161061,242193,2007
Chris Mihm,4214241,6337125,2007
Chris Paul,3380160,5082884,2007
