Player,income,adj_income,season
AJ Price,493917,632274,2015
Aaron Brooks,915243,1171626,2015
Aaron Gordon,3992040,5110313,2015
Aaron Gray,1227985,1571975,2015
Adreian Payne,1855320,2375042,2015
Al Harrington,7609800,9741500,2015
Al Horford,12000000,15361508,2015
Al Jefferson,13500000,17281696,2015
Al-Farouq Aminu,981084,1255910,2015
Alan Anderson,1276061,1633518,2015
Alec Burks,3201369,4098154,2015
Alex Kirk,214871,275061,2015
Alex Len,3649920,4672356,2015
Alexey Shved,3198723,4094767,2015
Alexis Ajinca,981084,1255910,2015
Allen Crabbe,862000,1103468,2015
Alonzo Gee,1063384,1361265,2015
Amare Stoudemire,21896658,28030474,2015
Amir Johnson,7000000,8960879,2015
Anderson Varejao,9800000,12545231,2015
Andre Dawkins,271697,347805,2015
Andre Drummond,2568360,3287823,2015
Andre Iguodala,12289544,15732161,2015
Andre Miller,4625000,5920581,2015
Andre Roberson,1160880,1486072,2015
Andrea Bargnani,12000000,15361508,2015
Andrei Kirilenko,3326235,4257998,2015
Andrew Bogut,12972973,16607036,2015
Andrew Nicholson,1545840,1978869,2015
Andrew Wiggins,5510640,7054311,2015
Anthony Bennett,5563920,7122516,2015
Anthony Davis,5607240,7177972,2015
Anthony Morrow,3200000,4096402,2015
Anthony Randolph,1825359,2336688,2015
Anthony Tolliver,3000000,3840377,2015
Archie Goodwin,1112280,1423858,2015
Arinze Onuaku,48028,61481,2015
Arnett Moultrie,1136160,1454427,2015
Aron Baynes,2100000,2688263,2015
Arron Afflalo,7562500,9680950,2015
Austin Daye,1263550,1617502,2015
Austin Rivers,2439840,3123301,2015
Avery Bradley,7191011,9205397,2015
Ben Gordon,4500000,5760565,2015
Ben McLemore,3026280,3874018,2015
Beno Udrih,2077000,2658821,2015
Bernard James,1259775,1612670,2015
Bismack Biyombo,4086453,5231173,2015
Blake Griffin,17632688,22572057,2015
Bojan Bogdanovic,3278000,4196252,2015
Boris Diaw,8000000,10241005,2015
Bradley Beal,4505280,5767324,2015
Brandan Wright,5000000,6400628,2015
Brandon Bass,6950000,8896873,2015
Brandon Davies,129676,166001,2015
Brandon Jennings,8000000,10241005,2015
Brandon Knight,3553917,4549460,2015
Brandon Roy,14399332,18432954,2015
Brandon Rush,1145685,1466620,2015
Brendan Haywood,9798000,12542671,2015
Brian Roberts,2732000,3497303,2015
Brook Lopez,15719000,20122295,2015
Bruno Caboclo,1458360,1866884,2015
Bryce Cotton,152200,194835,2015
CJ McCollum,2421000,3099184,2015
CJ Miles,4205000,5382928,2015
CJ Watson,2077000,2658821,2015
CJ Wilcox,1109760,1420632,2015
Cameron Bairstow,507336,649453,2015
Carl Landry,6750000,8640848,2015
Carlos Boozer,16800000,21506111,2015
Carlos Delfino,3250000,4160408,2015
Carmelo Anthony,22458401,28749576,2015
Caron Butler,4500000,5760565,2015
Carrick Felix,816482,1045199,2015
Cartier Martin,1145685,1466620,2015
Chandler Parsons,14700000,18817847,2015
Channing Frye,8579088,10982311,2015
Charlie Villanueva,1316809,1685681,2015
Chase Budinger,5000000,6400628,2015
Chris Andersen,5300000,6784666,2015
Chris Babb,48028,61481,2015
Chris Bosh,20644400,26427427,2015
Chris Copeland,3130000,4006793,2015
Chris Douglas-Roberts,915243,1171626,2015
Chris Kaman,4800000,6144603,2015
Chris Paul,20068563,25690283,2015
Christapher Johnson,1135974,1454189,2015
Chuck Hayes,5958750,7627949,2015
Cleanthony Early,507336,649453,2015
Clint Capela,1189200,1522325,2015
Cody Zeller,4030560,5159623,2015
Cole Aldrich,981084,1255910,2015
Corey Brewer,4702500,6019791,2015
Cory Jefferson,507336,649453,2015
Cory Joseph,2134593,2732547,2015
Courtney Lee,5450000,6976685,2015
DJ Augustin,3000000,3840377,2015
Dahntay Jones,721169,923186,2015
Damian Lillard,3340920,4276797,2015
Damien Inglis,820000,1049703,2015
Damjan Rudez,1100000,1408138,2015
Danilo Gallinari,10854850,13895572,2015
Danny Granger,2100000,2688263,2015
Danny Green,4025000,5152505,2015
Dante Cunningham,831941,1064989,2015
Dante Exum,3615000,4627654,2015
Darius Miller,915243,1171626,2015
Darius Morris,803149,1028131,2015
Darrell Arthur,3457149,4425585,2015
Darren Collison,4797664,6141612,2015
David Lee,15012000,19217247,2015
David Stockton,59686,76405,2015
David Wear,29843,38202,2015
David West,12000000,15361508,2015
DeAndre Jordan,11440123,14644795,2015
DeJuan Blair,2000000,2560251,2015
DeMar DeRozan,9500000,12161194,2015
DeMarcus Cousins,13701250,17539322,2015
DeMarre Carroll,2500000,3200314,2015
Dennis Schroeder,1690680,2164282,2015
