,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%
16343,2002-2003,Cherokee Parks,PF,30.0,LAC,188.0,21.0,20.0,18.0,16.0,46.0,86.0,648.0,30.0,18.0,52.0,38.0,163.0,2.0,1.0,82.0,23.0,13.3,1.2,6.266666666666667,0.7,0.6666666666666666,0.6,0.5333333333333333,4.4,21.6,0.5030674846625767,0.6052631578947368,0.5
16342,2002-2003,Tony Parker,PG,20.0,SAS,1269.0,432.0,4.0,198.0,71.0,33.0,183.0,2774.0,82.0,82.0,174.0,290.0,1043.0,243.0,82.0,484.0,219.0,16.5,7.7,15.475609756097562,5.2682926829268295,0.04878048780487805,2.4146341463414633,0.8658536585365854,2.6341463414634148,33.829268292682926,0.46404602109300097,0.7551724137931034,0.3374485596707819
16341,2002-2003,Smush Parker,PG,21.0,CLE,408.0,162.0,12.0,133.0,48.0,29.0,90.0,1103.0,66.0,18.0,106.0,118.0,338.0,118.0,38.0,136.0,98.0,11.3,0.1,6.181818181818182,2.4545454545454546,0.18181818181818182,2.015151515151515,0.7272727272727273,1.803030303030303,16.71212121212121,0.40236686390532544,0.8305084745762712,0.3220338983050847
16340,2002-2003,Jannero Pargo,PG,23.0,LAL,85.0,39.0,2.0,23.0,13.0,9.0,28.0,342.0,34.0,0.0,45.0,4.0,93.0,24.0,7.0,37.0,4.0,7.3,0.1,2.5,1.1470588235294117,0.058823529411764705,0.6764705882352942,0.38235294117647056,1.088235294117647,10.058823529411764,0.3978494623655914,1.0,0.2916666666666667
16339,2002-2003,Milt Palacio,PG,24.0,CLE,397.0,259.0,16.0,131.0,68.0,48.0,187.0,1976.0,80.0,46.0,168.0,87.0,388.0,37.0,8.0,162.0,65.0,8.2,0.2,4.9625,3.2375,0.2,1.6375,0.85,2.9375,24.7,0.4175257731958763,0.7471264367816092,0.21621621621621623
16338,2002-2003,Scott Padgett,PF,26.0,UTA,466.0,86.0,24.0,70.0,41.0,83.0,189.0,1321.0,82.0,2.0,148.0,107.0,423.0,133.0,45.0,170.0,81.0,12.4,2.5,5.682926829268292,1.048780487804878,0.2926829268292683,0.8536585365853658,0.5,3.317073170731707,16.109756097560975,0.40189125295508277,0.7570093457943925,0.3383458646616541
16337,2002-2003,Robert Pack,PG,33.0,NOH,145.0,81.0,0.0,40.0,25.0,11.0,40.0,440.0,28.0,4.0,35.0,55.0,129.0,5.0,0.0,52.0,41.0,13.3,0.6,5.178571428571429,2.892857142857143,0.0,1.4285714285714286,0.8928571428571429,1.8214285714285714,15.714285714285714,0.40310077519379844,0.7454545454545455,0.0
16350,2002-2003,Morris Peterson,SF,25.0,TOR,1153.0,188.0,32.0,128.0,88.0,97.0,266.0,2949.0,82.0,80.0,232.0,247.0,1073.0,344.0,116.0,421.0,195.0,12.6,3.2,14.060975609756097,2.292682926829268,0.3902439024390244,1.5609756097560976,1.0731707317073171,4.426829268292683,35.96341463414634,0.3923578751164958,0.7894736842105263,0.3372093023255814
16366,2002-2003,Zeljko Rebraca,C,30.0,DET,198.0,9.0,17.0,29.0,6.0,27.0,65.0,488.0,30.0,12.0,79.0,48.0,145.0,0.0,0.0,80.0,38.0,14.0,1.3,6.6,0.3,0.5666666666666667,0.9666666666666667,0.2,3.066666666666667,16.266666666666666,0.5517241379310345,0.7916666666666666,
16367,2002-2003,Michael Redd,SG,23.0,MIL,1241.0,117.0,13.0,74.0,100.0,98.0,273.0,2316.0,82.0,14.0,143.0,185.0,971.0,416.0,182.0,455.0,149.0,21.0,8.0,15.134146341463415,1.4268292682926829,0.15853658536585366,0.9024390243902439,1.2195121951219512,4.524390243902439,28.24390243902439,0.4685890834191555,0.8054054054054054,0.4375
16368,2002-2003,Don Reid,PF,29.0,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,-17.3,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5,
16395,2002-2003,Brian Scalabrine,PF,24.0,NJN,180.0,46.0,18.0,46.0,16.0,40.0,101.0,724.0,59.0,7.0,77.0,36.0,169.0,39.0,14.0,68.0,30.0,8.9,1.0,3.0508474576271185,0.7796610169491526,0.3050847457627119,0.7796610169491526,0.2711864406779661,2.389830508474576,12.271186440677965,0.40236686390532544,0.8333333333333334,0.358974358974359
16394,2002-2003,Predrag Savovic,SG,26.0,DEN,83.0,22.0,1.0,21.0,14.0,9.0,16.0,256.0,27.0,0.0,33.0,29.0,93.0,26.0,4.0,29.0,21.0,6.0,-0.2,3.074074074074074,0.8148148148148148,0.037037037037037035,0.7777777777777778,0.5185185185185185,0.9259259259259259,9.481481481481481,0.3118279569892473,0.7241379310344828,0.15384615384615385
16390,2002-2003,Jeryl Sasser,SG,23.0,ORL,194.0,65.0,12.0,39.0,45.0,64.0,120.0,1025.0,75.0,4.0,91.0,78.0,207.0,44.0,13.0,64.0,53.0,8.3,0.8,2.5866666666666664,0.8666666666666667,0.16,0.52,0.6,2.453333333333333,13.666666666666666,0.30917874396135264,0.6794871794871795,0.29545454545454547
16388,2002-2003,Jamal Sampson,PF,19.0,MIL,0.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.2,0.0,0.0,0.2,0.4,1.6,0.0,,
16387,2002-2003,Soumaila Samake,C,24.0,LAL,22.0,4.0,5.0,2.0,0.0,10.0,13.0,77.0,13.0,1.0,13.0,2.0,24.0,0.0,0.0,10.0,2.0,12.9,0.2,1.6923076923076923,0.3076923076923077,0.38461538461538464,0.15384615384615385,0.0,1.7692307692307692,5.923076923076923,0.4166666666666667,1.0,
16386,2002-2003,John Salmons,PG,23.0,PHI,132.0,47.0,6.0,29.0,17.0,16.0,43.0,504.0,64.0,1.0,53.0,35.0,116.0,31.0,10.0,48.0,26.0,9.5,0.6,2.0625,0.734375,0.09375,0.453125,0.265625,0.921875,7.875,0.41379310344827586,0.7428571428571429,0.3225806451612903
16385,2002-2003,Arvydas Sabonis,C,38.0,POR,476.0,142.0,49.0,75.0,61.0,88.0,247.0,1209.0,78.0,1.0,141.0,164.0,361.0,6.0,3.0,172.0,129.0,20.5,4.9,6.102564102564102,1.8205128205128205,0.6282051282051282,0.9615384615384616,0.782051282051282,4.294871794871795,15.5,0.47645429362880887,0.7865853658536586,0.5
16384,2002-2003,Bryon Russell,SF,32.0,WAS,315.0,72.0,7.0,55.0,70.0,43.0,165.0,1388.0,70.0,23.0,130.0,69.0,306.0,140.0,46.0,108.0,53.0,9.1,1.5,4.5,1.0285714285714285,0.1,0.7857142857142857,1.0,2.9714285714285715,19.82857142857143,0.35294117647058826,0.7681159420289855,0.32857142857142857
16383,2002-2003,Kareem Rush,PG,22.0,LAL,227.0,68.0,11.0,63.0,10.0,26.0,68.0,872.0,76.0,0.0,71.0,23.0,244.0,68.0,19.0,96.0,16.0,5.8,-0.6,2.986842105263158,0.8947368421052632,0.14473684210526316,0.8289473684210527,0.13157894736842105,1.236842105263158,11.473684210526315,0.39344262295081966,0.6956521739130435,0.27941176470588236
16382,2002-2003,Guy Rucker,PF,25.0,GSW,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,,,
16381,2002-2003,Malik Rose,PF,28.0,SAS,822.0,124.0,40.0,170.0,57.0,148.0,358.0,1933.0,79.0,13.0,206.0,306.0,630.0,5.0,2.0,289.0,242.0,16.1,5.2,10.405063291139241,1.5696202531645569,0.5063291139240507,2.151898734177215,0.7215189873417721,6.405063291139241,24.468354430379748,0.4587301587301587,0.7908496732026143,0.4
