player_id,Player
312,Mike Bibby
313,Mike Miller
314,Mike Penberthy
315,Mike Smith
316,Mikki Moore
317,Milt Palacio
318,Mirsad Turkcan
319,Mitch Richmond
320,Monty Williams
321,Moochie Norris
322,Mookie Blaylock
323,Morris Peterson
324,Muggsy Bogues
325,Nazr Mohammed
326,Nick Anderson
327,Nick Van Exel
328,Obinna Ekezie
329,Olden Polynice
330,Olumide Oyedeji
331,Othella Harrington
332,Otis Thorpe
333,PJ Brown
334,Pat Garrity
335,Patrick Ewing
336,Paul McPherson
337,Paul Pierce
338,Pepe Sanchez
339,Pervis Ellison
340,Pete Mickeal
341,Popeye Jones
342,Predrag Stojakovic
343,Quentin Richardson
344,Quincy Lewis
345,Radoslav Nesterovic
346,Raef LaFrentz
347,Rafer Alston
348,Randy Brown
349,Rashard Lewis
350,Rasheed Wallace
351,Ray Allen
352,Reggie Miller
353,Reggie Slater
354,Rex Chapman
355,Richard Hamilton
356,Rick Brunson
357,Rick Fox
358,Ricky Davis
359,Robert Horry
360,Robert Pack
361,Robert Traylor
362,Rod Strickland
363,Rodney Buford
364,Rodney Rogers
365,Ron Harper
366,Ron Mercer
367,Roshown McLeod
368,Roy Rogers
369,Ruben Garces
370,Ruben Patterson
371,Ruben Wolkowyski
372,Ryan Bowen
373,Sam Cassell
374,Sam Jacobson
375,Sam Mitchell
376,Sam Perkins
377,Samaki Walker
378,Scot Pollard
379,Scott Padgett
380,Scott Williams
381,Scottie Pippen
382,Sean Elliott
383,Sean Rooks
384,Shammond Williams
385,Shandon Anderson
386,Shaquille ONeal
387,Shareef AbdurRahim
388,Shawn Bradley
389,Shawn Kemp
390,Shawn Marion
391,Shawnelle Scott
392,Sherman Douglas
393,Soumaila Samake
394,Speedy Claxton
395,Stacey Augmon
396,Stanislav Medvedenko
397,Stephen Jackson
398,Stephon Marbury
399,Steve Francis
400,Steve Kerr
401,Steve Nash
402,Steve Smith
403,Stromile Swift
404,Tariq AbdulWahad
405,Terrance Roberson
406,Terrell Brandon
407,Terry Cummings
408,Terry Davis
409,Terry Mills
410,Terry Porter
411,Theo Ratliff
412,Tim Duncan
413,Tim Hardaway
414,Tim James
415,Tim Thomas
416,Todd Day
417,Todd Fuller
418,Todd MacCulloch
419,Tom Gugliotta
420,Tom Hammonds
421,Toni Kukoc
422,Tony Battie
423,Tony Delk
424,Tony Massenburg
425,Torraye Braggs
426,Tracy McGrady
427,Tracy Murray
428,Trajan Langdon
429,Travis Best
430,Travis Knight
431,Troy Hudson
432,Tyrone Corbin
433,Tyrone Hill
434,Tyrone Nesby
435,Tyronn Lue
436,Tyus Edney
437,Vernon Maxwell
438,Vin Baker
439,Vince Carter
440,Vinny Del Negro
441,Vitaly Potapenko
442,Vlade Divac
443,Vladimir Stepania
444,Vonteego Cummings
445,Voshon Lenard
446,Wally Szczerbiak
447,Walt Williams
448,Walter McCarty
449,Wesley Person
450,Will Perdue
451,William Avery
452,William Cunningham
453,Zan Tabak
454,Zendon Hamilton
455,Zydrunas Ilgauskas
456,Alton Ford
457,Alvin Jones
458,Amal McCaskill
459,Andrei Kirilenko
460,Antonis Fotsis
461,Art Long
462,Bobby Simmons
463,Brandon Armstrong
464,Brendan Haywood
465,Brian Scalabrine
466,Carlos Arroyo
467,Charles Smith
468,Charlie Bell
469,Chris Andersen
470,Damone Brown
471,DeSagana Diop
472,Dean Oliver
473,Dickey Simpkins
474,Earl Watson
475,Eddie Griffin
476,Eddy Curry
477,Ernest Brown
478,Gerald Wallace
479,Gilbert Arenas
480,Harold Jamison
481,Jamaal Tinsley
482,Jamison Brewer
483,Jarron Collins
484,Jason Collins
485,Jason Richardson
486,Jeff Trepagnier
487,Jerome James
488,Jeryl Sasser
489,Joe Crispin
490,Joe Johnson
491,Joseph Forte
492,Kedrick Brown
493,Kenny Satterfield
494,Kirk Haston
495,Kwame Brown
496,Loren Woods
497,Malik Allen
498,Maurice Evans
499,Michael Bradley
500,Michael Jordan
501,Mitchell Butler
502,Norm Richardson
503,Omar Cook
504,Oscar Torres
505,Pau Gasol
506,Predrag Drobnjak
507,Primoz Brezec
508,Raja Bell
509,Ratko Varda
510,Richard Jefferson
511,Rodney White
512,Ruben BoumtjeBoumtje
513,Sam Mack
514,Samuel Dalembert
515,Sean Marks
516,Shane Battier
517,Steve Goodrich
518,Steven Hunter
519,Tang Hamilton
520,Terence Morris
521,Tierre Brown
522,Tony Parker
523,Trenton Hassell
524,Troy Murphy
525,Tyson Chandler
526,Victor Alexander
527,Vladimir Radmanovic
528,Wang Zhizhi
529,Willie Solomon
530,Zach Randolph
531,Zeljko Rebraca
532,Adam Harrington
533,Amare Stoudemire
534,Anthony Goldwire
535,Bostjan Nachbar
536,Carlos Boozer
537,Caron Butler
538,Casey Jacobsen
539,Cezary Trybanski
540,Chris Jefferies
541,Chris Owens
542,Chris Wilcox
543,Curtis Borchardt
544,Dajuan Wagner
545,Dan Dickau
546,Dan Gadzuric
547,Devin Brown
548,Drew Gooden
549,Efthimios Rentzias
550,Frank Williams
551,Fred Jones
552,Gordan Giricek
553,Guy Rucker
554,Igor Rakocevic
555,JR Bremer
556,Jamal Sampson
557,Jannero Pargo
558,Jared Jeffries
559,Jay Williams
560,Jiri Welsch
561,John Salmons
562,Juan Dixon
563,Juaquin Hawkins
564,Junior Harrington
565,Kareem Rush
566,Ken Johnson
567,Lonny Baxter
568,Manu Ginobili
569,Marcus Haislip
570,Marko Jaric
571,Mehmet Okur
572,Melvin Ely
573,Mengke Bateer
574,Mike Batiste
575,Mike Dunleavy
576,Mike James
577,Mike Wilks
578,Nate Huffman
579,Nenê
580,Nikoloz Tskitishvili
581,Pat Burke
582,Paul Shirley
583,Predrag Savovic
584,Qyntel Woods
585,Rasual Butler
586,Raul Lopez
587,Reggie Evans
588,Robert Archibald
589,Roger Mason
590,Ronald Murray
591,Ryan Humphrey
592,Sam Clancy
593,Sean Lampley
594,Smush Parker
595,Tamar Slay
596,Tayshaun Prince
597,Tito Maddox
598,Tremaine Fowlkes
599,Vincent Yarbrough
600,Yao Ming
601,Aleksandar Pavlovic
602,Alex Garcia
603,Ben Davis
604,Ben Handlogten
605,Boris Diaw
606,Brandon Hunter
607,Brian Cook
608,Britton Johnsen
609,Carmelo Anthony
610,Chris Bosh
611,Chris Kaman
612,Dahntay Jones
613,Darius Songaila
614,Darko Milicic
615,David West
616,Dwyane Wade
617,Francisco Elson
618,James Jones
619,Jarvis Hayes
620,Jason Kapono
621,Jerome Beasley
622,Jon Stefansson
623,Josh Howard
624,Josh Moore
625,Kaniel Dickens
626,Keith Bogans
627,Keith McLeod
628,Kendrick Perkins
629,Kirk Hinrich
630,Kyle Korver
631,LeBron James
632,Leandro Barbosa
633,Linton Johnson
634,Luke Ridnour
635,Luke Walton
636,Maciej Lampe
637,Marcus Banks
638,Marquis Daniels
639,Matt Carroll
640,Maurice Williams
641,Mickael Pietrus
642,Mike Sweetney
643,Ndudi Ebi
644,Nick Collison
645,Oliver Miller
646,Paul Grant
647,Reece Gaines
648,Richie Frahm
649,Shane Heal
650,Slavko Vranes
651,Steve Blake
652,TJ Ford
653,Theron Smith
654,Travis Hansen
655,Travis Outlaw
656,Troy Bell
657,Udonis Haslem
658,Willie Green
659,Zarko Cabarkapa
660,Zaza Pachulia
661,Zoran Planinic
662,Al Jefferson
663,Anderson Varejao
664,Andre Barrett
665,Andre Emmett
666,Andre Iguodala
667,Andres Nocioni
668,Andris Biedrins
669,Antonio Burks
670,Arthur Johnson
671,Awvee Storey
672,Ben Gordon
673,Beno Udrih
674,Bernard Robinson
675,Carlos Delfino
676,Chris Duhon
677,Corsley Edwards
678,Damien Wilkins
679,David Harrison
680,Delonte West
681,Devin Harris
682,Didier IlungaMbenga
683,Donta Smith
684,Dorell Wright
685,Dwight Howard
686,Eddie Gill
687,Emeka Okafor
688,Erik Daniels
689,Geno Carlisle
690,Horace Jenkins
691,Ibo Kutluay
692,JR Smith
693,Jackson Vroman
694,Jameer Nelson
695,Jared Reiner
696,John Edwards
697,Josh Childress
698,Josh Davis
699,Josh Smith
700,Justin Reed
701,Kevin Martin
702,Kirk Snyder
703,Kris Humphries
704,Lionel Chalmers
705,Luis Flores
706,Luke Jackson
707,Luol Deng
708,Mario Kasun
709,Matt Barnes
710,Matt Bonner
711,Matt Freije
712,Nenad Krstic
713,Pape Sow
714,Pavel Podkolzin
715,Peter John Ramos
716,Quinton Ross
717,Rafael Araujo
718,Robert Swift
719,Romain Sato
720,Ronald Dupree
721,Royal Ivey
722,Sasha Vujacic
723,Sebastian Telfair
724,Shaun Livingston
725,Tommy Smith
726,Tony Allen
727,Tony Bobbitt
728,Trevor Ariza
729,Viktor Khryapa
730,Yuta Tabuse
731,Aaron Miles
732,Alan Anderson
733,Alex Acker
734,Alex Scales
735,Amir Johnson
736,Andray Blatche
737,Andre Owens
738,Andrew Bogut
739,Andrew Bynum
740,Anthony Roberson
741,Antoine Wright
742,Arvydas Macijauskas
743,Boniface NDong
744,Bracey Wright
745,Brandon Bass
746,CJ Miles
747,Channing Frye
748,Charlie Villanueva
749,Chris Paul
750,Chris Taft
751,Daniel Ewing
752,Danny Granger
753,David Lee
754,Deng Gai
755,Deron Williams
756,Devin Green
757,Dijon Thompson
758,Donell Taylor
759,Dwayne Jones
760,Earl Barron
761,Eddie Basden
762,Ersan Ilyasova
763,Esteban Batista
764,Fabricio Oberto
765,Francisco Garcia
766,Gerald Fitch
767,Gerald Green
768,Ha SeungJin
769,Hakim Warrick
770,Ike Diogu
771,Jackie Butler
772,James Singleton
773,James Thomas
774,Jarrett Jack
